team...1,aces_per_set,region,team...4,assists_per_set,team...6,blocks_per_set,team...8,digs_per_set,team...10,hitting_pctg,team...12,kills_per_set,team...14,match_w_l_pctg,team...16,opp_hitting_pctg,team...18,team_attacks_per_set,team...20,team_service_aces
Northern Ky.,1.53,Midwest,NIU,12.33,UConn,2.23,Western Ill.,15.77,Omaha,0.232,Toledo,13.3,Central Mich.,0.625,Indiana,0.195,Ohio St.,36.17,South Dakota St.,183
Robert Morris,1.53,Midwest,Wisconsin,12.32,Valparaiso,2.21,Marquette,15.7,UConn,0.231,Green Bay,13.3,Ohio,0.625,Michigan,0.195,South Dakota St.,36.15,Ball St.,182
UNI,1.52,Midwest,Penn St.,12.22,Ohio St.,2.2,Missouri St.,15.69,Evansville,0.23,South Dakota,13.25,Denver,0.613,NIU,0.195,Kansas City,36.14,St. John's (NY),181
Toledo,1.52,Midwest,Nebraska,12.21,Wright St.,2.19,Kansas City,15.67,Bowling Green,0.229,Wisconsin,13.25,NIU,0.607,Ohio,0.196,Purdue Fort Wayne,36.12,Green Bay,180
Green Bay,1.51,Midwest,Toledo,12.21,UIC,2.19,DePaul,15.64,South Dakota St.,0.228,Xavier,13.18,Toledo,0.594,Butler,0.197,Northern Ky.,36.08,Northern Ky.,176
South Dakota,1.5,Midwest,Valparaiso,12.18,Northwestern,2.16,Purdue Fort Wayne,15.64,Buffalo,0.227,Minnesota,13.15,St. John's (NY),0.588,Toledo,0.199,Bradley,36.02,Illinois St.,173
Michigan,1.45,Midwest,Minnesota,12.12,Loyola Chicago,2.15,Northern Ky.,15.61,Ohio,0.226,Central Mich.,13.14,Northern Ky.,0.581,South Dakota St.,0.201,Green Bay,35.93,Cleveland St.,171
Ball St.,1.44,Midwest,Denver,12.09,Buffalo,2.14,Ohio St.,15.59,Wright St.,0.224,DePaul,13.09,Southern Ill.,0.581,Omaha,0.203,Xavier,35.92,Penn St.,171
Eastern Mich.,1.43,Midwest,UConn,12.06,Michigan St.,2.14,Bradley,15.57,Illinois,0.224,Valparaiso,13.08,Buffalo,0.576,Ball St.,0.203,Toledo,35.84,Robert Morris,171
Western Mich.,1.43,Midwest,DePaul,12.04,Toledo,2.09,North Dakota St.,15.56,Penn St.,0.223,Penn St.,13.05,Michigan,0.567,Buffalo,0.204,IUPUI,35.68,Seton Hall,170
Cleveland St.,1.42,Midwest,Illinois,12.01,South Dakota St.,2.09,Bowling Green,15.51,Central Mich.,0.218,UConn,13.05,Western Mich.,0.567,Oakland,0.206,Providence,35.68,Toledo,170
St. John's (NY),1.41,Midwest,Xavier,12,Eastern Mich.,2.07,Toledo,15.3,Purdue,0.217,Denver,13.01,Northwestern,0.562,Northwestern,0.209,Missouri St.,35.68,Purdue,168
Villanova,1.4,Midwest,South Dakota St.,11.95,Rutgers,2.07,Illinois St.,15.25,Toledo,0.216,South Dakota St.,12.98,UConn,0.548,Michigan St.,0.21,UNI,35.61,North Dakota St.,167
UConn,1.4,Midwest,Evansville,11.95,UNI,2.05,Southern Ill.,15.17,Youngstown St.,0.216,Purdue,12.86,South Dakota St.,0.545,UConn,0.21,North Dakota,35.49,Eastern Mich.,165
Oral Roberts,1.4,Midwest,Illinois St.,11.94,Creighton,2.03,Buffalo,14.95,Milwaukee,0.212,Illinois,12.81,Butler,0.516,Seton Hall,0.21,Nebraska,35.47,Western Mich.,165
South Dakota St.,1.4,Midwest,Youngstown St.,11.85,Indiana,2.03,Loyola Chicago,14.74,Kent St.,0.209,Evansville,12.79,Indiana,0.5,North Dakota St.,0.211,North Dakota St.,35.43,Villanova,164
Michigan St.,1.39,Midwest,Kent St.,11.82,Kent St.,2.03,Omaha,14.72,Denver,0.208,Northern Ky.,12.77,Maryland,0.5,Illinois,0.212,Cleveland St.,35.38,Drake,163
NIU,1.38,Midwest,Northern Ky.,11.8,Georgetown,2,North Dakota,14.68,Valparaiso,0.206,Illinois St.,12.71,Illinois,0.5,Kent St.,0.213,UIC,35.27,Michigan St.,163
Purdue,1.38,Midwest,Purdue,11.77,Milwaukee,1.99,UConn,14.65,Northern Ky.,0.204,Purdue Fort Wayne,12.67,Seton Hall,0.5,Providence,0.214,Kent St.,35.2,UConn,161
Northwestern,1.35,Midwest,Purdue Fort Wayne,11.73,Marquette,1.98,IUPUI,14.64,Michigan St.,0.203,Milwaukee,12.53,Youngstown St.,0.467,Youngstown St.,0.215,Milwaukee,34.85,Oral Roberts,158
Iowa,1.34,Midwest,Central Mich.,11.67,Missouri St.,1.95,Denver,14.62,Villanova,0.2,Kent St.,12.5,Evansville,0.457,North Dakota,0.216,Denver,34.79,Northwestern,157
Minnesota,1.33,Midwest,Milwaukee,11.58,Oral Roberts,1.95,UNI,14.54,Seton Hall,0.2,Youngstown St.,12.48,Cleveland St.,0.452,Purdue Fort Wayne,0.217,Marquette,34.78,Michigan,155
Penn St.,1.33,Midwest,Kansas City,11.45,Bradley,1.92,Northwestern,14.51,DePaul,0.2,Kansas City,12.31,Kent St.,0.448,St. John's (NY),0.218,UConn,34.7,Valparaiso,154
North Dakota St.,1.31,Midwest,Missouri St.,11.32,DePaul,1.9,Youngstown St.,14.49,Maryland,0.196,Iowa,12.27,Michigan St.,0.419,Illinois St.,0.219,Purdue,34.6,Central Mich.,151
Kent St.,1.29,Midwest,Bradley,11.26,North Dakota St.,1.89,Robert Morris,14.21,Indiana,0.192,Indiana,12.19,Illinois St.,0.414,Western Mich.,0.221,Iowa,34.52,Iowa,151
Central Mich.,1.29,Midwest,Michigan St.,11.19,Seton Hall,1.87,Purdue,14.2,Kansas City,0.191,Butler,12.18,North Dakota,0.4,Missouri St.,0.221,South Dakota,34.42,Kansas City,150
Oakland,1.28,Midwest,Iowa,11.14,North Dakota,1.86,Michigan,14.15,Missouri St.,0.189,Michigan St.,12.15,Providence,0.4,Oral Roberts,0.222,Northwestern,34.33,Xavier,147
Akron,1.25,Midwest,Oakland,11.05,Iowa,1.82,Georgetown,13.98,Illinois St.,0.189,Missouri St.,12.02,Oakland,0.367,Kansas City,0.223,Seton Hall,34.3,Minnesota,146
Kansas City,1.25,Midwest,Akron,11.01,Illinois St.,1.81,Seton Hall,13.95,Iowa,0.188,Bradley,11.98,DePaul,0.333,IUPUI,0.224,Youngstown St.,34.21,Bradley,145
Miami (OH),1.23,Midwest,Indiana,11.01,Xavier,1.79,UIC,13.88,Cleveland St.,0.187,Seton Hall,11.96,Milwaukee,0.333,Xavier,0.225,Georgetown,34.17,Oakland,143
Bradley,1.21,Midwest,Butler,10.97,Ball St.,1.79,Akron,13.87,Butler,0.185,Akron,11.82,Villanova,0.333,Eastern Mich.,0.227,Robert Morris,34.15,Kent St.,141
North Dakota,1.21,Midwest,Seton Hall,10.96,Purdue Fort Wayne,1.78,Villanova,13.86,Providence,0.181,Oakland,11.81,Bradley,0.323,UIC,0.228,Loyola Chicago,34.02,NIU,137
Valparaiso,1.19,Midwest,IUPUI,10.8,IUPUI,1.75,Milwaukee,13.86,Bradley,0.177,Oral Roberts,11.79,Iowa,0.323,Bradley,0.235,Eastern Mich.,33.64,Akron,135
Rutgers,1.19,Midwest,Oral Roberts,10.8,Kansas City,1.73,Iowa,13.72,Purdue Fort Wayne,0.177,Villanova,11.78,Kansas City,0.323,Southern Ill.,0.237,Michigan,33.61,North Dakota,135
Purdue Fort Wayne,1.19,Midwest,Providence,10.78,Evansville,1.72,Wisconsin,13.66,Oakland,0.171,Providence,11.74,Purdue Fort Wayne,0.31,DePaul,0.238,Miami (OH),33.57,Ohio St.,131
Georgetown,1.19,Midwest,North Dakota,10.76,Youngstown St.,1.71,Maryland,13.34,Miami (OH),0.167,IUPUI,11.73,IUPUI,0.3,Indiana St.,0.239,Villanova,33.52,Rutgers,131
Nebraska,1.17,Midwest,Miami (OH),10.55,Villanova,1.71,Minnesota,13.25,North Dakota,0.167,North Dakota,11.72,Missouri St.,0.3,Villanova,0.239,Wisconsin,33.48,Miami (OH),129
Drake,1.16,Midwest,Villanova,10.49,Providence,1.69,Eastern Mich.,13.22,Eastern Mich.,0.166,Maryland,11.45,Oral Roberts,0.3,Iowa,0.242,Indiana,33.37,Georgetown,128
Xavier,1.13,Midwest,Eastern Mich.,10.4,Akron,1.57,Miami (OH),13.14,Oral Roberts,0.166,Indiana St.,11.31,Robert Morris,0.3,Evansville,0.243,Evansville,33.3,Nebraska,128
Western Ill.,1.12,Midwest,Indiana St.,10.37,Oakland,1.54,Indiana,12.85,Rutgers,0.164,Miami (OH),11.29,Rutgers,0.25,Rutgers,0.247,Minnesota,33.08,Butler,127
Butler,1.11,Midwest,Maryland,10.34,Ohio,1.54,Penn St.,12.75,IUPUI,0.162,Eastern Mich.,11.27,Miami (OH),0.241,Milwaukee,0.251,Illinois,33.07,Purdue Fort Wayne,126
Ohio St.,1.11,Midwest,Robert Morris,10.22,Miami (OH),1.43,Michigan St.,12.74,Indiana St.,0.161,Cleveland St.,11.26,Akron,0.207,Georgetown,0.253,Penn St.,33.05,Western Ill.,116
Ohio,0.97,Midwest,Cleveland St.,10.1,Western Mich.,1.4,Evansville,12.3,Robert Morris,0.156,Robert Morris,11.04,Eastern Mich.,0.167,Robert Morris,0.256,St. John's (NY),32.9,Ohio,115
Indiana St.,0.97,Midwest,Rutgers,10,Southern Ill.,1.36,Rutgers,12.14,Georgetown,0.153,Rutgers,10.76,Georgetown,0.138,Akron,0.257,Rutgers,32.49,DePaul,108
Milwaukee,0.94,Midwest,Western Ill.,9.6,Western Ill.,1.35,Illinois,12.08,Akron,0.153,Western Ill.,10.36,Western Ill.,0.133,Western Ill.,0.26,Maryland,32.45,Milwaukee,100
DePaul,0.92,Midwest,Georgetown,9.56,Robert Morris,1.28,St. John's (NY),11.98,Western Ill.,0.123,Georgetown,10.28,Indiana St.,0.115,Miami (OH),0.265,Michigan St.,31.97,Indiana St.,90
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
