team...1,aces_per_set,region,team...4,assists_per_set,team...6,blocks_per_set,team...8,digs_per_set,team...10,hitting_pctg,team...12,kills_per_set,team...14,match_w_l_pctg,team...16,opp_hitting_pctg,team...18,team_attacks_per_set,team...20,team_service_aces
Hawaii,1.45,West,Arizona,11.26,Idaho,2.15,BYU,13.57,Saint Mary's (CA),0.203,Wyoming,12.1,Nevada,0.483,Pacific,0.211,Eastern Wash.,33.75,UC Riverside,162
BYU,1.44,West,Air Force,11.23,Montana St.,2.09,Stanford,13.54,Fresno St.,0.201,Southern Utah,12.1,San Francisco,0.483,Wyoming,0.212,CSUN,33.67,Fresno St.,161
Air Force,1.42,West,Wyoming,11.14,California,2.09,Utah St.,13.45,San Francisco,0.2,Chicago St.,12.07,Montana St.,0.467,Colorado St.,0.226,Cal Poly,33.64,San Diego St.,160
Idaho St.,1.42,West,Montana St.,11.11,Hawaii,2.06,California,13.44,UC Davis,0.196,Arizona St.,12.06,Cal St. Fullerton,0.464,Southern Utah,0.228,Sacramento St.,33.59,Arizona St.,157
California,1.4,West,Arizona St.,11.1,San Francisco,2.05,Eastern Wash.,13.31,CSUN,0.196,Montana St.,12.02,North Ala.,0.464,Southern California,0.23,Arizona,33.5,California,157
Fresno St.,1.4,West,Eastern Wash.,11.08,Montana,2.04,Gonzaga,13.26,North Ala.,0.195,Air Force,12.01,Idaho St.,0.433,CSU Bakersfield,0.23,San Francisco,33.45,Wyoming,157
San Diego St.,1.37,West,Saint Mary's (CA),10.89,Wyoming,2.02,San Diego,13.25,Portland,0.195,Cal St. Fullerton,11.92,Arizona St.,0.406,Cal St. Fullerton,0.231,California,33.38,CSUN,156
UTRGV,1.36,West,California,10.87,Oregon St.,2.02,San Jose St.,13.15,Eastern Wash.,0.192,Eastern Wash.,11.89,Santa Clara,0.406,Eastern Wash.,0.231,Gonzaga,33.36,Hawaii,155
UNLV,1.36,West,Sacramento St.,10.82,Southern California,1.98,San Francisco,13.12,San Diego St.,0.192,Sacramento St.,11.88,Eastern Wash.,0.379,Utah,0.232,San Diego St.,33.34,Colorado,153
Colorado,1.34,West,Fresno St.,10.74,Arizona St.,1.98,Southern California,12.95,New Mexico,0.192,San Francisco,11.86,San Diego St.,0.355,Boise St.,0.233,UC Santa Barbara,33.28,New Mexico St.,153
