team...1,aces_per_set,region,team...4,assists_per_set,team...6,blocks_per_set,team...8,digs_per_set,team...10,hitting_pctg,team...12,kills_per_set,team...14,match_w_l_pctg,team...16,opp_hitting_pctg,team...18,team_attacks_per_set,team...20,team_service_aces
SMU,1.52,Southeast,Tulsa,11.83,ETSU,2.23,USC Upstate,15.07,Mississippi St.,0.223,ETSU,12.79,Winthrop,0.571,Bethune-Cookman,0.199,Kentucky,35.29,Campbell,171
Wofford,1.51,Southeast,Charleston So.,11.78,East Carolina,2.2,Charleston So.,15.02,Florida A&M,0.222,Western Caro.,12.7,Lipscomb,0.552,Auburn,0.2,USC Upstate,35.28,East Carolina,171
Auburn,1.51,Southeast,High Point,11.78,Alabama,2.19,Arkansas,14.94,Western Caro.,0.221,Tulsa,12.7,Wofford,0.552,Wichita St.,0.201,LSU,35.26,Wofford,171
Liberty,1.5,Southeast,LSU,11.71,Delaware St.,2.17,Florida A&M,14.79,North Florida,0.22,Winthrop,12.69,Tennessee,0.548,Samford,0.202,Stetson,35.24,The Citadel,170
N.C. A&T,1.49,Southeast,Stetson,11.7,Furman,2.15,ETSU,14.76,ETSU,0.219,LSU,12.66,Memphis,0.545,Stetson,0.205,High Point,35.09,Temple,168
Winthrop,1.48,Southeast,Winthrop,11.63,Chattanooga,2.15,Gardner-Webb,14.75,LSU,0.219,Charleston So.,12.63,Mississippi St.,0.536,N.C. A&T,0.206,Kennesaw St.,35.05,High Point,166
Campbell,1.47,Southeast,Western Caro.,11.56,LSU,2.12,Presbyterian,14.6,Stetson,0.219,The Citadel,12.54,LSU,0.533,LSU,0.207,UNC Greensboro,35.05,Jacksonville,165
Chattanooga,1.47,Southeast,Cincinnati,11.54,Missouri,2.11,Jacksonville,14.55,Campbell,0.218,Stetson,12.52,Stetson,0.517,Norfolk St.,0.207,Charleston So.,34.86,ETSU,163
UCF,1.46,Southeast,South Carolina,11.46,Houston,2.11,Kennesaw St.,14.52,Tulane,0.211,South Fla.,12.45,Chattanooga,0.515,Jacksonville,0.208,Wichita St.,34.76,South Fla.,160
Stetson,1.45,Southeast,Delaware St.,11.45,North Florida,2.07,Missouri,14.34,Charleston So.,0.209,Missouri,12.42,Charleston So.,0.484,USC Upstate,0.209,ETSU,34.63,Cincinnati,159
Charleston So.,1.44,Southeast,South Fla.,11.44,FGCU,2.06,UCF,14.33,Cincinnati,0.208,Wichita St.,12.41,South Carolina,0.464,The Citadel,0.21,Jacksonville,34.47,Tennessee,158
High Point,1.43,Southeast,Wichita St.,11.43,Kennesaw St.,2.04,Coppin St.,14.22,Mercer,0.206,Tulane,12.36,Texas A&M,0.448,Kentucky,0.21,South Fla.,34.34,Tulane,158
UNC Greensboro,1.43,Southeast,Auburn,11.42,N.C. A&T,2.02,FGCU,13.96,Jacksonville,0.206,Auburn,12.34,Radford,0.429,UNC Greensboro,0.21,Liberty,34.04,N.C. Central,157
Cincinnati,1.42,Southeast,Missouri,11.3,Cincinnati,1.94,Tennessee,13.93,Missouri,0.205,Alabama,12.32,Tulsa,0.419,Charleston So.,0.211,Gardner-Webb,33.93,Norfolk St.,156
UMES,1.41,Southeast,The Citadel,11.29,South Fla.,1.92,Liberty,13.83,East Carolina,0.204,South Carolina,12.26,North Florida,0.414,Chattanooga,0.213,Cincinnati,33.92,Stetson,155
East Carolina,1.39,Southeast,Alabama,11.28,Stetson,1.87,Kentucky,13.78,Winthrop,0.203,North Florida,12.21,Jacksonville,0.393,Mississippi St.,0.214,Missouri,33.91,N.C. A&T,153
South Fla.,1.38,Southeast,North Florida,11.25,Temple,1.86,Cincinnati,13.75,Chattanooga,0.201,Memphis,12.15,Ole Miss,0.393,Kennesaw St.,0.217,South Carolina,33.72,Wichita St.,153
Arkansas,1.38,Southeast,Tulane,11.15,Lipscomb,1.85,North Florida,13.74,Tulsa,0.199,Cincinnati,12.13,East Carolina,0.375,Gardner-Webb,0.217,Florida A&M,33.68,UCF,152
Tennessee,1.36,Southeast,Memphis,11.1,UNC Greensboro,1.84,Alabama,13.72,South Fla.,0.197,Delaware St.,12.12,Cincinnati,0.367,Furman,0.219,East Carolina,33.54,Arkansas,150
South Carolina,1.36,Southeast,Temple,10.99,Coppin St.,1.81,East Carolina,13.5,Coppin St.,0.194,Chattanooga,12.07,Furman,0.367,South Carolina,0.22,Ole Miss,33.5,Winthrop,149
Temple,1.34,Southeast,Furman,10.92,High Point,1.81,Temple,13.44,South Carolina,0.193,Mercer,11.95,The Citadel,0.367,Alabama,0.222,Tennessee,33.35,UNC Greensboro,147
Gardner-Webb,1.33,Southeast,Radford,10.91,Norfolk St.,1.8,Texas A&M,13.41,Gardner-Webb,0.186,Furman,11.82,N.C. A&T,0.346,Texas A&M,0.226,Texas A&M,33.17,Furman,145
Tulane,1.33,Southeast,Jacksonville,10.88,Mississippi St.,1.77,South Fla.,13.29,The Citadel,0.184,Gardner-Webb,11.75,Mercer,0.345,South Fla.,0.226,North Florida,33.04,South Carolina,144
Texas A&M,1.3,Southeast,Gardner-Webb,10.86,Florida A&M,1.74,N.C. A&T,13.27,UMES,0.178,Temple,11.7,Alabama,0.333,Presbyterian,0.229,FGCU,32.97,Texas A&M,143
Furman,1.27,Southeast,Chattanooga,10.85,Samford,1.73,Lipscomb,13.21,Memphis,0.173,Radford,11.64,South Fla.,0.333,Lipscomb,0.23,UCF,32.72,Gardner-Webb,141
