Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
M9w,Kotoeko,Sadogatake,Miyazaki,20.11.1991,177 cm 131 kg,6-9
M10e,Nishikifuji,Isegahama,Aomori,22.07.1996,183 cm 143 kg,10-5
M10w,Takanosho,Tokiwayama,Chiba,14.11.1994,184 cm 163 kg,8-7
M11e,Kotoshoho,Sadogatake,Chiba,26.08.1999,191 cm 156 kg,7-8
M11w,Chiyotairyu,Kokonoe,Tokyo,14.11.1988,181 cm 171 kg,6-9
M12e,Okinoumi,Hakkaku,Shimane,29.07.1985,191 cm 160 kg,6-9
M12w,Ryuden,Takadagawa,Yamanashi,10.11.1990,190 cm 148 kg,11-4 J
M13e,Ichiyamamoto,Hanaregoma,Hokkaido,01.10.1993,187 cm 133 kg,6-9
M13w,Oho,Otake,Tokyo,14.02.2000,191 cm 170 kg,7-8
M14e,Chiyoshoma,Kokonoe,Mongolia,20.07.1991,184 cm 137 kg,9-6
M14w,Yutakayama,Tokitsukaze,Niigata,22.09.1993,185 cm 173 kg,4-11
M15e,Terutsuyoshi,Isegahama,Hyogo,17.01.1995,169 cm 114 kg,6-9
M15w,Tsurugisho,Oitekaze,Tokyo,27.07.1991,182 cm 191 kg,5-10
M16e,Mitoryu,Nishikido,Mongolia,25.04.1994,187 cm 183 kg,5-10
M16w,Hiradoumi,Sakaigawa,Nagasaki,20.04.2000,177 cm 129 kg,7-8
O1e,NA,-,Kyushu,NA,NA,NA
O1w,NA,-,Akita,NA,NA,NA
J1w,NA,-,-,NA,NA,NA
J1e,Nadanohana,Dewanoumi,Hyogo,26.01.1902,170 cm 105 kg,6-5
J1w,Shimizugawa,Hatachiyama,Aomori,13.01.1900,177 cm 97 kg,8-3
J2e,Asahibiki,Takasago,Ehime,03.01.1897,173 cm 90 kg,0-0
J2w,Torigamine,-,-,,,6-5
J3e,Shiogahama,Takasago,Aomori,08.12.1897,170 cm 90 kg,7-4
J3w,Harenoumi,Tomozuna,Kochi,06.12.1898,176 cm 86 kg,3-8
J4e,Wakasegawa,Isegahama,Akita,19.02.1903,167 cm 90 kg,8-3
J4w,Takanohana,Dewanoumi,Niigata,07.12.1902,183 cm 120 kg,4-7
J5e,Oshima,Dewanoumi,Osaka,05.08.1897,173 cm 94 kg,10-1 Y
J5w,Oshio,Michinoku,Fukuoka,10.08.1900,184 cm 116 kg,7-4
J6e,Ayanonami,Minatogawa,Aomori,25.08.1901,170 cm 94 kg,8-3
J6w,Azumagata,Asahiyama,Osaka,23.05.1908,176 cm 140 kg,2-9
J7e,Kaigetsu,Hanakago,Fukuoka,02.02.1899,169 cm 90 kg,3-8
J7w,Fujinosato,Dewanoumi,Aomori,10.04.1901,167 cm 105 kg,5-1-5
J8e,Kinkazan,Onogawa,Hyogo,26.08.1900,176 cm 103 kg,6-5
J8w,Tokiwano,Dewanoumi,Nagasaki,27.01.1907,174 cm 94 kg,6-5
J9e,Kaikozan,Nishonoseki,Tokushima,16.03.1900,176 cm 128 kg,3-3-5
J9w,Oyazaki,-,-,,,0-0
J10e,Takanami,Tatsunami,Hokkaido,18.08.1905,177 cm 90 kg,4-7
J10w,Tochinomori,Dewanoumi,Tochigi,18.05.1900,173 cm 83 kg,2-9
J11e,Hakkenzan,Takasago,Aichi,06.07.1906,180 cm 94 kg,5-6
J11w,Ayazakura,Dewanoumi,Aomori,11.03.1898,170 cm 113 kg,8-3
Y1e,Azumafuji,Takasago,Tokyo,28.10.1921,179 cm 178 kg,11-4
Y1w,Haguroyama,Tatsunami,Niigata,18.11.1914,179 cm 129.5 kg,4-1-10
Y2eHD,Terukuni,Isegahama,Akita,10.01.1919,174 cm 162 kg,13-2 Y
O1e,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,11-4
O1w,Saganohana,Nishonoseki,Saga,05.12.1917,170 cm 128 kg,4-11
O2wHD,Shionoumi,Dewanoumi,Hyogo,01.03.1918,180 cm 113 kg,8-7
S1e,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174 cm 162 kg,8-7
S1w,Rikidozan,Nishonoseki,Nagasaki,14.11.1924,176 cm 116 kg,0-0-15
S2eHD,Yoshibayama,Takashima,Hokkaido,03.04.1920,179 cm 143 kg,13-2 DS
K1e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,11-4
K1w,Wakasegawa,Isegahama,Hyogo,20.02.1920,176 cm 110 kg,7-8
M1e,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,0-0-15
M1w,Kozuzan,Asahiyama,Nara,22.02.1919,178 cm 128 kg,4-11
M2e,Bishuyama,Isegahama,Hiroshima,04.11.1919,167 cm 128 kg,8-7
M2w,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,5-10
M3e,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,8-7 G
M3w,Shimizugawa,Oitekaze,Hyogo,13.08.1925,176 cm 115 kg,9-6
M4e,Wakanohana,Nishonoseki,Aomori,16.03.1928,179 cm 105 kg,4-11
M4w,Aichiyama,Tatsunami,Aichi,10.03.1922,172 cm 105 kg,5-10
M5e,Terunobori,Takashima,Hokkaido,26.01.1922,177 cm 104 kg,8-7
M5w,Sakuranishiki,Dewanoumi,Aomori,26.06.1916,171 cm 93 kg,0-5-10
M6e,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,11-4
M6w,Otachi,Dewanoumi,Fukuoka,06.10.1923,194 cm 180 kg,7-8
M7e,Kusunishiki,Miyagino,Fukuoka,01.02.1921,171 cm 120 kg,8-7
M7w,Hirosegawa,Isegahama,Miyagi,28.02.1919,180 cm 105 kg,4-11
M8e,Tsunenoyama,Dewanoumi,Okayama,09.02.1925,175 cm 98 kg,6-9
M8w,Yakatayama,Dewanoumi,Kumamoto,05.05.1917,180 cm 131.5 kg,8-7
M9e,Tokachiiwa,Nishonoseki,Hokkaido,10.01.1919,176 cm 105 kg,7-8
M9w,Nayoroiwa,Tatsunami,Hokkaido,27.09.1914,173 cm 128 kg,11-4
M10e,Onoumi,Nishonoseki,Akita,20.03.1916,176 cm 99.5 kg,7-8
M10w,Orochigata,Nishikijima,Akita,20.05.1919,179 cm 120 kg,4-11
M11e,Fudoiwa,Tokitsukaze,Kumamoto,06.08.1924,213 cm 130 kg,10-5
M11w,Kotonishiki,Nishonoseki,Kagawa,07.03.1922,177 cm 120 kg,7-8
M12e,Kamiwaka,Nishonoseki,Chiba,27.09.1928,174 cm 84 kg,3-12
M12w,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,8-7
M13e,Fujita,Takasago,Fukuoka,11.02.1924,167 cm 113 kg,2-13
M13w,Masumiyama,Mihogaseki,Wakayama,17.01.1922,182 cm 99 kg,4-11
M14e,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,7-4-4
M14w,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,7-8
M15e,Kiyoenami,Tatsunami,Ishikawa,24.06.1923,175 cm 118 kg,10-5
M15w,Miyagiumi,Dewanoumi,Miyagi,17.10.1922,171 cm 94 kg,6-9
M16e,Futaseyama,Asahiyama,Osaka,07.08.1921,169 cm 108 kg,9-6
M16w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,7-8
M17e,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,11-4
M17w,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,9-6
M18e,Midorikuni,Tatsunami,Tokyo,05.08.1919,180 cm 99 kg,4-11
M18w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,7-8
M19e,Kainishiki,Nishonoseki,Yamanashi,31.10.1920,175 cm 86 kg,4-11
M19w,Nachinoyama,Dewanoumi,Wakayama,15.08.1920,182 cm 99 kg,7-8
M20e,Kainoyama,Nishikijima,Yamanashi,04.03.1921,170 cm 113 kg,7-8
M20w,Kaminishiki,Takashima,Aomori,28.08.1925,180 cm 96 kg,10-5
M21e,Yoshiiyama,Dewanoumi,Fukuoka,13.03.1924,182 cm 92 kg,8-7
M21w,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,12-3 K
M21wHD,Itsutsuumi,Dewanoumi,Nagasaki,01.11.1922,176 cm 84.5 kg,0-0-15
Y1e,Azumafuji,Takasago,Tokyo,28.10.1921,179 cm 178 kg,13-1-1a Y
Y1w,Terukuni,Isegahama,Akita,10.01.1919,174 cm 162 kg,11-4
Y2eHD,Haguroyama,Tatsunami,Niigata,18.11.1914,179 cm 129.5 kg,10-5
Y2wHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,9-6
O1e,Yoshibayama,Takashima,Hokkaido,03.04.1920,179 cm 143 kg,9-5-1a
O1w,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174 cm 162 kg,12-3 J
S1e,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,9-6
S1w,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,9-6 G
S2eHD,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,11-4 S
K1e,Wakanohana,Nishonoseki,Aomori,16.03.1928,179 cm 105 kg,7-8
K1w,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,6-9
K2wHD,Bishuyama,Isegahama,Hiroshima,04.11.1919,167 cm 128 kg,6-7-2
M1e,Terunobori,Takashima,Hokkaido,26.01.1922,177 cm 104 kg,1-14
M1w,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,4-11
M2e,Saganohana,Nishonoseki,Saga,05.12.1917,170 cm 128 kg,1-8-6
M2w,Onobori,Tatsunami,Nagano,01.08.1925,185 cm 116 kg,7-8
M3e,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,2-4-9
M3w,Kotonishiki,Nishonoseki,Kagawa,07.03.1922,177 cm 120 kg,8-7
M4e,Shimizugawa,Oitekaze,Hyogo,13.08.1925,176 cm 115 kg,5-10
M4w,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,4-11
M5e,Nayoroiwa,Tatsunami,Hokkaido,27.09.1914,173 cm 128 kg,8-7
M5w,Kiyoenami,Tatsunami,Ishikawa,24.06.1923,175 cm 118 kg,7-8
M6e,Yakatayama,Dewanoumi,Kumamoto,05.05.1917,180 cm 131.5 kg,0-0-15
M6w,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,6-4-5
M7e,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,6-6-3
M7w,Kozuzan,Asahiyama,Nara,22.02.1919,178 cm 128 kg,1-7-7
M8e,Aichiyama,Tatsunami,Aichi,10.03.1922,172 cm 105 kg,5-10
M8w,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,11-4 K
M9e,Wakasegawa,Isegahama,Hyogo,20.02.1920,176 cm 110 kg,9-6
M9w,Fudoiwa,Tokitsukaze,Kumamoto,06.08.1924,213 cm 130 kg,7-8
M10e,Futaseyama,Asahiyama,Osaka,07.08.1921,169 cm 108 kg,10-5
M10w,Kainoyama,Nishikijima,Yamanashi,04.03.1921,170 cm 113 kg,3-12
M11e,Otachi,Dewanoumi,Fukuoka,06.10.1923,194 cm 180 kg,7-8
M11w,Sakurakuni,Isegahama,Hokkaido,08.06.1926,171 cm 92 kg,1-5-9
M12e,Hirosegawa,Isegahama,Miyagi,28.02.1919,180 cm 105 kg,11-4
M12w,Tsunenoyama,Dewanoumi,Okayama,09.02.1925,175 cm 98 kg,9-6
M13e,Orochigata,Nishikijima,Akita,20.05.1919,179 cm 120 kg,8-7
M13w,Hiodoshi,Nishikijima,Akita,22.08.1922,179 cm 120 kg,8-7
M14e,Kusunishiki,Miyagino,Fukuoka,01.02.1921,171 cm 120 kg,9-6
M14w,Yoshiiyama,Dewanoumi,Fukuoka,13.03.1924,182 cm 92 kg,5-10
M15e,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,8-7
M15w,Oiwazan,Tatsunami,Tokyo,20.05.1919,179 cm 120 kg,7-8
M16e,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,10-5
M16w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,8-7
M17e,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,5-6-4
M17w,Masumiyama,Mihogaseki,Wakayama,17.01.1922,182 cm 99 kg,5-10
M18e,Yoshidagawa,Tokitsukaze,Yamanashi,19.11.1927,171 cm 105 kg,7-8
M18w,Kaminishiki,Takashima,Aomori,28.08.1925,180 cm 96 kg,9-6
M19e,Fujitayama,Takasago,Fukuoka,11.02.1924,167 cm 113 kg,0-0-15
M19w,Miyagiumi,Dewanoumi,Miyagi,17.10.1922,171 cm 94 kg,5-10
M20e,Yonekawa,Takasago,Hyogo,13.11.1929,189 cm 145 kg,10-5
M20w,Hiranoto,Dewanoumi,Nagasaki,10.12.1921,174 cm 97 kg,4-11
Y1e,Azumafuji,Takasago,Tokyo,28.10.1921,179 cm 178 kg,7-7-1
Y1w,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,11-4
Y2eHD,Haguroyama,Tatsunami,Niigata,18.11.1914,179 cm 129.5 kg,4-3-8
Y2wHD,Terukuni,Isegahama,Akita,10.01.1919,174 cm 162 kg,6-6-3
O1e,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174 cm 162 kg,12-3 J
O1w,Yoshibayama,Takashima,Hokkaido,03.04.1920,179 cm 143 kg,12-3 J
S1e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,6-9
S1w,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,14-1 YG
S2eHD,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,4-11
K1e,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,6-9
K1w,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,6-9
M1e,Shimizugawa,Oitekaze,Hyogo,13.08.1925,176 cm 115 kg,2-8-5
M1w,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,7-8
M2e,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,4-11
M2w,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,10-5 S
M3e,Kotonishiki,Nishonoseki,Kagawa,07.03.1922,177 cm 120 kg,8-7
M3w,Nayoroiwa,Tatsunami,Hokkaido,27.09.1914,173 cm 128 kg,9-6 K
M4e,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,9-6
M4w,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,2-13
M5e,Wakasegawa,Isegahama,Hyogo,20.02.1920,176 cm 110 kg,6-9
M5w,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,6-9
M6e,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,6-9
M6w,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,11-4
M7e,Kozuzan,Asahiyama,Nara,22.02.1919,178 cm 128 kg,0-0-15
M7w,Orochigata,Nishikijima,Akita,20.05.1919,179 cm 120 kg,8-7
M8e,Onobori,Tatsunami,Nagano,01.08.1925,185 cm 116 kg,0-0-15
M8w,Otachi,Dewanoumi,Fukuoka,06.10.1923,194 cm 180 kg,8-7
M9e,Futaseyama,Asahiyama,Osaka,07.08.1921,169 cm 108 kg,9-6
M9w,Wakanohana,Shibatayama,Aomori,16.03.1928,179 cm 105 kg,10-5
M10e,Oiwazan,Tatsunami,Tokyo,20.05.1919,179 cm 120 kg,4-11
M10w,Bishuyama,Isegahama,Hiroshima,04.11.1919,167 cm 128 kg,9-6
M11e,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,0-0-15
M11w,Kiyoenami,Tatsunami,Ishikawa,24.06.1923,175 cm 118 kg,6-9
M12e,Terunobori,Takashima,Hokkaido,26.01.1922,177 cm 104 kg,10-5
M12w,Kainoyama,Nishikijima,Yamanashi,04.03.1921,170 cm 113 kg,6-9
M13e,Tsunenoyama,Dewanoumi,Okayama,09.02.1925,175 cm 98 kg,7-8
M13w,Yoshidagawa,Tokitsukaze,Yamanashi,19.11.1927,171 cm 105 kg,6-9
M14e,Kaminishiki,Takashima,Aomori,28.08.1925,180 cm 96 kg,8-7
M14w,Fujitayama,Takasago,Fukuoka,11.02.1924,167 cm 113 kg,6-9
M15e,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,8-7
M15w,Aichiyama,Tatsunami,Aichi,10.03.1922,172 cm 105 kg,8-7
M16e,Hiodoshi,Nishikijima,Akita,22.08.1922,179 cm 120 kg,7-8
M16w,Kusunishiki,Miyagino,Fukuoka,01.02.1921,171 cm 120 kg,8-7
M17e,Hirosegawa,Isegahama,Miyagi,28.02.1919,180 cm 105 kg,9-6
M17w,Kosakagawa,Tatsunami,Akita,30.05.1921,177 cm 98 kg,5-10
M18e,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,10-5
M18w,Shimanishiki,Takasago,Osaka,26.09.1928,174 cm 135 kg,8-7
M19e,Yoshiiyama,Dewanoumi,Fukuoka,13.03.1924,182 cm 92 kg,6-9
M19w,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185 cm 108 kg,8-7
M20e,Yoshinosato,Nishonoseki,Chiba,27.09.1928,174 cm 84 kg,4-11
M20w,Masumiyama,Mihogaseki,Wakayama,17.01.1922,182 cm 99 kg,5-10
M21e,Itsutsunada,Dewanoumi,Nagasaki,05.02.1929,168 cm 81 kg,11-4
M21w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,7-8
Y1e,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174 cm 162 kg,9-6
Y1w,Azumafuji,Takasago,Tokyo,28.10.1921,179 cm 178 kg,14-1 Y
Y2eHD,Haguroyama,Tatsunami,Niigata,18.11.1914,179 cm 129.5 kg,0-0-15
Y2wHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,11-4
O1e,Yoshibayama,Takashima,Hokkaido,03.04.1920,179 cm 143 kg,11-4
O1w,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,8-7
O2eHD,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,8-7
S1e,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,7-8
S1w,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,6-9
K1e,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,8-7
K1w,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,8-7
M1e,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,2-6-7
M1w,Otachi,Dewanoumi,Fukuoka,06.10.1923,194 cm 180 kg,4-11
M2e,Shimizugawa,Oitekaze,Hyogo,13.08.1925,176 cm 115 kg,5-10
M2w,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,9-6
M3e,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,10-5 S
M3w,Nayoroiwa,Tatsunami,Hokkaido,27.09.1914,173 cm 128 kg,4-11
M4e,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,8-7
M4w,Wakasegawa,Araiso,Hyogo,20.02.1920,176 cm 110 kg,4-11
M5e,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,5-10
M5w,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,7-8
M6e,Kotonishiki,Nishonoseki,Kagawa,07.03.1922,177 cm 120 kg,10-5 K
M6w,Orochigata,Nishikijima,Akita,20.05.1919,179 cm 120 kg,10-5
M7e,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,7-8
M7w,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,6-9
M8e,Tsunenoyama,Dewanoumi,Okayama,09.02.1925,175 cm 98 kg,7-8
M8w,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,11-4
M9e,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,9-6
M9w,Shimanishiki,Takasago,Osaka,26.09.1928,174 cm 135 kg,3-12
M10e,Futaseyama,Asahiyama,Osaka,07.08.1921,169 cm 108 kg,7-8
M10w,Terunobori,Takashima,Hokkaido,26.01.1922,177 cm 104 kg,8-7
M11e,Hiodoshi,Nishikijima,Akita,22.08.1922,179 cm 120 kg,8-7
M11w,Hirosegawa,Araiso,Miyagi,28.02.1919,180 cm 105 kg,6-9
M12e,Bishuyama,Araiso,Hiroshima,04.11.1919,167 cm 128 kg,4-11
M12w,Kaminishiki,Takashima,Aomori,28.08.1925,180 cm 96 kg,6-9
M13e,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,11-4
M13w,Kainoyama,Nishikijima,Yamanashi,04.03.1921,170 cm 113 kg,6-9
M14e,Onobori,Tatsunami,Nagano,01.08.1925,185 cm 116 kg,10-5
M14w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,9-6
M15e,Yoshidagawa,Tokitsukaze,Yamanashi,19.11.1927,171 cm 105 kg,5-10
M15w,Yoshiiyama,Dewanoumi,Fukuoka,13.03.1924,182 cm 92 kg,6-9
M16e,Fukunosato,Miyagino,Fukuoka,03.12.1923,176 cm 85 kg,9-6
M16w,Kusunishiki,Miyagino,Fukuoka,01.02.1921,171 cm 120 kg,8-7
M17e,Naruyama,Onogawa,Hyogo,27.11.1931,176 cm 110 kg,12-3 JG
M17w,Azumaumi,Araiso,Tokyo,14.03.1924,174 cm 166 kg,5-10
M18e,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185 cm 108 kg,10-5
M18w,Daitenryu,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,6-9
M19e,Dewaminato,Dewanoumi,Aomori,14.04.1923,177 cm 98 kg,8-7
M19w,Dairyu,Nishonoseki,Hokkaido,18.02.1927,173 cm 89 kg,4-11
M20e,Kiyoenami,Tatsunami,Ishikawa,24.06.1923,175 cm 118 kg,6-9
M20w,Itsutsunada,Dewanoumi,Nagasaki,05.02.1929,168 cm 81 kg,6-9
Y1e,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,12-3 J
Y1w,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174 cm 162 kg,9-6
Y2eHD,Azumafuji,Takasago,Tokyo,28.10.1921,179 cm 178 kg,4-4-7
Y2wHD,Yoshibayama,Takashima,Hokkaido,03.04.1920,179 cm 143 kg,11-4
O1e,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,14-1 Y
O1w,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,5-10
S1e,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,9-6
S1w,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,11-4 S
S2eHD,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,9-6
K1e,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,6-9
K1w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,6-9
K2wHD,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,6-9
M1e,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185 cm 108 kg,6-9
M1w,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,6-9
M2e,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,3-2-10
M2w,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,7-8
M3e,Orochigata,Nishikijima,Akita,20.05.1919,179 cm 120 kg,3-12
M3w,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,3-7-5
M4e,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,10-5 G
M4w,Naruyama,Onogawa,Hyogo,27.11.1931,176 cm 110 kg,7-8
M5e,Miyanishiki,Takasago,Iwate,30.05.1927,171 cm 119 kg,8-7 K
M5w,Shimanishiki,Takasago,Osaka,26.09.1928,174 cm 135 kg,3-12
M6e,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,8-7
M6w,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,4-11
M7e,Kotonishiki,Nishonoseki,Kagawa,07.03.1922,177 cm 120 kg,7-8
M7w,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,9-6
M8e,Onobori,Tatsunami,Nagano,01.08.1925,185 cm 116 kg,9-6
M8w,Wakasegawa,Araiso,Hyogo,20.02.1920,176 cm 110 kg,9-6
M9e,Nayoroiwa,Tatsunami,Hokkaido,27.09.1914,173 cm 128 kg,4-11
