Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
J10e,Utsunomiya,Dewanoumi,Tochigi,15.06.1890,182 cm 98 kg,3-1-1d
J10w,Karumogawa,Tomozuna,Hyogo,1886,170 cm 86 kg,4-0-1a
J11e,Miyagiyama,Izutsu,Miyagi,13.10.1889,174 cm 98 kg,2-2-1a
J11w,Chibagatake,-,-,,,2-2-1d
J12e,Kurokumo,-,-,,,1-3-1a
J12w,Kashozan,Tomozuna,Kochi,09.10.1889,167 cm 79 kg,0-5
J13e,Iwakiyama,Kiyomigata,Tochigi,13.08.1890,171 cm 87 kg,3-1-1d-1a
J13w,Tamagasaki#,-,-,,,2-2-1d
J14e,Shikishima,Tomozuna,Toyama,09.11.1887,170 cm 96 kg,1-4
J14w,Yamadagawa,Inagawa,Toyama,02.03.1886,168 cm 92 kg,5-0
J15e,Kaizan,Tomozuna,Kochi,27.12.1888,182 cm 113 kg,1-1-1a
J15w,Oyodo,Oguruma,Tokyo,,,3-2
J1e,Unryu,Oitekaze,Aomori,03.1880,165 cm 98 kg,5-3-1d-1a
J1w,Kanzaki,Takasago,Hyogo,13.09.1882,166 cm 75 kg,4-5
J2e,Futatsubiki#,-,-,,,3-3
J2w,Shingari,-,-,,,2-6
J3e,Tsushimanada,Dewanoumi,Nagasaki,19.08.1887,190 cm 105 kg,5-2-1d
J3w,Kashozan,Tomozuna,Kochi,09.10.1889,167 cm 79 kg,6-2 Y
J4e,Tamanogawa,Sadogatake,Tokyo,02.04.1885,164 cm 79 kg,2-4
J4w,Nihonkai,Dewanoumi,Akita,25.03.1882,178 cm 83 kg,4-1-1d
J5e,Asamidori,Dewanoumi,Yamagata,04.02.1889,173 cm 86 kg,3-3
J5w,Masagoiwa,Oguruma,Miyagi,15.05.1891,170 cm 88 kg,3-2-1a
J6e,Asashiyama,-,-,,,4-2
J6w,Fujinokawa,Isenoumi,Niigata,10.04.1888,174 cm 94 kg,1-4
J7e,Matsuigawa,-,-,,,4-3
J7w,Karumogawa,Tomozuna,Hyogo,1886,170 cm 86 kg,5-1
J8e,Iwakiyama,Kiyomigata,Tochigi,13.08.1890,171 cm 87 kg,4-2
J8w,Ayagawa,Irumagawa,Aomori,25.11.1883,175 cm 101 kg,5-1
J9e,Koganeiwa#,-,-,,,2-3
J9w,Narutonada,-,-,,,3-2
J10e,Shakagatake,Dewanoumi,Yamagata,15.05.1889,174 cm 90 kg,4-1
J10w,Tachinooto#,-,-,,,0-4
J11e,Otokojima,Dewanoumi,Akita,18.02.1878,176 cm 98 kg,2-3
J11w,Ogurayama,-,-,,,1-3
J12e,Ryogoku,Dewanoumi,Akita,18.03.1892,173 cm 90 kg,4-0-1a
J12w,Tosanoura,Hatachiyama,Aomori,27.12.1885,170 cm 120 kg,0-0
J13e,Shiraume,Minezaki,Gunma,25.10.1884,164 cm 86 kg,2-3
J13w,Yotsuguruma,-,-,,,2-3
J14e,Osaki,Oguruma,Miyagi,1874,164 cm 75 kg,1-4
J14w,Chibagatake,-,-,,,2-3
J15e,Shikishima,Tomozuna,Toyama,09.11.1887,170 cm 96 kg,3-3
J15w,Miyagiyama,Izutsu,Miyagi,13.10.1889,174 cm 98 kg,3-2
J1e,Tsushimanada,Dewanoumi,Nagasaki,19.08.1887,190 cm 105 kg,4-1-1a
J1w,Umenohana,Ikazuchi,Fukui,10.06.1887,164 cm 105 kg,0-3
J2e,Nihonkai,Dewanoumi,Akita,25.03.1882,178 cm 83 kg,1-4
J2w,Akashiryu,Hakkaku,Hyogo,14.02.1881,167 cm 83 kg,0-0
J3e,Onishiki,Dewanoumi,Osaka,25.11.1891,175 cm 139 kg,7-0 Y
J3w,Matsuigawa,-,-,,,1-4-1a
J4e,Tochigiyama,Dewanoumi,Tochigi,05.02.1892,172 cm 104 kg,5-1
J4w,Narutonada,Nakagawa,Tokushima,02.11.1886,171 cm 100 kg,4-1
J5e,Kanzaki,Takasago,Hyogo,13.09.1882,166 cm 75 kg,0-0
J5w,Otokojima,Dewanoumi,Akita,18.02.1878,176 cm 98 kg,0-5
J6e,Fujinokawa,Isenoumi,Niigata,10.04.1888,174 cm 94 kg,4-2
J6w,Umekawa,Dewanoumi,Yamagata,27.04.1888,176 cm 94 kg,5-0
J7e,Sakahoko,Izutsu,Kagoshima,25.10.1894,173 cm 86 kg,3-2
J7w,Makinoshima,Hatachiyama,Chiba,25.07.1889,167 cm 109 kg,0-0
J8e,Otoiwa,Dewanoumi,Fukuoka,13.04.1890,175 cm 101 kg,3-1-1a
J8w,Shikishima,Tomozuna,Toyama,09.11.1887,170 cm 96 kg,3-2
J9e,Momijigawa,Tomozuna,Saitama,05.03.1895,171 cm 71 kg,3-3
J9w,Futatsubiki#,-,-,,,1-4
J10e,Tamanogawa,Sadogatake,Tokyo,02.04.1885,164 cm 79 kg,4-2
J10w,Kunimizaki,-,-,,,2-3
J11e,Asashiyama,-,-,,,3-3
J11w,Senkai#,-,-,,,2-3
J12e,Yamadagawa,Inagawa,Toyama,02.03.1886,168 cm 92 kg,2-2-1a
J12w,Namiizumi#,-,-,,,0-4-1a
J13e,Miyagiyama,Izutsu,Miyagi,13.10.1889,174 cm 98 kg,3-2-1a
J13w,Iwakiyama,Kiyomigata,Tochigi,13.08.1890,171 cm 87 kg,4-1
J14e,Oyodo,Oguruma,Tokyo,,,1-4
J14w,Kyushuzan,Irumagawa,Fukuoka,12.05.1889,174 cm 124 kg,4-1
J15e,Arakado,-,-,,,2-1
J15w,Yotsuguruma,-,-,,,1-4
J1e,Hiodoshi,Hatachiyama,Chiba,25.07.1889,167 cm 109 kg,0-3
J1w,Onogasaki,Kumagatani,Aomori,01.01.1884,170 cm 86 kg,0-0
J2e,Ichiminato,Dewanoumi,Akita,01.08.1890,174 cm 92 kg,4-1
J2w,Kotogaura,Hatachiyama,Toyama,11.02.1890,177 cm 105 kg,6-0
J3e,Chibagasaki,Hatachiyama,Chiba,10.04.1893,176 cm 120 kg,7-0 Y
J3w,Fujinokawa,Isenoumi,Niigata,10.04.1888,174 cm 94 kg,5-3
J4e,Kunigaiwa,Irumagawa,Tokushima,04.01.1875,165 cm 88 kg,1-4
J4w,Komaizumi,Izutsu,Miyagi,11.04.1893,180 cm 96 kg,4-1
J5e,Naruseyama,-,-,,,2-3
J5w,Oshio,Michinoku,Fukuoka,24.02.1893,182 cm 90 kg,3-2
J6e,Otoiwa,Dewanoumi,Fukuoka,13.04.1890,175 cm 101 kg,4-1
J6w,Yahatayama,-,-,,,1-3-1a
J7e,Fujigaya#,-,-,,,1-4
J7w,Sakuragawa,Tatsutayama,Aomori,17.05.1886,167 cm 105 kg,2-2-1a
J8e,Kunimizaki,-,-,,,2-3
J8w,Kuroodoshi#,-,-,,,1-3-1d
J9e,Asashiyama,-,-,,,2-2-1a
J9w,Aratama,-,-,,,2-2-1a
J10e,Araishi#,-,-,,,2-3
J10w,Sotogahama,-,-,,,2-1-1a
J11e,Otokojima,Dewanoumi,Akita,18.02.1878,176 cm 98 kg,1-2-2d
J11w,Tsunenohana,Dewanoumi,Okayama,23.11.1896,178 cm 112 kg,2-2-1a
J12e,Tachiarashi,Tomozuna,Tokyo,,,0-4
J12w,Karumogawa,Tomozuna,Hyogo,1886,170 cm 86 kg,2-3
J13e,Hatachiyama,Hatachiyama,Yamagata,18.07.1887,166 cm 101 kg,2-3
J13w,Shikokunada#,-,-,,,1-4
J14e,Onosato,Dewanoumi,Aomori,01.04.1892,164 cm 97 kg,5-0
J14w,Namiizumi#,-,-,,,3-1-1d
J15e,Onotaka,Furiwake,Aomori,10.08.1891,168 cm 88 kg,3-2
J15w,Kojimanada#,-,-,,,2-2
J1e,Kotogaura,Hatachiyama,Toyama,11.02.1890,177 cm 105 kg,4-4-1d-1a
J1w,Otoiwa,Dewanoumi,Fukuoka,13.04.1890,175 cm 101 kg,6-3
J2e,Onosato,Dewanoumi,Aomori,01.04.1892,164 cm 97 kg,3-3
J2w,Fukuyanagi,Dewanoumi,Fukuoka,05.03.1893,176 cm 105 kg,4-2-1a
J3e,Misugiiso,Isenoumi,Hokkaido,26.11.1892,177 cm 101 kg,5-1-1a
J3w,Namiizumi#,-,-,,,2-4
J4e,Naruseyama,-,-,,,3-2
J4w,Kunimizaki,-,-,,,1-3-1d
J5e,Shingari,-,-,,,1-4
J5w,Hananoyama,-,-,,,1-4
J6e,Aratama,-,-,,,1-4
J6w,Kunigaiwa,Irumagawa,Tokushima,04.01.1875,165 cm 88 kg,2-3
J7e,Kinokawa,Dewanoumi,Tokyo,,,1-3-1a
J7w,Takachiho,-,-,,,2-3
J8e,Tachiarashi,Tomozuna,Tokyo,,,2-3
J8w,Onishiyama,Dewanoumi,Ibaraki,25.03.1892,170 cm 92 kg,3-2
J9e,Uranohana,Urakaze,Tokyo,,,3-2
J9w,Minenomori#,-,-,,,2-1
J10e,Shinonome,Ikazuchi,Tokushima,09.05.1886,173 cm 105 kg,3-2
J10w,Kinryu#,Ikazuchi,Tokyo,,,3-2
J11e,Yahazuyama,Tomozuna,Kochi,27.12.1888,182 cm 113 kg,3-2
J11w,Yaetaka#,-,-,,,3-2
J12e,Asamidori,Dewanoumi,Yamagata,04.02.1889,173 cm 86 kg,2-1-1d-1a
J12w,Tamanogawa,Sadogatake,Tokyo,02.04.1885,164 cm 79 kg,3-1-1a
J13e,Tegarayama,-,-,,,1-4
J13w,Nakanokawa,-,-,,,2-3
J14e,Wakahitachi,Dewanoumi,Shimane,16.04.1896,173 cm 116 kg,5-0 Y
J14w,Inabadake,Hamakaze,Chiba,07.11.1889,173 cm 94 kg,1-3
J15e,Minezakura,-,-,,,2-3
J15w,Otokojima,Dewanoumi,Akita,18.02.1878,176 cm 98 kg,2-3
J1e,Tomonoura,Dewanoumi,Okayama,16.03.1893,166 cm 90 kg,4-3
J1w,Wakahitachi,Dewanoumi,Shimane,16.04.1896,173 cm 116 kg,2-3-1a
J2e,Tsuruwatari,Nakadachi,Tokyo,07.06.1886,176 cm 113 kg,2-1
J2w,Nishikinada,Izutsu,Kagawa,19.09.1888,174 cm 112 kg,5-0-1a Y
J3e,Shinonome,Ikazuchi,Tokushima,09.05.1886,173 cm 105 kg,2-2
J3w,Omisaki,-,-,,,3-3
J4e,Shiraiwa,Oguruma,Miyagi,21.03.1890,173 cm 90 kg,4-1-1a
J4w,Shingari,-,-,,,0-0
J5e,Kinokawa,Dewanoumi,Tokyo,,,2-2-1a
J5w,Shishigatake,-,-,,,0-0
J6e,Yashuzan,-,-,,,2-3
J6w,Tachiarashi,Tomozuna,Tokyo,,,0-5
J7e,Tokitsukaze,-,-,,,3-2
J7w,Imizugawa,Takasago,Toyama,10.05.1894,173 cm 90 kg,2-3
J8e,Kogotayama,Isenoumi,Miyagi,26.01.1893,165 cm 83 kg,3-2
J8w,Jinriki,-,-,,,3-1-1a
J9e,Wakashima,Tomozuna,Toyama,27.02.1888,166 cm 90 kg,1-4
J9w,Tamanogawa,Sadogatake,Tokyo,02.04.1885,164 cm 79 kg,1-4
J10e,Asamidori,Dewanoumi,Yamagata,04.02.1889,173 cm 86 kg,2-3
J10w,Kinryu#,Ikazuchi,Tokyo,,,2-3
J11e,Tachihikari,Takasago,Hokkaido,29.03.1897,170 cm 113 kg,3-1
J11w,Ryugamine,-,-,,,2-3
J12e,Asamifuji,Takasago,Ehime,03.01.1897,173 cm 90 kg,3-2
J12w,Yaetaka#,-,-,,,1-1-1a
J13e,Nagatonada,-,-,,,4-1
J13w,Naranishiki,Minatogawa,Akita,10.03.1894,171 cm 86 kg,3-2
J14e,Imadegawa#,-,-,,,2-3
J14w,Wakabayama,Hatachiyama,Chiba,09.03.1895,175 cm 105 kg,3-2
J15e,Tamayanagi,-,-,,,2-3
J15w,Hananoyama,-,-,,,2-1
J1e,Akutsugawa,Takasago,Tochigi,30.09.1897,170 cm 98 kg,7-2 Y
J1w,Omisaki,-,-,,,3-4
J2e,Shinonome,Ikazuchi,Tokushima,09.05.1886,173 cm 105 kg,5-2-1a
J2w,Naranishiki,Minatogawa,Akita,10.03.1894,171 cm 86 kg,3-4
J3e,Imizugawa,Takasago,Toyama,10.05.1894,173 cm 90 kg,5-2
J3w,Tsurunoumi,-,-,,,3-3
J4e,Kinokawa,Dewanoumi,Tokyo,,,0-1
J4w,Wakadachi,Takasago,Toyama,19.07.1898,171 cm 90 kg,2-3
J5e,Tachihikari,Takasago,Hokkaido,29.03.1897,170 cm 113 kg,3-2
J5w,Yaetaka#,-,-,,,2-3
J6e,Ayanishiki,Oitekaze,Aomori,25.05.1892,173 cm 90 kg,3-2
J6w,Yashuzan,-,-,,,2-3
J7e,Wakabayama,Hatachiyama,Chiba,09.03.1895,175 cm 105 kg,4-1
J7w,Wakahitachi,Dewanoumi,Shimane,16.04.1896,173 cm 116 kg,3-2
J8e,Saganishiki,-,-,,,3-2
J8w,Meijino,-,-,,,1-4
J9e,Noshirogata,Nishikijima,Akita,05.04.1895,170 cm 124 kg,4-1
J9w,Tsurugahama,Araiso,Nara,19.07.1893,178 cm 105 kg,3-1-1d
J10e,Wakabayashi,-,-,,,1-4
J10w,Takanoyama,Dewanoumi,Wakayama,15.11.1896,176 cm 94 kg,3-2
J11e,Nagatonada,-,-,,,1-4
J11w,Jinriki,-,-,,,3-2
J12e,Tachinoumi,Takasago,Shimane,25.07.1894,174 cm 88 kg,3-2
J12w,Imadegawa#,-,-,,,3-2
J13e,Kuragatake,Takasago,Kumamoto,06.11.1898,173 cm 120 kg,3-2
J13w,Kametagawa#,-,-,,,1-4
J14e,Asamifuji,Takasago,Ehime,03.01.1897,173 cm 90 kg,3-1-1d
J14w,Terukaze,Dewanoumi,Akita,01.10.1894,178 cm 94 kg,3-2
J15e,Tokitsukaze,-,-,,,1-4
J15w,Mayaoroshi,Isegahama,Hyogo,25.01.1896,176 cm 113 kg,4-1
J1e,Noshirogata,Nishikijima,Akita,05.04.1895,170 cm 124 kg,5-5
J1w,Hakkozan,Takashima,Aomori,03.08.1884,175 cm 94 kg,4-2
J2e,Tachihikari,Takasago,Hokkaido,29.03.1897,170 cm 113 kg,6-2-1d
J2w,Tsurugahama,Araiso,Nara,19.07.1893,178 cm 105 kg,7-2 Y
J3e,Ichiminato,Dewanoumi,Akita,01.08.1890,174 cm 92 kg,3-5-1d
J3w,Kuragatake,Takasago,Kumamoto,06.11.1898,173 cm 120 kg,5-2
J4e,Ayaoni,Nakagawa,Shizuoka,17.06.1900,165 cm 130 kg,4-3
J4w,Terukaze,Dewanoumi,Akita,01.10.1894,178 cm 94 kg,3-5
J5e,Kirinohana,Hatachiyama,Tokyo,,,1-4
J5w,Omisaki,-,-,,,1-4
J6e,Asamifuji,Takasago,Ehime,03.01.1897,173 cm 90 kg,3-1-1d
J6w,Wakadachi,Takasago,Toyama,19.07.1898,171 cm 90 kg,4-1
J7e,Kuganishiki,Izutsu,Oita,26.08.1893,181 cm 117 kg,4-1
J7w,Nishikinada,Izutsu,Kagawa,19.09.1888,174 cm 112 kg,0-2
J8e,Tachinoumi,Takasago,Shimane,25.07.1894,174 cm 88 kg,2-2-1d
J8w,Orochiyama,Nishikijima,Akita,26.12.1897,179 cm 94 kg,3-1-1d
J9e,Hakurozan#,Hakkaku,Tokyo,,,2-1
J9w,Mutsunoyama,Isenoumi,Miyagi,14.12.1897,174 cm 85 kg,3-1-1d
J10e,Masaiwa#,-,-,,,4-1
J10w,Meijino,-,-,,,1-4
J11e,Takanoyama,Dewanoumi,Wakayama,15.11.1896,176 cm 94 kg,1-3-1a
J11w,Shikishima,Tomozuna,Toyama,09.11.1887,170 cm 96 kg,1-4
J12e,Asaonada,-,-,,,2-3
J12w,Hitachishima,Dewanoumi,Osaka,11.03.1897,173 cm 98 kg,3-2
J13e,Ayanishiki,Oitekaze,Aomori,25.05.1892,173 cm 90 kg,3-0
J13w,Wakahitachi,Dewanoumi,Shimane,16.04.1896,173 cm 116 kg,3-2
J14e,Mutsunishiki,-,-,,,3-2
J14w,Wakanaruto,-,-,,,3-2
J15w,Saganishiki,-,-,,,2-2-1a
J1e,Hakkozan,Takashima,Aomori,03.08.1884,175 cm 94 kg,0-3
J1w,Asamifuji,Takasago,Ehime,03.01.1897,173 cm 90 kg,5-3
J2e,Terukaze,Dewanoumi,Akita,01.10.1894,178 cm 94 kg,5-3
J2w,Ibukiyama,Dewanoumi,Shiga,03.01.1895,189 cm 116 kg,4-3
J3e,Nishikinada,Izutsu,Kagawa,19.09.1888,174 cm 112 kg,3-4
J3w,Mutsunoyama,Isenoumi,Miyagi,14.12.1897,174 cm 85 kg,7-3
J4e,Wakahitachi,Dewanoumi,Shimane,16.04.1896,173 cm 116 kg,4-3-1d
J4w,Orochiyama,Nishikijima,Akita,26.12.1897,179 cm 94 kg,3-4
J5e,Katsuragawa,-,-,,,0-0
J5w,Tachinoumi,Takasago,Shimane,25.07.1894,174 cm 88 kg,4-3-1d
J6e,Kenrokuzan,Tatsunami,Ishikawa,20.02.1899,183 cm 98 kg,1-4
J6w,Onishiyama,Dewanoumi,Ibaraki,25.03.1892,170 cm 92 kg,2-3-1a
J7e,Ayanishiki,Oitekaze,Aomori,25.05.1892,173 cm 90 kg,5-2
J7w,Takanoyama,Dewanoumi,Wakayama,15.11.1896,176 cm 94 kg,5-3
J8e,Hitachishima,Dewanoumi,Osaka,11.03.1897,173 cm 98 kg,6-1 Y
J8w,Jinriki,-,-,,,2-4
J9e,Oshima,-,-,,,4-4
J9w,Wakadachi,Takasago,Toyama,19.07.1898,171 cm 90 kg,2-3-1a
J10e,Iwakiyama,Furiwake,Aomori,10.08.1891,168 cm 88 kg,3-4
J10w,Naranishiki,Minatogawa,Akita,10.03.1894,171 cm 86 kg,4-5
J11e,Ashidagawa,-,-,,,1-4
J11w,Iwamidake#,-,-,,,1-4
J12e,Azumagawa,-,-,,,2-3
J12w,Masaiwa#,-,-,,,1-4
J13e,Ayaoni,Nakagawa,Shizuoka,17.06.1900,165 cm 130 kg,4-2
J13w,Kaigetsu,Hanakago,Fukuoka,02.02.1899,169 cm 90 kg,3-4
