Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
J8e,Minanogawa,Sadogatake,Ibaraki,17.09.1903,193 cm 154 kg,4-5
J8w,Koganeyama,Dewanoumi,Tokyo,,,4-6
J9e,Komagatake,Dewanoumi,Osaka,02.12.1901,173 cm 107 kg,3-7
J9w,Katanohama,Sendagawa,Oita,1902,,0-0-11
J10e,Iwakiyama,Yamashina,Yamagata,18.11.1895,173 cm 90 kg,4-7
J10w,Tochinohana,Kasugano,Tokyo,04.05.1902,185 cm 94 kg,6-5
J11e,Kanehanayama#,-,-,,,5-6
J11w,Genbuyama,Asahiyama,Yamagata,24.09.1887,NaN cm 140 kg,9-2 Y
J12e,Setoyama,Jinmaku,Fukuoka,11.02.1890,176 cm 105 kg,8-3
J12w,Torigamine,-,-,,,4-6
J1e,Hitachishima,Dewanoumi,Osaka,11.03.1897,173 cm 98 kg,1-6-4
J1w,Ayaoni,Nakagawa,Shizuoka,17.06.1900,165 cm 130 kg,1-5-5
J2e,Tenryu,Dewanoumi,Shizuoka,01.11.1903,187 cm 116 kg,7-4
J2w,Tochinohana,Kasugano,Tokyo,04.05.1902,185 cm 94 kg,0-0-11
J3e,Setoyama,Jinmaku,Fukuoka,11.02.1890,176 cm 105 kg,6-5
J3w,Takaragawa,Tomozuna,Kochi,08.02.1899,173 cm 98 kg,6-5
J4e,Ayazakura,Dewanoumi,Aomori,11.03.1898,170 cm 113 kg,7-4
J4w,Yasakahama#,Nishonoseki,Tokushima,16.03.1900,176 cm 128 kg,3-8
J5e,Aranami,Tatsunami,Ishikawa,06.04.1901,170 cm 86 kg,2-9
J5w,Genbuyama,Asahiyama,Yamagata,24.09.1887,NaN cm 140 kg,3-3-5
J6e,Harenoumi,Tomozuna,Kochi,06.12.1898,176 cm 86 kg,5-4-2
J6w,Fujinosato,Dewanoumi,Aomori,10.04.1901,167 cm 105 kg,8-3
J7e,Koganoura,Miyagino,Fukuoka,03.10.1904,177 cm 101 kg,8-2-1d Y
J7w,Ugohibiki,Dewanoumi,Akita,26.06.1904,167 cm 90 kg,7-4
J8e,Wakashio,Michinoku,Fukuoka,10.08.1900,184 cm 116 kg,4-7
J8w,Tsunenobori,Dewanoumi,Okayama,30.03.1905,174 cm 102 kg,4-4-3
J9e,Raikozan,Isenoumi,Hokkaido,06.01.1900,,4-7
J9w,Takanami,Tatsunami,Hokkaido,18.08.1905,177 cm 90 kg,7-4
J10e,Chigaiwa,Dewanoumi,Chiba,12.03.1902,171 cm 116 kg,7-4
J10w,Koganeyama,Dewanoumi,Tokyo,,,5-6
J10wOB,Oshima,Dewanoumi,Osaka,05.08.1897,173 cm 94 kg,6-3-2d
J1e,Fujinosato,Dewanoumi,Aomori,10.04.1901,167 cm 105 kg,3-8
J1w,Azumazeki,Takasago,Kumamoto,06.11.1898,173 cm 120 kg,5-6
J2e,Harenoumi,Tomozuna,Kochi,06.12.1898,176 cm 86 kg,7-4
J2w,Kaigetsu,Hanakago,Fukuoka,02.02.1899,169 cm 90 kg,4-7
J3e,Iwakiyama,Yamashina,Yamagata,18.11.1895,173 cm 90 kg,7-4
J3w,Oshima,Dewanoumi,Osaka,05.08.1897,173 cm 94 kg,0-1-10
J4e,Nadanohana,Dewanoumi,Hyogo,26.01.1902,170 cm 105 kg,6-5
J4w,Musashiyama,Dewanoumi,Kanagawa,05.12.1909,185 cm 116 kg,9-2
J5e,Oyazaki,-,-,,,3-8
J5w,Shiogahama,Takasago,Aomori,08.12.1897,170 cm 90 kg,7-4
J6e,Ayazakura,Dewanoumi,Aomori,11.03.1898,170 cm 113 kg,4-7
J6w,Takanami,Tatsunami,Hokkaido,18.08.1905,177 cm 90 kg,6-5
J7e,Ayanonami,Minatogawa,Aomori,25.08.1901,170 cm 94 kg,5-6
J7w,Komanishiki,Dewanoumi,Osaka,02.12.1901,173 cm 107 kg,2-8
J8e,Suwanishiki,Dewanoumi,Ibaraki,23.04.1902,179 cm 90 kg,3-8
J8w,Setoyama,Jinmaku,Fukuoka,11.02.1890,176 cm 105 kg,0-0-11
J9e,Ayanishiki,Oitekaze,Aomori,25.05.1892,173 cm 90 kg,0-0
J9w,Torigamine,-,-,,,7-4
J10e,Ugohibiki,Dewanoumi,Akita,26.06.1904,167 cm 90 kg,0-0-11
J10w,Chigaiwa,Dewanoumi,Chiba,12.03.1902,171 cm 116 kg,3-8
J11e,Takanohana,Dewanoumi,Niigata,07.12.1902,183 cm 120 kg,6-5
J11w,Wakasegawa,Isegahama,Akita,19.02.1903,167 cm 90 kg,6-5
J12e,Shimizugawa,Hatachiyama,Aomori,13.01.1900,177 cm 97 kg,10-1 Y
J12w,Otsuru,Kasugano,Hokkaido,01.01.1905,179 cm 86 kg,3-7-1
J1e,Wakahitachi,Dewanoumi,Shimane,16.04.1896,173 cm 116 kg,5-6
J1w,Ayazakura,Dewanoumi,Aomori,11.03.1898,170 cm 113 kg,6-5
J2e,Ayanonami,Minatogawa,Aomori,25.08.1901,170 cm 94 kg,7-4
J2w,Oshio,Michinoku,Fukuoka,10.08.1900,184 cm 116 kg,5-6
J3e,Fujinosato,Dewanoumi,Aomori,10.04.1901,167 cm 105 kg,5-6
J3w,Iwakiyama,Yamashina,Yamagata,18.11.1895,173 cm 90 kg,1-10
J4e,Kinkazan,Onogawa,Hyogo,26.08.1900,176 cm 103 kg,6-5
J4w,Oshima,Dewanoumi,Osaka,05.08.1897,173 cm 94 kg,4-7
J5e,Okitsuumi,Wakafuji,Fukuoka,28.05.1910,182 cm 116 kg,9-2 Y
J5w,Torigamine,-,-,,,3-8
J6e,Komanishiki,Dewanoumi,Osaka,02.12.1901,173 cm 107 kg,6-5
J6w,Ishiyama,Kasugano,Shiga,27.08.1904,175 cm 82 kg,2-7-2
J7e,Kasumigaura,Dewanoumi,Ibaraki,23.04.1902,179 cm 90 kg,7-4
J7w,Ugohibiki,Dewanoumi,Akita,26.06.1904,167 cm 90 kg,4-7
J8e,Harenoumi,Tomozuna,Kochi,06.12.1898,176 cm 86 kg,9-2
J8w,Hishuzan,Dewanoumi,Nagasaki,25.08.1906,180 cm 109 kg,7-4
J9e,Aranami,Tatsunami,Ishikawa,06.04.1901,170 cm 86 kg,2-9
J9w,Takanohana,Dewanoumi,Niigata,07.12.1902,183 cm 120 kg,5-6
J10e,Otsuru,Kasugano,Hokkaido,01.01.1905,179 cm 86 kg,6-5
J10w,Tsunenobori,Dewanoumi,Okayama,30.03.1905,174 cm 102 kg,4-1-6
J11e,Tokiwano,Dewanoumi,Nagasaki,27.01.1907,174 cm 94 kg,7-4
J11w,Kaikozan,Nishonoseki,Tokushima,16.03.1900,176 cm 128 kg,4-7
J1e,Arakuma,Jinmaku,Hyogo,13.12.1899,174 cm 113 kg,0-0
J1w,Ayawaka,Dewanoumi,Aomori,20.11.1909,170 cm 82.5 kg,5-6
J2e,Wakahitachi,Dewanoumi,Shimane,16.04.1896,173 cm 116 kg,0-0
J2w,Takanohana,Dewanoumi,Niigata,07.12.1902,183 cm 120 kg,7-4
J3e,Yamatonishiki,Dewanoumi,Nara,03.01.1905,173 cm 124 kg,7-4
J3w,Tsunenobori,Dewanoumi,Okayama,30.03.1905,174 cm 102 kg,5-6
J4e,Harenoumi,Tomozuna,Kochi,06.12.1898,176 cm 86 kg,3-8
J4w,Oshio,Michinoku,Fukuoka,10.08.1900,184 cm 116 kg,3-8
J5e,Takenosato,Dewanoumi,Aomori,20.04.1909,173 cm 94 kg,0-0
J5w,Kasumigaura,Dewanoumi,Ibaraki,23.04.1902,179 cm 90 kg,4-7
J6e,Ikedagawa,Tatsunami,Toyama,11.08.1900,168 cm 101 kg,3-8
J6w,Kurenishiki,Dewanoumi,Hiroshima,06.04.1906,171 cm 103 kg,0-2-9
J7e,Ugohibiki,Dewanoumi,Akita,26.06.1904,167 cm 90 kg,7-4
J7w,Otsuru,Kasugano,Hokkaido,01.01.1905,179 cm 86 kg,4-7
J8e,Takanobori,Takasago,Nagano,07.05.1908,185 cm 113 kg,8-3
J8w,Kinkazan,Onogawa,Hyogo,26.08.1900,176 cm 103 kg,10-1 Y
J9e,Isenishiki,Dewanoumi,Mie,23.02.1902,176 cm 90 kg,0-0
J9w,Tachiwaka,Takasago,Mie,01.10.1903,178 cm 97.5 kg,4-7
J10e,Shiogahama,Takasago,Aomori,08.12.1897,170 cm 90 kg,5-6
J10w,Kaikozan,Nishonoseki,Tokushima,16.03.1900,176 cm 128 kg,6-5
J11e,Azumagata,Asahiyama,Osaka,23.05.1908,176 cm 140 kg,2-9
J11w,Tatekabuto,Nakamura,Osaka,11.03.1908,168 cm 109 kg,7-4
J1e,Yoshinoiwa,Dewanoumi,Tokushima,08.03.1906,173 cm 82 kg,4-6
J1w,Taikyuzan,Dewanoumi,Okayama,05.09.1908,179 cm 94 kg,5-5
J2e,Wakamonryu,Kumegawa,Osaka,10.07.1907,188 cm 85 kg,0-0
J2w,Oyashima,Tatsunami,Toyama,10.03.1906,192 cm 120 kg,4-6
J3e,Hatsushima,Tomozuna,Shizuoka,17.08.1906,185 cm 97.5 kg,4-6
J3w,Kaigetsu,Hanakago,Fukuoka,02.02.1899,169 cm 90 kg,6-4
J4e,Torigamine,-,-,,,2-8
J4w,Tomoegata,Takashima,Hokkaido,30.03.1911,165 cm 90 kg,6-4
J5e,Matsumaeyama,Takashima,Hokkaido,05.08.1909,173 cm 86.5 kg,7-3
J5w,Nanaogata,Tatsunami,Ishikawa,11.03.1905,175 cm 88 kg,7-3
J6e,Sendai,Dewanoumi,Miyagi,01.01.1907,170 cm 120 kg,3-7
J6w,Koshinoumi,Wakafuji,Niigata,01.07.1906,173 cm 90 kg,7-3
J7e,Akitadake,Kasugano,Akita,27.03.1905,173 cm 86 kg,3-7
J7w,Toshuzan,Futagoyama,Kochi,01.01.1904,179 cm 112.5 kg,8-2 Y
J8e,Onami,Takashima,Akita,01.09.1908,187 cm 101 kg,5-5
J8w,Ainohana,Oshiogawa,Ehime,13.01.1904,170 cm 81 kg,4-4-2
J9e,Raizan,Nishikijima,Tokyo,17.05.1907,167 cm 101 kg,4-5-1d
J9w,Joyozan,Dewanoumi,Niigata,25.01.1903,174 cm 88 kg,3-7
J10e,Hamanoishi,Dewanoumi,Nagasaki,1907,171 cm 81 kg,3-7
J10w,Shimaizumi,Dewanoumi,Miyazaki,17.07.1905,173 cm 79 kg,5-5
Y1e,Haguroyama,Tatsunami,Niigata,18.11.1914,179 cm 129.5 kg,0-0-15
Y1w,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174 cm 162 kg,10-5
Y2eHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,1-5-9
Y2wHD,Azumafuji,Takasago,Tokyo,28.10.1921,179 cm 178 kg,12-3 J
O1e,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,14-1 Y
O1w,Yoshibayama,Takashima,Hokkaido,03.04.1920,179 cm 143 kg,10-5
S1e,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,10-5
S1w,Nayoroiwa,Tatsunami,Hokkaido,27.09.1914,173 cm 128 kg,4-11
S2eHD,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,11-4 K
K1e,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,6-9
K1w,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,8-7
M1e,Wakanohana,Shibatayama,Aomori,16.03.1928,179 cm 105 kg,8-7
M1w,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,7-8
M2e,Shimizugawa,Oitekaze,Hyogo,13.08.1925,176 cm 115 kg,11-4 S
M2w,Futaseyama,Asahiyama,Osaka,07.08.1921,169 cm 108 kg,4-11
M3e,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,7-8
M3w,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,4-11
M4e,Otachi,Dewanoumi,Fukuoka,06.10.1923,194 cm 180 kg,5-10
M4w,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,6-9
M5e,Wakasegawa,Araiso,Hyogo,20.02.1920,176 cm 110 kg,9-6
M5w,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,10-5 G
M6e,Hirosegawa,Araiso,Miyagi,28.02.1919,180 cm 105 kg,6-9
M6w,Tsunenoyama,Dewanoumi,Okayama,09.02.1925,175 cm 98 kg,5-10
M7e,Kotonishiki,Nishonoseki,Kagawa,07.03.1922,177 cm 120 kg,10-5
M7w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,5-10
M8e,Orochigata,Nishikijima,Akita,20.05.1919,179 cm 120 kg,7-8
M8w,Terunobori,Takashima,Hokkaido,26.01.1922,177 cm 104 kg,4-11
M9e,Bishuyama,Araiso,Hiroshima,04.11.1919,167 cm 128 kg,10-5
M9w,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,7-8
M9eHD,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,0-0-15
M10e,Kaminishiki,Takashima,Aomori,28.08.1925,180 cm 96 kg,10-5
M10w,Shimanishiki,Takasago,Osaka,26.09.1928,174 cm 135 kg,6-9
M11e,Itsutsunada,Dewanoumi,Nagasaki,05.02.1929,168 cm 81 kg,6-9
M11w,Yoshiiyama,Dewanoumi,Fukuoka,13.03.1924,182 cm 92 kg,7-8
M12e,Onobori,Tatsunami,Nagano,01.08.1925,185 cm 116 kg,6-9
M12w,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,9-6
M13e,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,11-4
M13w,Hiodoshi,Nishikijima,Akita,22.08.1922,179 cm 120 kg,9-6
M14e,Azumaumi,Araiso,Tokyo,14.03.1924,174 cm 166 kg,7-8
M14w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,10-5
M15e,Daitenryu,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,7-8
M15w,Kusunishiki,Miyagino,Fukuoka,01.02.1921,171 cm 120 kg,8-7
M16e,Kainoyama,Nishikijima,Yamanashi,04.03.1921,170 cm 113 kg,10-5
M16w,Kiyoenami,Tatsunami,Ishikawa,24.06.1923,175 cm 118 kg,6-9
M17e,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,8-7
M17w,Yutakayama,Isenoumi,Akita,29.09.1925,177 cm 97.5 kg,5-10
M18e,Aichiyama,Tatsunami,Aichi,10.03.1922,172 cm 105 kg,3-12
M18w,Yoshidagawa,Tokitsukaze,Yamanashi,19.11.1927,171 cm 105 kg,7-8
M19e,Oiwazan,Tatsunami,Tokyo,20.05.1919,179 cm 120 kg,7-8
M19w,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,7-8
M20e,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185 cm 108 kg,5-10
M20w,Fujitayama,Takasago,Fukuoka,11.02.1924,167 cm 113 kg,3-9-3
Y1e,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174 cm 162 kg,10-5
Y1w,Yoshibayama,Takashima,Hokkaido,03.04.1920,179 cm 143 kg,0-0-15
Y2eHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,10-5
Y2wHD,Azumafuji,Takasago,Tokyo,28.10.1921,179 cm 178 kg,5-3-7
O1e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,12-3 Y
O1w,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,9-6
S1e,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,9-6
S1w,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,8-7
K1e,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,8-7
K1w,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,10-5
M1e,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,4-11
M1w,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,9-6 S
