Rank,Name,Country,Time,Time_sec,Time_min,Year
16,Patrick Weaver,USA,24.4,2364.4,39.406666666666666,2002
17,Urban Lindgren,SWE,24.8,2364.8,39.413333333333334,2002
18,Andrey Golovko,KAZ,28.1,2368.1,39.468333333333334,2002
19,Masaaki Kozu,JPN,28.3,2368.3,39.47166666666667,2002
20,Odd-Bjørn Hjelmeset,NOR,31.4,2371.4,39.52333333333333,2002
21,Ivan Batory,SVK,32,2372,39.53333333333333,2002
22,Kris Freeman,USA,34.3,2374.3,39.57166666666667,2002
23,Alexander Marent,AUT,36.2,2376.2,39.60333333333333,2002
24,Martin Bajcicak,SVK,39.4,2379.4,39.656666666666666,2002
25,Vasily Rochev Jr.,RUS,42.1,2382.1,39.70166666666667,2002
26,Freddy Schwienbacher,ITA,44.9,2384.9,39.748333333333335,2002
27,Morgan Göransson,SWE,45.7,2385.7,39.76166666666666,2002
28,Cristian Saracco,ITA,48.4,2388.4,39.806666666666665,2002
29,Jiri Magal,CZE,48.6,2388.6,39.809999999999995,2002
30,Kuisma Taipale,FIN,50.3,2390.3,39.83833333333334,2002
31,Fulvio Valbusa,ITA,50.6,2390.6,39.843333333333334,2002
32,Roman Leybyuk,UKR,50.9,2390.9,39.848333333333336,2002
33,Jens Filbrich,GER,57,2397,39.95,2002
34,Petr Michl,CZE,0.2,2400.2,40.00333333333333,2002
35,Giorgio Di Centa,ITA,22.6,2422.6,40.376666666666665,2002
36,Hiroyuki Imai,JPN,27.1,2427.1,40.45166666666667,2002
37,Denis Krivushkin,KAZ,27.7,2427.7,40.461666666666666,2002
38,Hiroshi Kudo,JPN,29.9,2429.9,40.498333333333335,2002
39,Ricardas Panavas,LTU,31,2431,40.516666666666666,2002
40,Meelis Aasmäe,EST,31.2,2431.2,40.519999999999996,2002
41,Gerhard Urain,AUT,38,2438,40.63333333333333,2002
42,Pavel Riabinine,KAZ,3.2,2463.2,41.05333333333333,2002
43,Karri Hietamäki,FIN,13.6,2473.6,41.22666666666667,2002
44,Igor Zubrilin,KAZ,15.5,2475.5,41.25833333333333,2002
45,Milan Sperl,CZE,16.7,2476.7,41.27833333333333,2002
46,Donald Farley,CAN,26.6,2486.6,41.443333333333335,2002
47,Aleksandr Schalak,BLR,44.5,2504.5,41.74166666666667,2002
48,Nikolai Semeniako,BLR,48,2508,41.8,2002
49,Juris Germanis,LAT,50.1,2510.1,41.835,2002
50,Katsuhito Ebisawa,JPN,51.4,2511.4,41.85666666666667,2002
51,Alexij Tregobov,BLR,0.7,2520.7,42.01166666666666,2002
52,Vladislavas Zybailo,LTU,7.9,2527.9,42.13166666666667,2002
53,Ari Palolahti,FIN,10.7,2530.7,42.17833333333333,2002
54,Lars Flora,USA,11.5,2531.5,42.19166666666667,2002
55,Peter Schlickenrieder,GER,34,2554,42.56666666666667,2002
56,Han Dawei,CHN,34.5,2554.5,42.575,2002
57,Priit Narusk,EST,3.2,2583.2,43.05333333333333,2002
58,Denis Klobucar,CRO,45,2625,43.75,2002
59,Vadim Gusevas,LTU,56.2,2636.2,43.93666666666666,2002
60,Ivan Bariakov,BUL,41.2,2741.2,45.68666666666666,2002
61,Damir Jurcevic,CRO,49.6,2749.6,45.82666666666667,2002
62,Park Byung-joo,KOR,51.4,2751.4,45.85666666666667,2002
63,Jargal Erdenetulkhuur,MGL,54.7,2754.7,45.91166666666666,2002
64,Choi Im-hun,KOR,13.3,2773.3,46.22166666666667,2002
65,Lefteris Fafalis,GRE,17.9,2777.9,46.29833333333333,2002
66,Aram Hajiyan,ARM,42.9,2802.9,46.715,2002
1,Gunde Svan,SWE,25.6,2485.6,41.42666666666666,1984
2,Aki Karvonen,FIN,34.9,2494.9,41.58166666666667,1984
3,Harri Kirvesniemi,FIN,45.6,2505.6,41.76,1984
4,Juha Mieto,FIN,5.8,2525.8,42.09666666666667,1984
5,Vladimir Nikitin,URS,31.6,2551.6,42.526666666666664,1984
6,Nikolay Zimyatov,URS,34.5,2554.5,42.575,1984
7,Uwe Bellman,GDR,35.8,2555.8,42.59666666666667,1984
8,Tor Håkon Holte,NOR,37.4,2557.4,42.623333333333335,1984
9,Maurilio De Zolt,ITA,40,2560,42.666666666666664,1984
10,Aleksandr Batyuk,URS,42.2,2562.2,42.70333333333333,1984
11,Andreas Grünenfelder,SUI,45.7,2565.7,42.76166666666666,1984
12,Giachem Guidon,SUI,45.9,2565.9,42.765,1984
13,Kari Härkönen,FIN,49.3,2569.3,42.82166666666667,1984
14,Giorgio Vanzetta,ITA,54.9,2574.9,42.915,1984
15,Sven-Eric Danielsson,SWE,55.9,2575.9,42.931666666666665,1984
16,Aleksandr Zavyalov,URS,59,2579,42.983333333333334,1984
17,Pål Gunnar Mikkelsplass,NOR,59.7,2579.7,42.995,1984
18,Dan Simoneau,USA,3.4,2583.4,43.056666666666665,1984
19,Benny Kohlberg,SWE,21.5,2601.5,43.358333333333334,1984
20,Geir Holte,NOR,23.3,2603.3,43.388333333333335,1984
21,Pierre Harvey,CAN,36.4,2616.4,43.60666666666667,1984
22,Torgny Mogren,SWE,39.4,2619.4,43.656666666666666,1984
23,Uwe Wünsch,GDR,49.9,2629.9,43.83166666666667,1984
24,Giulio Capitanio,ITA,50.8,2630.8,43.84666666666667,1984
25,Alois Stadlober,AUT,51.6,2631.6,43.86,1984
26,Frank Schröder,GDR,52.1,2632.1,43.86833333333333,1984
27,William Koch,USA,53.7,2633.7,43.894999999999996,1984
28,Konrad Hallenbarter,SUI,0.3,2640.3,44.005,1984
29,Milos Becvar,TCH,0.8,2640.8,44.013333333333335,1984
30,Stefan Dotzler,FRG,2.6,2642.6,44.04333333333333,1984
31,Dominique Locatelli,FRA,7.5,2647.5,44.125,1984
32,Markus Fähndrich,SUI,8,2648,44.13333333333333,1984
33,Franz Schöbel,FRG,11.1,2651.1,44.184999999999995,1984
34,Gianfranco Polvara,ITA,35.7,2675.7,44.595,1984
35,Ivo Carman,YUG,4,2704,45.06666666666667,1984
36,Jozef Luszczek,POL,4.8,2704.8,45.080000000000005,1984
37,Josef Schneider,FRG,8.7,2708.7,45.144999999999996,1984
38,Atanas Simittchiev,BUL,17,2717,45.28333333333333,1984
39,Tim Caldwell,USA,21.2,2721.2,45.35333333333333,1984
40,Dusan Durisic,YUG,24.6,2724.6,45.41,1984
41,Karsten Brandt,GDR,40.1,2740.1,45.66833333333333,1984
42,Konstantin Ritter,LIE,41.5,2741.5,45.69166666666667,1984
43,Hideaki Yamada,JPN,42.3,2742.3,45.705000000000005,1984
44,Jean-Denis Jaussaud,FRA,44.4,2744.4,45.74,1984
45,Jose Giro,ESP,50.3,2750.3,45.83833333333334,1984
46,Pavel Benc,TCH,3.8,2763.8,46.06333333333334,1984
47,Kazunari Sasaki,JPN,4.8,2764.8,46.080000000000005,1984
48,Saso Grajf,YUG,21.1,2781.1,46.35166666666667,1984
49,Einar Olafsson,ISL,21.7,2781.7,46.361666666666665,1984
50,Satoshi Sato,JPN,25.5,2785.5,46.425,1984
51,Svetoslav Atanassov,BUL,28.9,2788.9,46.48166666666667,1984
52,Milouch Ivantchev,BUL,30.1,2790.1,46.501666666666665,1984
53,Andreas Gumpold,AUT,34.5,2794.5,46.575,1984
54,Todd Boonstra,USA,36.5,2796.5,46.608333333333334,1984
55,Gottlieb Konradsson,ISL,37.8,2797.8,46.63,1984
56,Yusei Nakazawa,JPN,38.6,2798.6,46.64333333333333,1984
57,John Spotswood,GBR,53.7,2813.7,46.894999999999996,1984
58,Mark Moore,GBR,3.2,2823.2,47.05333333333333,1984
59,David Hislop,AUS,25.5,2845.5,47.425,1984
60,Mike Dixon,GBR,18.6,2898.6,48.309999999999995,1984
61,Miguel Prat,ESP,30.6,2910.6,48.51,1984
62,Park Ki-ho,KOR,55.6,2935.6,48.92666666666666,1984
63,Marty Watkins,GBR,8.7,2948.7,49.144999999999996,1984
64,Chris Allen,AUS,14.5,2954.5,49.24166666666667,1984
65,Luvsandashiin Dorj,MGL,17.8,2957.8,49.29666666666667,1984
66,Song Shi,CHN,42.1,2982.1,49.70166666666667,1984
67,Li Xiaoming,CHN,3.3,3003.3,50.055,1984
68,Lin Guanghao,CHN,26.1,3026.1,50.434999999999995,1984
69,Zhu Dianfa,CHN,42.3,3042.3,50.705000000000005,1984
70,Nihattin Koca,TUR,58.7,3118.7,51.97833333333333,1984
71,Kim Bo-nam,KOR,4.4,3124.4,52.07333333333334,1984
72,Norberto Von Baumann,ARG,8.9,3128.9,52.14833333333333,1984
73,Julio Moreschi,ARG,19.1,3139.1,52.318333333333335,1984
74,Erhan Dursun,TUR,40.3,3220.3,53.67166666666667,1984
75,Ricardo Holler,ARG,34.6,3274.6,54.57666666666667,1984
76,Martín Pearson,ARG,50,3290,54.833333333333336,1984
77,Dimitrios Biliouris,GRE,7.7,3367.7,56.12833333333333,1984
78,Lazaros Tosounidis,GRE,9.7,3429.7,57.16166666666666,1984
79,Arturo Kinch,CRC,42.9,3522.9,58.715,1984
80,Ueng Ming-yih,TPE,10.6,3610.6,60.17666666666666,1984
81,Chang Kun-shung,TPE,57.7,3777.7,62.961666666666666,1984
82,Andrea Sammaritani,SMR,5.3,3785.3,63.08833333333334,1984
83,Wang Chi-hing,TPE,17,3797,63.28333333333333,1984
1,Eero Mäntyranta,FIN,54.1,3054.1,50.901666666666664,1964
2,Harald Grønningen,NOR,34.8,3094.8,51.580000000000005,1964
3,Sixten Jernberg,SWE,42.2,3102.2,51.70333333333333,1964
4,Väinö Huhtala,FIN,45.4,3105.4,51.75666666666667,1964
5,Janne Stefansson,SWE,46.4,3106.4,51.77333333333333,1964
6,Pavel Kolchin,URS,52,3112,51.86666666666667,1964
7,Igor Voronchikin,URS,53.9,3113.9,51.89833333333333,1964
8,Magnar Lundemo,NOR,55.2,3115.2,51.919999999999995,1964
9,Kalevi Laurila,FIN,59.8,3119.8,51.99666666666667,1964
10,Franco Nones,ITA,18,3138,52.3,1964
11,Eino Huhtala,FIN,18.2,3138.2,52.30333333333333,1964
12,Giuseppe Steiner,ITA,28,3148,52.46666666666667,1964
13,Assar Rönlund,SWE,35.5,3155.5,52.59166666666667,1964
14,Gennady Vaganov,URS,46.8,3166.8,52.78,1964
15,Einar Østby,NOR,52.2,3172.2,52.87,1964
16,Lars Olsson,SWE,57.9,3177.9,52.965,1964
17,Valery Tarakanov,URS,58.2,3178.2,52.97,1964
18,Giulio De Florian,ITA,31.7,3211.7,53.52833333333333,1964
19,Felix Mathieu,FRA,2.2,3242.2,54.03666666666666,1964
20,Victor Arbez,FRA,4,3244,54.06666666666667,1964
21,Jozef Rysula,POL,9.4,3249.4,54.156666666666666,1964
22,Walter Demel,GER,37,3277,54.61666666666667,1964
23,Roger Pires,FRA,38.5,3278.5,54.641666666666666,1964
24,Enno Röder,GER,52.8,3292.8,54.88,1964
25,Ole Ellefsæter,NOR,10.8,3310.8,55.18,1964
26,Tatsuo Kitamura,JPN,24.3,3324.3,55.405,1964
27,Marcello De Dorigo,ITA,26.1,3326.1,55.434999999999995,1964
28,Edward Budny,POL,35.2,3335.2,55.586666666666666,1964
29,Ladislav Hruby,TCH,44.9,3344.9,55.748333333333335,1964
30,Hans Ammann,SUI,44.9,3344.9,55.748333333333335,1964
31,Hans-Sigfrid Oberer,SUI,47.9,3347.9,55.79833333333333,1964
32,Franz Kälin,SUI,50.3,3350.3,55.83833333333334,1964
33,Tadeusz Jankowski,POL,57.2,3357.2,55.95333333333333,1964
34,Donald Macleod,CAN,58.5,3358.5,55.975,1964
35,Kazuo Sato,JPN,4.5,3364.5,56.075,1964
36,Helmut Weidlich,GER,4.6,3364.6,56.07666666666667,1964
37,Claude Legrand,FRA,5.8,3365.8,56.09666666666667,1964
38,Michael Gallagher,USA,19.4,3379.4,56.32333333333334,1964
39,Gheorghe Badescu,ROU,29.6,3389.6,56.49333333333333,1964
40,Konrad Hischier,SUI,42.3,3402.3,56.705000000000005,1964
41,Mike Elliott,USA,51.8,3411.8,56.86333333333334,1964
42,Hidezo Takahashi,JPN,3.4,3423.4,57.056666666666665,1964
43,Stefan Mitkov,BUL,5,3425,57.083333333333336,1964
44,Karl Buhl,GER,10.2,3430.2,57.169999999999995,1964
45,Jozef Misiaga,POL,27.1,3447.1,57.45166666666667,1964
46,Roman Seljak,YUG,30,3450,57.5,1964
47,Karl Bohlin,USA,54,3474,57.9,1964
48,Hermann Lackner,AUT,4,3484,58.06666666666667,1964
49,Dick Taylor,USA,19.6,3499.6,58.32666666666667,1964
50,Cveto Pavcic,YUG,21,3501,58.35,1964
51,Franz Portmann,CAN,47,3527,58.78333333333333,1964
52,Hubert Schrott,AUT,1.7,3541.7,59.02833333333333,1964
53,Anton Kogler,AUT,10.6,3550.6,59.17666666666666,1964
54,Luvsan-Ayuushiin Dashdemberel,MGL,8.1,3608.1,60.135,1964
55,Thorhallur Sveinsson,ISL,14.9,3614.9,60.248333333333335,1964
56,John Moore,GBR,16.6,3616.6,60.276666666666664,1964
57,Svend Carlsen,DEN,20.7,3620.7,60.345,1964
58,Chogoro Yahata,JPN,46.1,3646.1,60.76833333333333,1964
59,Günther Rieger,AUT,7.3,3667.3,61.12166666666667,1964
60,Janko Kobentar,YUG,14.6,3674.6,61.24333333333333,1964
61,Eric Luoma,CAN,39.8,3699.8,61.663333333333334,1964
62,Andrew Morgan,GBR,20.9,3740.9,62.348333333333336,1964
63,Banzragchiin Zundui,MGL,21.5,3741.5,62.358333333333334,1964
64,Sodnomtserengiin Natsagdorj,MGL,23.4,3743.4,62.39,1964
65,Martti Rautio,CAN,52.4,3772.4,62.873333333333335,1964
66,David Rees,GBR,6.8,3786.8,63.11333333333334,1964
67,Birgir Gudlaugsson,ISL,53.9,3893.9,64.89833333333334,1964
68,Dambadarjaagiin Baadai,MGL,23.6,3923.6,65.39333333333333,1964
69,Frederick Andrew,GBR,51.4,4011.4,66.85666666666667,1964
