Rank,Prev,Name,PDGA #,Country,WRPR,RR,Worlds,USDGC,Euro,NET,DGPT,Points
161,-,Rich Klein III,40067,US,1006,25.5,59,·,·,·,·,35.1
162,-,Nick Wood,51161,US,1003,27,·,·,·,·,52.3,35.2
163,-,Sam Shiley,56072,US,1002,27.5,·,·,·,·,·,35.5
163,-,Jacob Henson,60440,US,1002,27.5,·,·,·,·,·,35.5
163,-,Peter Lunde,72576,NO,1002,27.5,·,·,·,·,·,35.5
163,-,Jeff Vandemark,26326,US,1002,27.5,·,·,·,·,·,35.5
163,-,Ståle Hakstad,42588,NO,1002,27.5,·,·,·,·,·,35.5
163,-,Lewis Bitney,51242,US,1002,27.5,·,·,·,·,·,35.5
163,-,Logan Harpool,101319,US,1002,27.5,·,·,·,·,·,35.5
163,-,John Anderson,19996,US,1002,27.5,·,·,·,·,·,35.5
163,-,Knut Valen Håland,35070,NO,1006,25.5,89,·,22,·,·,35.5
163,-,Charlie Goodpasture,26455,US,1005,26,76,33,·,·,·,35.5
173,-,Tyler Liebman,24981,US,1007,25,·,65,·,·,·,35.7
173,-,Antti Turpeinen,85256,FI,1001,28,·,·,50,·,·,35.7
175,-,Dan Hastings,33504,US,1016,20.5,·,88,·,·,·,35.8
176,-,Masatoshi Ishihara,8153,JP,1001,28,·,·,·,·,·,36
176,-,Jeremiah Kraus,38737,US,1001,28,·,·,·,·,·,36
176,-,Ryan Robinson,66977,US,1001,28,·,·,·,·,·,36
176,-,Clayton Lawson,69229,US,1001,28,·,·,·,·,·,36
176,-,Matthew Blakely,15410,US,1001,28,·,·,·,·,·,36
176,-,Dan Schlitter,80219,US,1001,28,·,·,·,·,·,36
176,-,Kesler Martin,88497,US,1001,28,·,·,·,·,·,36
176,-,Tim Skellenger,26269,US,1001,28,·,·,·,·,·,36
176,-,Justin Anderson,55776,US,1001,28,·,·,·,·,·,36
185,-,Dominik Stampfer,35089,DE,1006,25.5,·,·,67,·,·,36.4
186,-,Bobby Cowperthwait,23188,US,1000,28.5,·,·,·,·,·,36.5
186,-,Geoff Bennett,24962,US,1000,28.5,·,·,·,·,·,36.5
186,-,Kristian Spliid,40430,DK,1000,28.5,·,·,·,·,·,36.5
186,-,Casey Hanemayer,67314,CA,1000,28.5,·,·,·,·,·,36.5
186,-,Dana Vicich,26228,US,1005,26,65,·,·,·,·,36.5
186,-,Andrew Nava,52403,US,1000,28.5,·,·,·,·,·,36.5
186,-,JohnE McCray,9852,US,1022,17.5,62,66,·,·,38.5,36.5
193,-,Isaac Heinen,44919,US,1007,25,72,·,·,·,·,36.8
194,-,Ben Kroll,42963,US,1002,27.5,62,·,·,·,·,37.3
195,-,Steven Jacobs,41260,US,1003,27,68,·,·,·,·,37.8
195,-,Chris Pinegar,74719,US,1000,28.5,·,60,·,·,·,37.8
197,-,Kyle Griffin,67149,US,1002,27.5,·,66,·,·,·,37.9
198,-,Avery Jenkins,7495,US,1005,26,78,·,46,·,·,38
199,-,Patrick Brown,25713,US,1003,27,60,47,·,·,40.5,38.1
200,-,Austin Turner,54049,US,1002,27.5,·,48,·,·,79,39.5
201,-,Thomas Tomaselli,80904,US,1002,27.5,77,·,·,·,·,39.8
202,-,Nicholas Masters,61176,US,1004,26.5,44,66,·,·,52.5,40.3
203,-,Willie Prince,31550,US,1003,27,39,76,·,·,48,40.7
204,-,Cole Wehrheim,60399,US,1001,28,83,·,·,·,·,41.2
205,-,Timothy Escobedo Jr,22698,US,1003,27,89,·,·,·,·,41.3
206,-,Simon Feasey,8508,NZ,1001,28,87,·,·,·,·,41.8
207,-,Garry Patton,49643,US,1002,27.5,90,·,·,·,·,41.9
208,-,Vincent Polidori,81039,US,1000,28.5,88,·,·,·,·,42.4
209,-,Nick Newton,47689,US,1012,22.5,102,47,·,·,62.3,46.5
210,-,Corey Ellis,44512,US,1003,27,74,67,·,·,58.3,46.7
211,-,Kyle Webster,28977,US,1006,25.5,86,·,·,·,128,52.7
