X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
,,,,,,,,,,,,,,
Event,Layout,Hole #,Length,CiRDS,Avg,Hole Par,Avg to Par,uP %,Par %,oP %,Times Played,# uPar,# Pars,# oPar
Dynamic Discs Open,ECC - 2022 MPO,14,893,430.0,4.57,4,0.57,3.87,52.26,43.87,155,6,81,68
Discraft Great Lakes Open,Toboggan MPO,17,840,403.5,4.56,4,0.56,8.19,43.27,48.54,342,28,148,166
European Open,European Open 2022,15,509,476.0,3.55,3,0.55,2.43,50.12,47.45,411,10,206,195
Dynamic Discs Open,ECC - 2022 MPO,16,320,287.0,3.54,3,0.54,21.29,22.58,56.13,155,33,35,87
Waco Annual Charity Open,Championship Layout MPO,9,519,243.0,4.53,4,0.53,11.20,45.10,43.70,357,40,161,156
Waco Annual Charity Open,Championship Layout MPO,12,609,288.0,4.53,4,0.53,8.40,46.50,45.10,357,30,166,161
Dynamic Discs Open,ECC - 2022 MPO,4,598,565.0,3.53,3,0.53,0.65,54.84,44.52,155,1,85,69
OTB Open,OTB Open AM - Blue,15,846,406.5,4.52,4,0.52,7.80,52.88,39.32,295,23,156,116
European Open,European Open 2022,18,699,333.0,4.51,4,0.51,23.11,27.74,49.15,411,95,114,202
Green Mountain Championship,DGPT Playoffs - Fox Run MPO,18,775,371.0,4.49,4,0.49,24.43,32.82,42.75,131,32,43,56
PDGA Professional Disc Golf World Championships,ECC MPO,12,450,417.0,3.47,3,0.47,9.13,52.58,38.29,504,46,265,193
Dynamic Discs Open,Supreme 18 - 2022 MPO,1,291,258.0,3.47,3,0.47,19.11,22.22,58.67,225,43,50,132
Jonesboro Open,MPO,18,818,392.5,4.45,4,0.45,10.32,50.72,38.97,349,36,177,136
OTB Open,OTB Open AM - Blue,18,689,328.0,4.44,4,0.44,15.25,47.46,37.29,295,45,140,110
United States Disc Golf Championship,USDGC-Rd1&4,17,249,216.0,3.43,3,0.43,28.13,43.23,28.65,192,54,83,55
United States Disc Golf Championship,USDGC-Rd2&3,18,647,307.0,4.43,4,0.43,27.60,25.00,47.40,192,53,48,91
Portland Open,2022 DGPT Portland Open - MPO,16,795,381.0,4.43,4,0.43,17.73,41.82,40.45,220,39,92,89
Texas State Disc Golf Championship,Thorn Long,17,912,439.5,4.42,4,0.42,6.96,57.47,35.57,388,27,223,138
PDGA Professional Disc Golf World Championships,ECC MPO,9,719,343.0,4.41,4,0.41,11.11,49.40,39.48,504,56,249,199
Las Vegas Challenge,2022 LVC Course Infinite Men,16,533,500.0,3.41,3,0.41,2.54,63.56,33.90,118,3,75,40
Waco Annual Charity Open,Championship Layout MPO,17,610,288.5,4.40,4,0.40,20.45,38.94,40.62,357,73,139,145
