Team,opp_hitting_pctg,,,,
Old Dominion (Sun Belt),0.222,,,,
Duquesne (Atlantic 10),0.223,,,,
Murray St. (MVC),0.223,,,,
Southern Miss. (Sun Belt),0.223,,,,
Kansas City (Summit League),0.223,,,,
IUPUI (Horizon),0.224,,,,
NJIT (America East),0.224,,,,
Col. of Charleston (CAA),0.225,,,,
Arkansas St. (Sun Belt),0.225,,,,
Xavier (Big East),0.225,,,,
UIW (Southland),0.225,,,,
Texas A&M (SEC),0.226,,,,
UAlbany (America East),0.226,,,,
Colorado St. (Mountain West),0.226,,,,
South Fla. (AAC),0.226,,,,
Lafayette (Patriot),0.227,,,,
Eastern Mich. (MAC),0.227,,,,
UIC (MVC),0.228,,,,
Middle Tenn. (C-USA),0.228,,,,
Austin Peay (ASUN),0.228,,,,
California Baptist (WAC),0.228,,,,
Southern Utah (WAC),0.228,,,,
A&M-Corpus Christi (Southland),0.229,,,,
Abilene Christian (WAC),0.229,,,,
Presbyterian (Big South),0.229,,,,
Lipscomb (ASUN),0.23,,,,
Southern California (Pac-12),0.23,,,,
CSU Bakersfield (Big West),0.23,,,,
UNC Asheville (Big South),0.231,,,,
Nicholls (Southland),0.231,,,,
Missouri (SEC),0.231,,,,
Cal St. Fullerton (Big West),0.231,,,,
Eastern Wash. (Big Sky),0.231,,,,
Tennessee (SEC),0.232,,,,
Utah (Pac-12),0.232,,,,
Boise St. (Mountain West),0.233,,,,
North Florida (ASUN),0.233,,,,
Sam Houston (WAC),0.234,,,,
Virginia (ACC),0.234,,,,
Northern Ariz. (Big Sky),0.234,,,,
Clemson (ACC),0.235,,,,
Bradley (MVC),0.235,,,,
Tulsa (AAC),0.235,,,,
Arizona St. (Pac-12),0.236,,,,
East Carolina (AAC),0.237,,,,
Southern Ill. (MVC),0.237,,,,
Mercer (SoCon),0.238,,,,
UTSA (C-USA),0.238,,,,
UC Riverside (Big West),0.238,,,,
DePaul (Big East),0.238,,,,
Indiana St. (MVC),0.239,,,,
Villanova (Big East),0.239,,,,
Temple (AAC),0.239,,,,
ULM (Sun Belt),0.24,,,,
Fresno St. (Mountain West),0.24,,,,
Portland (WCC),0.24,,,,
Rhode Island (Atlantic 10),0.24,,,,
Morgan St. (MEAC),0.24,,,,
Stony Brook (CAA),0.241,,,,
Syracuse (ACC),0.242,,,,
Iowa (Big Ten),0.242,,,,
Marshall (Sun Belt),0.242,,,,
N.C. Central (MEAC),0.243,,,,
Evansville (MVC),0.243,,,,
Columbia (Ivy League),0.243,,,,
Cincinnati (AAC),0.243,,,,
Holy Cross (Patriot),0.244,,,,
Ole Miss (SEC),0.244,,,,
Washington (Pac-12),0.245,,,,
California (Pac-12),0.246,,,,
FIU (C-USA),0.246,,,,
Rutgers (Big Ten),0.247,,,,
Hampton (CAA),0.247,,,,
Alabama A&M (SWAC),0.247,,,,
CSUN (Big West),0.248,,,,
San Diego St. (Mountain West),0.248,,,,
Milwaukee (Horizon),0.251,,,,
Alcorn (SWAC),0.251,,,,
Georgetown (Big East),0.253,,,,
Charlotte (C-USA),0.253,,,,
Belmont (MVC),0.253,,,,
Cornell (Ivy League),0.255,,,,
Robert Morris (Horizon),0.256,,,,
Tulane (AAC),0.256,,,,
Akron (MAC),0.257,,,,
Saint Mary's (CA) (WCC),0.259,,,,
Penn (Ivy League),0.26,,,,
Harvard (Ivy League),0.26,,,,
Western Ill. (Summit League),0.26,,,,
Seattle U (WAC),0.26,,,,
Gonzaga (WCC),0.261,,,,
Santa Clara (WCC),0.261,,,,
Oregon St. (Pac-12),0.264,,,,
Miami (OH) (MAC),0.265,,,,
Idaho (Big Sky),0.267,,,,
Hartford (),0.273,,,,
Saint Peter's (MAAC),0.274,,,,
Mississippi Val. (SWAC),0.283,,,,
Manhattan (MAAC),0.304,,,,
South Carolina St. (MEAC),0.338,,,,
