Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
Y1e,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,12-2-1d J
Y1w,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,0-0-15
Y2eHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,0-0-15
O1e,Kotogahama,Sadogatake,Kagawa,10.10.1927,177 cm 117 kg,10-5
O1w,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,14-1 Y
O2wHD,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,6-9
S1e,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,5-10
S1w,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,5-10
K1e,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,10-5
K1w,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,8-7
K2eHD,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,4-11
M1e,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,8-7 S
M1w,Naruyama,Onogawa,Hyogo,27.11.1931,176 cm 110 kg,4-11
M2e,Annenyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,10-5 K
M2w,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,7-7-1d
M3e,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,5-10
M3w,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,2-9-4
M4e,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,8-7
M4w,Wakachichibu,Hanakago,Saitama,16.03.1939,175 cm 150 kg,7-8
M5e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,7-8
M5w,Wakanoumi,Hanakago,Akita,02.02.1931,169 cm 114 kg,7-8
M6e,Wakasegawa,Araiso,Hyogo,20.02.1920,176 cm 110 kg,9-6 G
M6w,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185 cm 108 kg,2-13
M7e,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,11-4
M7w,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,6-9
M8e,Osegawa,Araiso,Aomori,01.02.1927,179 cm 115 kg,8-7
M8w,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176 cm 118 kg,10-5
M9e,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,9-6
M9w,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,8-7
M10e,Yoshinomine,Takashima,Aomori,07.07.1931,173 cm 96 kg,4-11
M10w,Kaizan,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,7-8
M11e,Tokinishiki,Tokitsukaze,Fukuoka,13.02.1931,193 cm 117 kg,7-8
M11w,Izuminada,Tokitsukaze,Osaka,30.09.1928,176 cm 103 kg,7-8
M12e,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,5-10
M12w,Kiryugawa,Tokitsukaze,Aomori,02.12.1923,177 cm 73 kg,8-7
M13e,Oginohana,Dewanoumi,Saga,29.11.1935,174 cm 124 kg,9-6
M13w,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173 cm 119 kg,9-6
M14e,Miyanishiki,Takasago,Iwate,30.05.1927,171 cm 119 kg,6-9
M14w,Kanenohana,Dewanoumi,Kanagawa,11.10.1936,181 cm 119 kg,3-12
M15e,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,12-3
M15w,Shimanishiki,Takasago,Osaka,26.09.1928,174 cm 135 kg,10-5
M16e,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,9-6
M16w,Oikawa,Takasago,Iwate,11.01.1936,176 cm 120 kg,7-8
M17e,Hanenishiki,Takashima,Hyogo,17.10.1935,180 cm 135 kg,9-6
M17w,Togashi,Isenoumi,Yamagata,29.11.1938,188 cm 139 kg,8-7
M18e,Atagoyama,Takasago,Ehime,11.01.1936,177 cm 117 kg,8-7
M18w,Toyonoumi,Tokitsukaze,Oita,28.03.1939,178 cm 83 kg,4-11
M19e,Hoshikabuto,Izutsu,Chiba,20.02.1926,171 cm 107 kg,8-7
M19w,Wakamisugi,Hanakago,Kagawa,24.09.1937,188 cm 133 kg,10-5
M20e,Fukunosato,Yoshibayama,Fukuoka,03.12.1923,176 cm 85 kg,7-8
Y1e,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,11-4
Y1w,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,12-3 J
Y2eHD,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,0-0-15
O1e,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,13-2 Y
O1w,Kotogahama,Sadogatake,Kagawa,10.10.1927,177 cm 117 kg,10-5
S1e,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,5-10
S1w,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173 cm 119 kg,8-7
S2wHD,Annenyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,12-3 JS
K1e,Kashiwado,Isenoumi,Yamagata,29.11.1938,188 cm 139 kg,8-7
K1w,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,9-6
K2eHD,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,2-13
M1e,Wakamisugi,Hanakago,Kagawa,24.09.1937,188 cm 133 kg,3-12
M1w,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,12-3 J
M2e,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176 cm 118 kg,7-8
M2w,Wakanoumi,Hanakago,Akita,02.02.1931,169 cm 114 kg,12-3 JG
M3e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,2-13
M3w,Atagoyama,Takasago,Ehime,11.01.1936,177 cm 117 kg,5-10
M4e,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,9-6
M4w,Wakachichibu,Hanakago,Saitama,16.03.1939,175 cm 150 kg,6-9
M5e,Tamahibiki,Nishonoseki,Oita,03.10.1935,178 cm 98 kg,4-8-3
M5w,Aonosato,Tokitsukaze,Aomori,13.11.1935,182 cm 120 kg,8-7
M6e,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,8-7
M6w,Oginohana,Dewanoumi,Saga,29.11.1935,174 cm 124 kg,6-9
M7e,Kaizan,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,6-9
M7w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,9-6
M8e,Kanenohana,Dewanoumi,Kanagawa,11.10.1936,181 cm 119 kg,6-9
M8w,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,7-8
M9e,Naruyama,Onogawa,Hyogo,27.11.1931,176 cm 110 kg,9-6
M9w,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,8-7
M10e,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,8-7
M10w,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,10-5
M11e,Fujinishiki,Takasago,Yamanashi,18.03.1937,175 cm 136 kg,12-3 JK
M11w,Izuminada,Tokitsukaze,Osaka,30.09.1928,176 cm 103 kg,6-9
M12e,Myobudani,Yoshibayama,Hokkaido,29.04.1937,189 cm 113 kg,6-9
M12w,Oikawa,Takasago,Iwate,11.01.1936,176 cm 120 kg,8-7
M13e,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,1-14
M13w,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,8-7
M14e,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,10-5
M14w,Hanenishiki,Takashima,Hyogo,17.10.1935,180 cm 135 kg,9-6
M15e,Wakasugiyama,Tokitsukaze,Fukuoka,24.01.1933,177 cm 120 kg,3-12
M15w,Hoshikabuto,Izutsu,Chiba,20.02.1926,171 cm 107 kg,5-10
M16e,Kiryugawa,Tokitsukaze,Aomori,02.12.1923,177 cm 73 kg,7-8
M16w,Fukudayama,Dewanoumi,Nagasaki,18.07.1931,181 cm 94 kg,6-9
M17e,Wakanokuni,Hanakago,Gifu,04.04.1936,181 cm 125 kg,8-7
Y1e,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,5-4-6
Y1w,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,11-4
O1e,Kashiwado,Isenoumi,Yamagata,29.11.1938,188 cm 139 kg,11-4
O1w,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,12-3 J
O2eHD,Kotogahama,Sadogatake,Kagawa,10.10.1927,177 cm 117 kg,1-6-8
S1e,Taiho,Nishonoseki,Hokkaido,29.05.1940,187 cm 121 kg,13-2 Y
S1w,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173 cm 119 kg,9-6
S2wHD,Annenyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,7-8
K1e,Wakamisugi,Hanakago,Kagawa,24.09.1937,188 cm 133 kg,9-6
K1w,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,10-5
K2eHD,Oginohana,Dewanoumi,Saga,29.11.1935,174 cm 124 kg,7-8
M1e,Wakanoumi,Hanakago,Akita,02.02.1931,169 cm 114 kg,5-10
M1w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,7-8
M2e,Kaizan,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,6-9
M2w,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176 cm 118 kg,9-6 S
M3e,Tamahibiki,Nishonoseki,Oita,03.10.1935,178 cm 98 kg,6-9
M3w,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,2-13
M4e,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,6-9
M4w,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,5-10
M5e,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,5-10
M5w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,6-9
M6e,Kairyuyama,Araiso,Akita,28.08.1939,179 cm 116 kg,4-11
M6w,Aonosato,Tokitsukaze,Aomori,13.11.1935,182 cm 120 kg,10-5
M7e,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,10-5
M7w,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,4-11
M8e,Tochinoumi,Kasugano,Aomori,13.03.1938,177 cm 110 kg,11-4 G
M8w,Wakachichibu,Hanakago,Saitama,16.03.1939,175 cm 150 kg,6-9
M9e,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,6-9
M9w,Wakanokuni,Hanakago,Gifu,04.04.1936,181 cm 125 kg,6-9
M10e,Hagurohana,Tatsunami,Hokkaido,28.03.1936,181 cm 125 kg,11-4 K
M10w,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,6-9
M11e,Fujinishiki,Takasago,Yamanashi,18.03.1937,175 cm 136 kg,11-4
M11w,Udagawa,Miyagino,Tokyo,03.12.1939,179 cm 110 kg,8-7
M12e,Kiyonomori,Araiso,Akita,08.04.1935,183 cm 92 kg,6-9
M12w,Fukudayama,Dewanoumi,Nagasaki,18.07.1931,181 cm 94 kg,7-8
M13e,Myobudani,Miyagino,Hokkaido,29.04.1937,189 cm 113 kg,8-7
M13w,Wakasugiyama,Tokitsukaze,Fukuoka,24.01.1933,177 cm 120 kg,8-7
M14e,Maedagawa,Takasago,Iwate,09.02.1939,170 cm 117 kg,9-6
M14w,Oikawa,Takasago,Iwate,11.01.1936,176 cm 120 kg,8-7
M15e,Tsunenishiki,Dewanoumi,Fukushima,31.05.1931,174 cm 108 kg,8-7
M15w,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,3-12
Y1e,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,11-4
Y1w,Taiho,Nishonoseki,Hokkaido,29.05.1940,187 cm 124 kg,13-2 Y
Y2e,Kashiwado,Isenoumi,Yamagata,29.11.1938,188 cm 139 kg,12-3 J
Y2w,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,2-5-8
O1e,Kotogahama,Sadogatake,Kagawa,10.10.1927,177 cm 117 kg,3-7-5
O1w,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173 cm 119 kg,10-5
O2eHD,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,5-10
S1e,Tochinoumi,Kasugano,Aomori,13.03.1938,177 cm 110 kg,9-6 G
S1w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,3-12
S2eHD,Sadanoyama,Dewanoumi,Nagasaki,18.02.1938,182 cm 129 kg,8-7
S2wHD,Haguroyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,8-7
K1e,Fujinishiki,Takasago,Yamanashi,18.03.1937,175 cm 136 kg,8-7
K1w,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,9-6
K2eHD,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,5-10
K2wHD,Myobudani,Miyagino,Hokkaido,29.04.1937,189 cm 113 kg,6-9
M1e,Kairyuyama,Isegahama,Akita,28.08.1939,179 cm 116 kg,9-6 S
M1w,Oginohana,Dewanoumi,Saga,29.11.1935,174 cm 124 kg,8-7
M2e,Hagurohana,Tatsunami,Hokkaido,28.03.1936,181 cm 125 kg,5-10
M2w,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,5-10
M3e,Kainoyama,Onogawa,Ibaraki,28.06.1940,172 cm 120 kg,8-7
M3w,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176 cm 118 kg,5-10
M4e,Udagawa,Miyagino,Tokyo,03.12.1939,179 cm 110 kg,8-7
M4w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,6-9
M5e,Wakamisugi,Hanakago,Kagawa,24.09.1937,188 cm 133 kg,11-4 K
M5w,Tsunenishiki,Dewanoumi,Fukushima,31.05.1931,174 cm 108 kg,7-8
M6e,Kanenohana,Dewanoumi,Kanagawa,11.10.1936,181 cm 119 kg,9-6
M6w,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,9-6
M7e,Aonosato,Tokitsukaze,Aomori,13.11.1935,182 cm 120 kg,10-5
M7w,Maedagawa,Takasago,Iwate,09.02.1939,170 cm 117 kg,8-7
M8e,Ichinoya,Kasugano,Aomori,30.06.1937,173 cm 86 kg,7-8
M8w,Wakakoma,Hanakago,Akita,20.04.1937,170 cm 83 kg,6-9
M9e,Wakatenryu,Hanakago,Kyoto,01.01.1940,175 cm 106 kg,7-8
M9w,Toyokuni,Tokitsukaze,Oita,30.11.1937,176 cm 131 kg,8-7
M10e,Wakachichibu,Hanakago,Saitama,16.03.1939,175 cm 150 kg,10-5
M10w,Naruyama,Onogawa,Hyogo,27.11.1931,176 cm 110 kg,4-11
M11e,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,4-11
M11w,Wakanoumi,Hanakago,Akita,02.02.1931,169 cm 114 kg,7-8
M12e,Miyabashira,Nishonoseki,Saga,14.01.1936,185 cm 108 kg,7-6-2
M12w,Wakanokuni,Hanakago,Gifu,04.04.1936,181 cm 125 kg,8-7
M13e,Kiyonomori,Isegahama,Akita,08.04.1935,183 cm 92 kg,6-9
M13w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,10-5
Y1e,Taiho,Nishonoseki,Hokkaido,29.05.1940,187 cm 124 kg,13-2 Y
Y1w,Kashiwado,Isenoumi,Yamagata,29.11.1938,188 cm 139 kg,12-3 J
O1e,Sadanoyama,Dewanoumi,Nagasaki,18.02.1938,182 cm 129 kg,11-4
O1w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,10-5
O2eHD,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173 cm 119 kg,0-0-15
O2wHD,Tochinoumi,Kasugano,Aomori,13.03.1938,177 cm 110 kg,9-6
O3eHD,Kotogahama,Sadogatake,Kagawa,10.10.1927,177 cm 117 kg,0-0-15
S1e,Yutakayama,Tokitsukaze,Niigata,18.08.1937,189 cm 137 kg,12-3 JSK
S1w,Oginohana,Dewanoumi,Saga,29.11.1935,174 cm 124 kg,9-6 G
K1e,Hagurohana,Tatsunami,Hokkaido,28.03.1936,181 cm 125 kg,9-6
K1w,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,4-11
M1e,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,4-11
M1w,Fujinishiki,Takasago,Yamanashi,18.03.1937,175 cm 136 kg,4-11
M2e,Hirokawa,Miyagino,Kanagawa,28.05.1937,177 cm 141 kg,5-10
M2w,Wakanoumi,Hanakago,Akita,02.02.1931,169 cm 114 kg,6-9
M3e,Haguroyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,8-7
M3w,Wakachichibu,Hanakago,Saitama,16.03.1939,175 cm 150 kg,6-9
M4e,Tamaarashi,Kataonami,Hokkaido,01.08.1941,173 cm 116 kg,5-10
M4w,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,8-7
M5e,Kairyuyama,Isegahama,Akita,28.08.1939,179 cm 116 kg,9-6
M5w,Kanenohana,Dewanoumi,Kanagawa,11.10.1936,181 cm 119 kg,6-9
M6e,Oiteyama,Oitekaze,Aomori,16.06.1938,181 cm 131 kg,4-11
M6w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,6-9
M7e,Toyokuni,Tokitsukaze,Oita,30.11.1937,176 cm 131 kg,4-11
M7w,Myobudani,Miyagino,Hokkaido,29.04.1937,189 cm 113 kg,11-4
M8e,Maedagawa,Takasago,Iwate,09.02.1939,170 cm 117 kg,7-8
M8w,Aonosato,Tokitsukaze,Aomori,13.11.1935,182 cm 120 kg,8-7
M9e,Asanoumi,Takasago,Kagoshima,22.11.1936,172 cm 94 kg,4-11
M9w,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176 cm 118 kg,8-7
M10e,Ogiyama,Tokitsukaze,Miyagi,27.03.1938,177 cm 103 kg,8-7
