"","Winner","Loser","WRank","LRank","pl1_flag","pl1_year_pro","pl1_weight","pl1_height","pl1_hand","pl2_flag","pl2_year_pro","pl2_weight","pl2_height","pl2_hand","higher_rank_won","rank_diff","rank_diff_cat","same_handedness"
"407","Monfils G.","Dzumhur D.",33,47,"FRA",2004,80,193,"Right-Handed","BIH",2011,70,175,"Right-Handed","Yes",-14,"Low Difference","Yes"
"408","Nishioka Y.","Sandgren T.",69,41,"JPN",2014,64,170,"Left-Handed","USA",2011,87,188,"Right-Handed","No",28,"Low Difference","No"
"409","Millman J.","Delbonis F.",37,80,"AUS",2006,79,183,"Right-Handed","ARG",2007,88,191,"Left-Handed","Yes",-43,"Medium Difference","No"
"410","Fritz T.","Norrie C.",50,68,"USA",2015,84,193,"Right-Handed","GBR",2017,80,188,"Left-Handed","Yes",-18,"Low Difference","No"
"411","Bautista Agut R.","Murray A.",24,229,"ESP",2005,76,183,"Right-Handed","GBR",2005,84,191,"Right-Handed","Yes",-205,"High Difference","Yes"
"412","Cilic M.","Tomic B.",7,88,"CRO",2005,89,198,"Right-Handed","AUS",2008,91,196,"Right-Handed","Yes",-81,"High Difference","Yes"
"413","Federer R.","Istomin D.",3,101,"SUI",1998,85,185,"Right-Handed","UZB",2004,88,188,"Right-Handed","Yes",-98,"High Difference","Yes"
"414","Fognini F.","Munar J.",13,79,"ITA",2004,74,178,"Right-Handed","ESP",2014,78,183,"Right-Handed","Yes",-66,"Medium Difference","Yes"
"415","Ivashka I.","Jaziri M.",84,43,"BLR",2013,83,196,"Right-Handed","TUN",2003,82,185,"Right-Handed","No",41,"Medium Difference","Yes"
"416","Mayer L.","Jarry N.",53,45,"ARG",2003,80,191,"Right-Handed","CHI",2014,87,198,"Right-Handed","No",8,"Low Difference","Yes"
"417","Nishikori K.","Majchrzak K.",9,176,"JPN",2007,75,178,"Right-Handed","POL",2013,78,180,"Right-Handed","Yes",-167,"High Difference","Yes"
"418","Herbert P.H.","Querrey S.",55,49,"FRA",2010,79,188,"Right-Handed","USA",2006,95,198,"Right-Handed","No",6,"Low Difference","Yes"
"419","Fucsovics M.","Ramos-Vinolas A.",38,64,"HUN",2010,82,188,"Right-Handed","ESP",2007,80,188,"Left-Handed","Yes",-26,"Low Difference","No"
"420","Harrison R.","Vesely J.",83,90,"USA",2007,84,185,"Right-Handed","CZE",2009,92,198,"Left-Handed","Yes",-7,"Low Difference","No"
"421","Medvedev D.","Harris L.",19,119,"RUS",2014,81,198,"Right-Handed","RSA",2015,80,193,"Right-Handed","Yes",-100,"High Difference","Yes"
"422","Karlovic I.","Hurkacz H.",73,76,"CRO",2000,104,211,"Right-Handed","ITA",2013,77,188,"Right-Handed","Yes",-3,"Low Difference","Yes"
"423","Coric B.","Darcis S.",12,321,"CRO",2013,79,185,"Right-Handed","BEL",2003,77,178,"Right-Handed","Yes",-309,"High Difference","Yes"
"424","Chung H.","Klahn B.",25,78,"KOR",2014,87,188,"Right-Handed","USA",2012,75,183,"Left-Handed","Yes",-53,"Medium Difference","No"
"425","Bolt A.","Sock J.",155,105,"AUS",2011,84,183,"Left-Handed","USA",2011,84,191,"Right-Handed","No",50,"Medium Difference","No"
"426","Sousa J.","Pella G.",44,65,"POR",2008,74,185,"Right-Handed","ARG",2007,83,185,"Left-Handed","Yes",-21,"Low Difference","No"
"427","Carreno Busta P.","Vanni L.",23,163,"ESP",2009,78,188,"Right-Handed","ITA",2006,94,198,"Right-Handed","Yes",-140,"High Difference","Yes"
"428","Donskoy E.","Djere L.",96,92,"RUS",2007,74,185,"Right-Handed","SRB",2013,80,185,"Right-Handed","No",4,"Low Difference","Yes"
"429","Simon G.","Fratangelo B.",30,133,"FRA",2002,70,183,"Right-Handed","USA",2012,79,183,"Right-Handed","Yes",-103,"High Difference","Yes"
"430","Zverev A.","Bedene A.",4,67,"GER",2013,86,198,"Right-Handed","GBR",2008,72,183,"Right-Handed","Yes",-63,"Medium Difference","Yes"
"431","Goffin D.","Garin C.",22,89,"BEL",2009,68,180,"Right-Handed","CHI",2013,85,185,"Right-Handed","Yes",-67,"Medium Difference","Yes"
"432","Shapovalov D.","Andujar P.",27,85,"CAN",2016,76,183,"Left-Handed","ESP",2003,76,180,"Right-Handed","Yes",-58,"Medium Difference","No"
"433","Daniel T.","Kokkinakis T.",82,144,"JPN",2010,76,191,"Right-Handed","AUS",2013,82,196,"Right-Handed","Yes",-62,"Medium Difference","Yes"
"434","Pouille L.","Kukushkin M.",31,56,"FRA",2012,81,185,"Right-Handed","KAZ",2006,72,183,"Right-Handed","Yes",-25,"Low Difference","Yes"
"435","Copil M.","Granollers M.",60,108,"ROU",2008,86,191,"Right-Handed","ESP",2003,77,191,"Right-Handed","Yes",-48,"Medium Difference","Yes"
"436","Kohlschreiber P.","Li Z.",32,261,"GER",2001,70,178,"Right-Handed","CHN",2004,78,183,"Right-Handed","Yes",-229,"High Difference","Yes"
"437","Tsonga J.W.","Klizan M.",177,40,"FRA",2004,91,188,"Right-Handed","SVK",2007,80,191,"Left-Handed","No",137,"High Difference","No"
"438","Chardy J.","Humbert U.",36,95,"FRA",2005,75,188,"Right-Handed","FRA",2016,73,188,"Left-Handed","Yes",-59,"Medium Difference","No"
"439","Krajinovic F.","Cecchinato M.",93,18,"SRB",2008,75,185,"Right-Handed","ITA",2010,78,185,"Right-Handed","No",75,"Medium Difference","Yes"
"440","Popyrin A.","Zverev M.",149,70,"AUS",2017,78,196,"Right-Handed","GER",2005,88,191,"Left-Handed","No",79,"High Difference","No"
"441","Wawrinka S.","Gulbis E.",59,86,"SUI",2002,81,183,"Right-Handed","LAT",2004,88,193,"Right-Handed","Yes",-27,"Low Difference","Yes"
"442","Marterer M.","Sakharov G.",71,252,"GER",2015,84,191,"Left-Handed","FRA",2005,78,185,"Right-Handed","Yes",-181,"High Difference","No"
"443","Djokovic N.","Krueger M.",1,230,"SRB",2003,77,188,"Right-Handed","USA",2012,82,188,"Right-Handed","Yes",-229,"High Difference","Yes"
"444","Raonic M.","Kyrgios N.",17,52,"CAN",2008,98,196,"Right-Handed","AUS",2013,85,193,"Right-Handed","Yes",-35,"Medium Difference","Yes"
"445","Thiem D.","Paire B.",8,61,"AUT",2011,82,185,"Right-Handed","FRA",2007,80,196,"Right-Handed","Yes",-53,"Medium Difference","Yes"
"446","Schwartzman D.","Kudla D.",16,62,"ARG",2010,64,170,"Right-Handed","USA",2010,75,180,"Right-Handed","Yes",-46,"Medium Difference","Yes"
"447","Basilashvili N.","Travaglia S.",20,137,"GEO",2008,79,185,"Right-Handed","ITA",2008,80,185,"Right-Handed","Yes",-117,"High Difference","Yes"
"448","Tsitsipas S.","Troicki V.",15,200,"GRE",2016,83,193,"Right-Handed","SRB",2006,86,193,"Right-Handed","Yes",-185,"High Difference","Yes"
"449","Seppi A.","Thompson J.",35,72,"ITA",2002,75,191,"Right-Handed","AUS",2013,73,183,"Right-Handed","Yes",-37,"Medium Difference","Yes"
"450","Berdych T.","Haase R.",57,58,"CZE",2002,91,196,"Right-Handed","NED",2005,71,191,"Right-Handed","Yes",-1,"Low Difference","Yes"
"451","Cilic M.","Mcdonald M.",7,81,"CRO",2005,89,198,"Right-Handed","USA",2016,73,178,"Right-Handed","Yes",-74,"Medium Difference","Yes"
"452","Tiafoe F.","Anderson K.",39,6,"USA",2015,77,188,"Right-Handed","RSA",2007,93,203,"Right-Handed","No",33,"Medium Difference","Yes"
"453","Verdasco F.","Albot R.",28,98,"ESP",2001,87,185,"Left-Handed","MDA",2008,69,175,"Right-Handed","Yes",-70,"Medium Difference","No"
"454","Federer R.","Evans D.",3,189,"SUI",1998,85,185,"Right-Handed","GBR",2006,75,175,"Right-Handed","Yes",-186,"High Difference","Yes"
"455","Fritz T.","Monfils G.",50,33,"USA",2015,84,193,"Right-Handed","FRA",2004,80,193,"Right-Handed","No",17,"Low Difference","Yes"
"456","Khachanov K.","Nishioka Y.",11,69,"RUS",2013,88,198,"Right-Handed","JPN",2014,64,170,"Left-Handed","Yes",-58,"Medium Difference","No"
"457","Fabbiano T.","Opelka R.",102,97,"ITA",2005,69,173,"Right-Handed","USA",2015,100,211,"Right-Handed","No",5,"Low Difference","Yes"
"458","Bautista Agut R.","Millman J.",24,37,"ESP",2005,76,183,"Right-Handed","AUS",2006,79,183,"Right-Handed","Yes",-13,"Low Difference","Yes"
"459","Dimitrov G.","Cuevas P.",21,94,"BUL",2008,80,191,"Right-Handed","URU",2004,80,180,"Right-Handed","Yes",-73,"Medium Difference","Yes"
"460","De Minaur A.","Laaksonen H.",29,166,"AUS",2015,69,180,"Right-Handed","SUI",2009,78,185,"Right-Handed","Yes",-137,"High Difference","Yes"
"461","Nadal R.","Ebden M.",2,48,"ESP",2001,85,185,"Left-Handed","AUS",2006,80,188,"Right-Handed","Yes",-46,"Medium Difference","No"
"462","Nishikori K.","Karlovic I.",9,73,"JPN",2007,75,178,"Right-Handed","CRO",2000,104,211,"Right-Handed","Yes",-64,"Medium Difference","Yes"
"463","Raonic M.","Wawrinka S.",17,59,"CAN",2008,98,196,"Right-Handed","SUI",2002,81,183,"Right-Handed","Yes",-42,"Medium Difference","Yes"
"464","Sousa J.","Kohlschreiber P.",44,32,"POR",2008,74,185,"Right-Handed","GER",2001,70,178,"Right-Handed","No",12,"Low Difference","Yes"
"465","Carreno Busta P.","Ivashka I.",23,84,"ESP",2009,78,188,"Right-Handed","BLR",2013,83,196,"Right-Handed","Yes",-61,"Medium Difference","Yes"
"466","Coric B.","Fucsovics M.",12,38,"CRO",2013,79,185,"Right-Handed","HUN",2010,82,188,"Right-Handed","Yes",-26,"Low Difference","Yes"
"467","Fognini F.","Mayer L.",13,53,"ITA",2004,74,178,"Right-Handed","ARG",2003,80,191,"Right-Handed","Yes",-40,"Medium Difference","Yes"
"468","Herbert P.H.","Chung H.",55,25,"FRA",2010,79,188,"Right-Handed","KOR",2014,87,188,"Right-Handed","No",30,"Low Difference","Yes"
"469","Krajinovic F.","Donskoy E.",93,96,"SRB",2008,75,185,"Right-Handed","RUS",2007,74,185,"Right-Handed","Yes",-3,"Low Difference","Yes"
"470","Goffin D.","Copil M.",22,60,"BEL",2009,68,180,"Right-Handed","ROU",2008,86,191,"Right-Handed","Yes",-38,"Medium Difference","Yes"
"471","Bolt A.","Simon G.",155,30,"AUS",2011,84,183,"Left-Handed","FRA",2002,70,183,"Right-Handed","No",125,"High Difference","No"
"472","Pouille L.","Marterer M.",31,71,"FRA",2012,81,185,"Right-Handed","GER",2015,84,191,"Left-Handed","Yes",-40,"Medium Difference","No"
"473","Shapovalov D.","Daniel T.",27,82,"CAN",2016,76,183,"Left-Handed","JPN",2010,76,191,"Right-Handed","Yes",-55,"Medium Difference","No"
"474","Popyrin A.","Thiem D.",149,8,"AUS",2017,78,196,"Right-Handed","AUT",2011,82,185,"Right-Handed","No",141,"High Difference","Yes"
"475","Medvedev D.","Harrison R.",19,83,"RUS",2014,81,198,"Right-Handed","USA",2007,84,185,"Right-Handed","Yes",-64,"Medium Difference","Yes"
"476","Zverev A.","Chardy J.",4,36,"GER",2013,86,198,"Right-Handed","FRA",2005,75,188,"Right-Handed","Yes",-32,"Medium Difference","Yes"
"477","Djokovic N.","Tsonga J.W.",1,177,"SRB",2003,77,188,"Right-Handed","FRA",2004,91,188,"Right-Handed","Yes",-176,"High Difference","Yes"
"478","Tsitsipas S.","Basilashvili N.",15,20,"GRE",2016,83,193,"Right-Handed","GEO",2008,79,185,"Right-Handed","Yes",-5,"Low Difference","Yes"
"479","Berdych T.","Schwartzman D.",57,16,"CZE",2002,91,196,"Right-Handed","ARG",2010,64,170,"Right-Handed","No",41,"Medium Difference","Yes"
"480","Federer R.","Fritz T.",3,50,"SUI",1998,85,185,"Right-Handed","USA",2015,84,193,"Right-Handed","Yes",-47,"Medium Difference","Yes"
"481","Tiafoe F.","Seppi A.",39,35,"USA",2015,77,188,"Right-Handed","ITA",2002,75,191,"Right-Handed","No",4,"Low Difference","Yes"
"482","Dimitrov G.","Fabbiano T.",21,102,"BUL",2008,80,191,"Right-Handed","ITA",2005,69,173,"Right-Handed","Yes",-81,"High Difference","Yes"
"483","Bautista Agut R.","Khachanov K.",24,11,"ESP",2005,76,183,"Right-Handed","RUS",2013,88,198,"Right-Handed","No",13,"Low Difference","Yes"
"484","Nadal R.","De Minaur A.",2,29,"ESP",2001,85,185,"Left-Handed","AUS",2015,69,180,"Right-Handed","Yes",-27,"Low Difference","No"
"485","Cilic M.","Verdasco F.",7,28,"CRO",2005,89,198,"Right-Handed","ESP",2001,87,185,"Left-Handed","Yes",-21,"Low Difference","No"
"486","Medvedev D.","Goffin D.",19,22,"RUS",2014,81,198,"Right-Handed","BEL",2009,68,180,"Right-Handed","Yes",-3,"Low Difference","Yes"
"487","Nishikori K.","Sousa J.",9,44,"JPN",2007,75,178,"Right-Handed","POR",2008,74,185,"Right-Handed","Yes",-35,"Medium Difference","Yes"
"488","Carreno Busta P.","Fognini F.",23,13,"ESP",2009,78,188,"Right-Handed","ITA",2004,74,178,"Right-Handed","No",10,"Low Difference","Yes"
"489","Raonic M.","Herbert P.H.",17,55,"CAN",2008,98,196,"Right-Handed","FRA",2010,79,188,"Right-Handed","Yes",-38,"Medium Difference","Yes"
"490","Djokovic N.","Shapovalov D.",1,27,"SRB",2003,77,188,"Right-Handed","CAN",2016,76,183,"Left-Handed","Yes",-26,"Low Difference","No"
"491","Coric B.","Krajinovic F.",12,93,"CRO",2013,79,185,"Right-Handed","SRB",2008,75,185,"Right-Handed","Yes",-81,"High Difference","Yes"
"492","Zverev A.","Bolt A.",4,155,"GER",2013,86,198,"Right-Handed","AUS",2011,84,183,"Left-Handed","Yes",-151,"High Difference","No"
"493","Pouille L.","Popyrin A.",31,149,"FRA",2012,81,185,"Right-Handed","AUS",2017,78,196,"Right-Handed","Yes",-118,"High Difference","Yes"
"494","Tiafoe F.","Dimitrov G.",39,21,"USA",2015,77,188,"Right-Handed","BUL",2008,80,191,"Right-Handed","No",18,"Low Difference","Yes"
"495","Nadal R.","Berdych T.",2,57,"ESP",2001,85,185,"Left-Handed","CZE",2002,91,196,"Right-Handed","Yes",-55,"Medium Difference","No"
"496","Bautista Agut R.","Cilic M.",24,7,"ESP",2005,76,183,"Right-Handed","CRO",2005,89,198,"Right-Handed","No",17,"Low Difference","Yes"
"497","Tsitsipas S.","Federer R.",15,3,"GRE",2016,83,193,"Right-Handed","SUI",1998,85,185,"Right-Handed","No",12,"Low Difference","Yes"
"498","Raonic M.","Zverev A.",17,4,"CAN",2008,98,196,"Right-Handed","GER",2013,86,198,"Right-Handed","No",13,"Low Difference","Yes"
"499","Pouille L.","Coric B.",31,12,"FRA",2012,81,185,"Right-Handed","CRO",2013,79,185,"Right-Handed","No",19,"Low Difference","Yes"
"500","Nishikori K.","Carreno Busta P.",9,23,"JPN",2007,75,178,"Right-Handed","ESP",2009,78,188,"Right-Handed","Yes",-14,"Low Difference","Yes"
"501","Djokovic N.","Medvedev D.",1,19,"SRB",2003,77,188,"Right-Handed","RUS",2014,81,198,"Right-Handed","Yes",-18,"Low Difference","Yes"
"502","Tsitsipas S.","Bautista Agut R.",15,24,"GRE",2016,83,193,"Right-Handed","ESP",2005,76,183,"Right-Handed","Yes",-9,"Low Difference","Yes"
"503","Nadal R.","Tiafoe F.",2,39,"ESP",2001,85,185,"Left-Handed","USA",2015,77,188,"Right-Handed","Yes",-37,"Medium Difference","No"
"504","Pouille L.","Raonic M.",31,17,"FRA",2012,81,185,"Right-Handed","CAN",2008,98,196,"Right-Handed","No",14,"Low Difference","Yes"
"505","Djokovic N.","Nishikori K.",1,9,"SRB",2003,77,188,"Right-Handed","JPN",2007,75,178,"Right-Handed","Yes",-8,"Low Difference","Yes"
"506","Nadal R.","Tsitsipas S.",2,15,"ESP",2001,85,185,"Left-Handed","GRE",2016,83,193,"Right-Handed","Yes",-13,"Low Difference","No"
"507","Djokovic N.","Pouille L.",1,31,"SRB",2003,77,188,"Right-Handed","FRA",2012,81,185,"Right-Handed","Yes",-30,"Low Difference","Yes"
"508","Djokovic N.","Nadal R.",1,2,"SRB",2003,77,188,"Right-Handed","ESP",2001,85,185,"Left-Handed","Yes",-1,"Low Difference","No"
"509","Dolgopolov O.","Haider-Maurer A.",37,448,"UKR",2006,71,180,"Right-Handed","AUT",2005,89,191,"Right-Handed","Yes",-411,"High Difference","Yes"
"510","Harrison R.","Sela D.",45,95,"USA",2007,84,185,"Right-Handed","ISR",2002,65,175,"Right-Handed","Yes",-50,"Medium Difference","Yes"
"511","Edmund K.","Anderson K.",49,12,"GBR",2012,83,188,"Right-Handed","RSA",2007,93,203,"Right-Handed","No",37,"Medium Difference","Yes"
"512","Carreno Busta P.","Kubler J.",11,243,"ESP",2009,78,188,"Right-Handed","AUS",2011,74,178,"Right-Handed","Yes",-232,"High Difference","Yes"
"513","Cuevas P.","Youzhny M.",34,90,"URU",2004,80,180,"Right-Handed","RUS",1999,73,183,"Right-Handed","Yes",-56,"Medium Difference","Yes"
"514","Istomin D.","Herbert P.H.",60,74,"UZB",2004,88,188,"Right-Handed","FRA",2010,79,188,"Right-Handed","Yes",-14,"Low Difference","Yes"
"515","Muller G.","Delbonis F.",28,67,"LUX",2001,89,193,"Left-Handed","ARG",2007,88,191,"Left-Handed","Yes",-39,"Medium Difference","Yes"
"516","Seppi A.","Moutet C.",76,155,"ITA",2002,75,191,"Right-Handed","FRA",2016,71,175,"Left-Handed","Yes",-79,"High Difference","No"
"517","Rublev A.","Ferrer D.",32,33,"RUS",2014,68,188,"Right-Handed","ESP",2000,73,175,"Right-Handed","Yes",-1,"Low Difference","Yes"
"518","Ebden M.","Isner J.",78,16,"AUS",2006,80,188,"Right-Handed","USA",2007,108,208,"Right-Handed","No",62,"Medium Difference","Yes"
"519","Nishioka Y.","Kohlschreiber P.",168,29,"JPN",2014,64,170,"Left-Handed","GER",2001,70,178,"Right-Handed","No",139,"High Difference","No"
"520","Troicki V.","Bolt A.",65,188,"SRB",2006,86,193,"Right-Handed","AUS",2011,84,183,"Left-Handed","Yes",-123,"High Difference","No"
"521","Shapovalov D.","Tsitsipas S.",50,82,"CAN",2016,76,183,"Left-Handed","GRE",2016,83,193,"Right-Handed","Yes",-32,"Medium Difference","No"
"522","Dimitrov G.","Novak D.",3,226,"BUL",2008,80,191,"Right-Handed","AUT",2011,80,183,"Right-Handed","Yes",-223,"High Difference","Yes"
"523","Schwartzman D.","Lajovic D.",26,75,"ARG",2010,64,170,"Right-Handed","SRB",2007,78,183,"Right-Handed","Yes",-49,"Medium Difference","Yes"
"524","Cilic M.","Pospisil V.",6,105,"CRO",2005,89,198,"Right-Handed","CAN",2007,84,193,"Right-Handed","Yes",-99,"High Difference","Yes"
"525","Dzumhur D.","Lorenzi P.",30,44,"BIH",2011,70,175,"Right-Handed","ITA",2003,77,183,"Right-Handed","Yes",-14,"Low Difference","Yes"
"526","Karlovic I.","Djere L.",89,85,"CRO",2000,104,211,"Right-Handed","SRB",2013,80,185,"Right-Handed","No",4,"Low Difference","Yes"
"527","Mcdonald M.","Ymer E.",186,140,"USA",2016,73,178,"Right-Handed","SWE",2014,78,183,"Right-Handed","No",46,"Medium Difference","Yes"
"528","Simon G.","Copil M.",57,92,"FRA",2002,70,183,"Right-Handed","ROU",2008,86,191,"Right-Handed","Yes",-35,"Medium Difference","Yes"
"529","Sugita Y.","Sock J.",41,9,"JPN",2006,70,175,"Right-Handed","USA",2011,84,191,"Right-Handed","No",32,"Medium Difference","Yes"
"530","Basilashvili N.","Melzer G.",61,102,"GEO",2008,79,185,"Right-Handed","AUT",2007,80,188,"Left-Handed","Yes",-41,"Medium Difference","No"
"531","Baghdatis M.","Bhambri Y.",123,119,"CYP",2003,82,178,"Right-Handed","IND",2008,77,183,"Right-Handed","No",4,"Low Difference","Yes"
"532","Millman J.","Coric B.",122,46,"AUS",2006,79,183,"Right-Handed","CRO",2013,79,185,"Right-Handed","No",76,"High Difference","Yes"
"533","Mayer L.","Jarry N.",52,101,"ARG",2003,80,191,"Right-Handed","CHI",2014,87,198,"Right-Handed","Yes",-49,"Medium Difference","Yes"
"534","Ruud C.","Halys Q.",138,134,"NOR",2015,77,183,"Right-Handed","FRA",2012,78,191,"Right-Handed","No",4,"Low Difference","Yes"
"535","Bemelmans R.","Pouille L.",117,18,"BEL",2006,75,183,"Left-Handed","FRA",2012,81,185,"Right-Handed","No",99,"High Difference","No"
"536","Kyrgios N.","Dutra Silva R.",17,98,"AUS",2013,85,193,"Right-Handed","BRA",2003,73,178,"Right-Handed","Yes",-81,"High Difference","Yes"
"537","Nadal R.","Estrella Burgos V.",1,79,"ESP",2001,85,185,"Left-Handed","DOM",2002,77,170,"Right-Handed","Yes",-78,"High Difference","No"
"538","Jaziri M.","Caruso S.",100,210,"TUN",2003,82,185,"Right-Handed","ITA",2010,80,185,"Right-Handed","Yes",-110,"High Difference","Yes"
"539","Sousa J.","Brown D.",70,129,"POR",2008,74,185,"Right-Handed","GER",2002,78,196,"Right-Handed","Yes",-59,"Medium Difference","Yes"
"540","Tsonga J.W.","King K.",15,214,"FRA",2004,91,188,"Right-Handed","USA",2013,86,191,"Left-Handed","Yes",-199,"High Difference","No"
"541","Lacko L.","Raonic M.",86,23,"SVK",2005,85,185,"Right-Handed","CAN",2008,98,196,"Right-Handed","No",63,"Medium Difference","Yes"
"542","Vesely J.","Safranek V.",64,225,"CZE",2009,92,198,"Left-Handed","CZE",2012,80,183,"Right-Handed","Yes",-161,"High Difference","No"
"543","Fucsovics M.","Albot R.",80,87,"HUN",2010,82,188,"Right-Handed","MDA",2008,69,175,"Right-Handed","Yes",-7,"Low Difference","Yes"
"544","Verdasco F.","Bautista Agut R.",40,21,"ESP",2001,87,185,"Left-Handed","ESP",2005,76,183,"Right-Handed","No",19,"Low Difference","No"
"545","Benneteau J.","Daniel T.",59,96,"FRA",2000,79,185,"Right-Handed","JPN",2010,76,191,"Right-Handed","Yes",-37,"Medium Difference","Yes"
"546","Mannarino A.","Berrettini M.",27,130,"FRA",2004,70,180,"Left-Handed","ITA",2015,95,196,"Right-Handed","Yes",-103,"High Difference","No"
"547","Kicker N.","Thompson J.",93,99,"ARG",2009,75,178,"Right-Handed","AUS",2013,73,183,"Right-Handed","Yes",-6,"Low Difference","Yes"
"548","Marterer M.","Stebe C.M.",94,83,"GER",2015,84,191,"Left-Handed","GER",2010,70,183,"Left-Handed","No",11,"Low Difference","Yes"
"549","Sonego L.","Haase R.",219,43,"ITA",2013,76,191,"Right-Handed","NED",2005,71,191,"Right-Handed","No",176,"High Difference","Yes"
"550","Querrey S.","Lopez F.",13,38,"USA",2006,95,198,"Right-Handed","ESP",1997,73,185,"Left-Handed","Yes",-25,"Low Difference","No"
"551","Zverev A.","Fabbiano T.",4,73,"GER",2013,86,198,"Right-Handed","ITA",2005,69,173,"Right-Handed","Yes",-69,"Medium Difference","Yes"
"552","Goffin D.","Bachinger M.",7,182,"BEL",2009,68,180,"Right-Handed","GER",2005,86,188,"Right-Handed","Yes",-175,"High Difference","Yes"
"553","Gojowczyk P.","Kukushkin M.",62,69,"GER",2006,83,188,"Right-Handed","KAZ",2006,72,183,"Right-Handed","Yes",-7,"Low Difference","Yes"
"554","Wawrinka S.","Berankis R.",8,136,"SUI",2002,81,183,"Right-Handed","LTU",2007,70,175,"Right-Handed","Yes",-128,"High Difference","Yes"
"555","Ramos-Vinolas A.","Donaldson J.",22,54,"ESP",2007,80,188,"Left-Handed","USA",2014,75,188,"Right-Handed","Yes",-32,"Medium Difference","No"
"556","Donskoy E.","Mayer F.",72,68,"RUS",2007,74,185,"Right-Handed","GER",2001,82,191,"Right-Handed","No",4,"Low Difference","Yes"
"557","Kudla D.","Johnson S.",190,48,"USA",2010,75,180,"Right-Handed","USA",2012,86,188,"Right-Handed","No",142,"High Difference","Yes"
"558","Djokovic N.","Young D.",14,63,"SRB",2003,77,188,"Right-Handed","USA",2004,79,183,"Left-Handed","Yes",-49,"Medium Difference","No"
"559","Sandgren T.","Chardy J.",97,84,"USA",2011,87,188,"Right-Handed","FRA",2005,75,188,"Right-Handed","No",13,"Low Difference","Yes"
"560","Smyczek T.","Popyrin A.",131,550,"USA",2006,73,175,"Right-Handed","AUS",2017,78,196,"Right-Handed","Yes",-419,"High Difference","Yes"
"561","Fognini F.","Zeballos H.",25,66,"ITA",2004,74,178,"Right-Handed","ARG",2003,83,188,"Left-Handed","Yes",-41,"Medium Difference","No"
"562","Struff J.L.","Kwon S.W.",55,174,"GER",2009,87,196,"Right-Handed","KOR",2015,72,180,"Right-Handed","Yes",-119,"High Difference","Yes"
"563","Medvedev D.","Kokkinakis T.",53,216,"RUS",2014,81,198,"Right-Handed","AUS",2013,82,196,"Right-Handed","Yes",-163,"High Difference","Yes"
"564","Monfils G.","Munar J.",39,187,"FRA",2004,80,193,"Right-Handed","ESP",2014,78,183,"Right-Handed","Yes",-148,"High Difference","Yes"
"565","Gasquet R.","Kavcic B.",31,106,"FRA",2002,75,185,"Right-Handed","SLO",2005,78,188,"Right-Handed","Yes",-75,"Medium Difference","Yes"
"566","Khachanov K.","Polansky P.",47,139,"RUS",2013,88,198,"Right-Handed","CAN",2006,79,183,"Right-Handed","Yes",-92,"High Difference","Yes"
"567","Garcia-Lopez G.","Paire B.",71,42,"ESP",2002,80,185,"Right-Handed","FRA",2007,80,196,"Right-Handed","No",29,"Low Difference","Yes"
"568","Chung H.","Zverev M.",58,35,"KOR",2014,87,188,"Right-Handed","GER",2005,88,191,"Left-Handed","No",23,"Low Difference","No"
"569","Berdych T.","De Minaur A.",20,127,"CZE",2002,91,196,"Right-Handed","AUS",2015,69,180,"Right-Handed","Yes",-107,"High Difference","Yes"
"570","Federer R.","Bedene A.",2,51,"SUI",1998,85,185,"Right-Handed","GBR",2008,72,183,"Right-Handed","Yes",-49,"Medium Difference","Yes"
"571","Thiem D.","Pella G.",5,56,"AUT",2011,82,185,"Right-Handed","ARG",2007,83,185,"Left-Handed","Yes",-51,"Medium Difference","No"
"572","Del Potro J.M.","Tiafoe F.",10,81,"ARG",2005,97,198,"Right-Handed","USA",2015,77,188,"Right-Handed","Yes",-71,"Medium Difference","Yes"
"573","Basilashvili N.","Bemelmans R.",61,117,"GEO",2008,79,185,"Right-Handed","BEL",2006,75,183,"Left-Handed","Yes",-56,"Medium Difference","No"
"574","Muller G.","Jaziri M.",28,100,"LUX",2001,89,193,"Left-Handed","TUN",2003,82,185,"Right-Handed","Yes",-72,"Medium Difference","No"
"575","Seppi A.","Nishioka Y.",76,168,"ITA",2002,75,191,"Right-Handed","JPN",2014,64,170,"Left-Handed","Yes",-92,"High Difference","No"
"576","Carreno Busta P.","Simon G.",11,57,"ESP",2009,78,188,"Right-Handed","FRA",2002,70,183,"Right-Handed","Yes",-46,"Medium Difference","Yes"
"577","Tsonga J.W.","Shapovalov D.",15,50,"FRA",2004,91,188,"Right-Handed","CAN",2016,76,183,"Left-Handed","Yes",-35,"Medium Difference","No"
"578","Edmund K.","Istomin D.",49,60,"GBR",2012,83,188,"Right-Handed","UZB",2004,88,188,"Right-Handed","Yes",-11,"Low Difference","Yes"
"579","Karlovic I.","Sugita Y.",89,41,"CRO",2000,104,211,"Right-Handed","JPN",2006,70,175,"Right-Handed","No",48,"Medium Difference","Yes"
"580","Cilic M.","Sousa J.",6,70,"CRO",2005,89,198,"Right-Handed","POR",2008,74,185,"Right-Handed","Yes",-64,"Medium Difference","Yes"
"581","Dzumhur D.","Millman J.",30,122,"BIH",2011,70,175,"Right-Handed","AUS",2006,79,183,"Right-Handed","Yes",-92,"High Difference","Yes"
