"","Winner","Loser","WRank","LRank","pl1_flag","pl1_year_pro","pl1_weight","pl1_height","pl1_hand","pl2_flag","pl2_year_pro","pl2_weight","pl2_height","pl2_hand","higher_rank_won","rank_diff","rank_diff_cat","same_handedness"
"1672","Garcia-Lopez G.","Calleri A.",62,66,"ESP",2002,80,185,"Right-Handed","ARG",1995,86,183,"Right-Handed","Yes",-4,"Low Difference","Yes"
"1673","Korolev E.","Moya C.",118,41,"KAZ",2005,82,185,"Right-Handed","ESP",1995,86,191,"Right-Handed","No",77,"High Difference","Yes"
"1674","Cilic M.","Anderson K.",20,108,"CRO",2005,89,198,"Right-Handed","RSA",2007,93,203,"Right-Handed","Yes",-88,"High Difference","Yes"
"1675","Lu Y.H.","Bellucci T.",61,90,"TPE",2001,74,180,"Right-Handed","BRA",2005,82,188,"Left-Handed","Yes",-29,"Low Difference","No"
"1676","Bolelli S.","Vliegen K.",39,85,"ITA",2003,83,183,"Right-Handed","BEL",2001,75,193,"Right-Handed","Yes",-46,"Medium Difference","Yes"
"1677","Safin M.","Navarro-Pastor I.",27,74,"RUS",1997,88,193,"Right-Handed","ESP",2000,75,182,"Right-Handed","Yes",-47,"Medium Difference","Yes"
"1678","Mathieu P.H.","Nieminen J.",29,38,"FRA",1999,74,185,"Right-Handed","FIN",2000,78,185,"Left-Handed","Yes",-9,"Low Difference","No"
"1679","Tipsarevic J.","Hernandez O.",46,67,"SRB",2002,80,180,"Right-Handed","ESP",1998,70,180,"Right-Handed","Yes",-21,"Low Difference","Yes"
"1680","Kohlschreiber P.","Querrey S.",34,33,"GER",2001,70,178,"Right-Handed","USA",2006,95,198,"Right-Handed","No",1,"Low Difference","Yes"
"1681","Santoro F.","Ferrero J.C.",60,65,"FRA",1989,74,178,"Right-Handed","ESP",1998,73,183,"Right-Handed","Yes",-5,"Low Difference","Yes"
"1682","Nalbandian D.","Gicquel M.",11,50,"ARG",2000,79,180,"Right-Handed","FRA",1999,75,188,"Right-Handed","Yes",-39,"Medium Difference","Yes"
"1683","Federer R.","Seppi A.",2,35,"SUI",1998,85,185,"Right-Handed","ITA",2002,75,191,"Right-Handed","Yes",-33,"Medium Difference","Yes"
"1684","Gasquet R.","Junqueira D.",25,76,"FRA",2002,75,185,"Right-Handed","ARG",2001,72,178,"Left-Handed","Yes",-51,"Medium Difference","No"
"1685","Hanescu V.","Hernych J.",44,78,"ROU",2000,88,198,"Right-Handed","CZE",1998,83,188,"Right-Handed","Yes",-34,"Medium Difference","Yes"
"1686","Murray A.","Pavel A.",4,1141,"GBR",2005,84,191,"Right-Handed",NA,NA,NA,NA,NA,"Yes",-1137,"High Difference",NA
"1687","Melzer J.","Nishikori K.",32,59,"AUT",1999,81,183,"Left-Handed","JPN",2007,75,178,"Right-Handed","Yes",-27,"Low Difference","No"
"1688","Almagro N.","Massu N.",18,84,"ESP",2003,86,183,"Right-Handed","CHI",1997,80,183,"Right-Handed","Yes",-66,"Medium Difference","Yes"
"1689","Fognini F.","Golubev A.",88,93,"ITA",2004,74,178,"Right-Handed","KAZ",2005,79,183,"Right-Handed","Yes",-5,"Low Difference","Yes"
"1690","Granollers M.","Gabashvili T.",51,64,"ESP",2003,77,191,"Right-Handed","RUS",2001,83,188,"Right-Handed","Yes",-13,"Low Difference","Yes"
"1691","Ancic M.","Odesnik W.",36,115,"CRO",2001,82,196,"Right-Handed","USA",2004,77,180,"Left-Handed","Yes",-79,"High Difference","No"
"1692","Istomin D.","Spadea V.",105,82,"UZB",2004,88,188,"Right-Handed","USA",1993,77,183,"Right-Handed","No",23,"Low Difference","Yes"
"1693","Karlovic I.","Gimeno-Traver D.",26,91,"CRO",2000,104,211,"Right-Handed","ESP",2004,80,183,"Right-Handed","Yes",-65,"Medium Difference","Yes"
"1694","Beck A.","Ebelthite C.",103,254,"GER",2003,89,191,"Left-Handed",NA,NA,NA,NA,NA,"Yes",-151,"High Difference",NA
"1695","Sela D.","Schuettler R.",106,31,"ISR",2002,65,175,"Right-Handed","GER",1995,75,180,"Right-Handed","No",75,"Medium Difference","Yes"
"1696","Simon G.","Andujar P.",8,98,"FRA",2002,70,183,"Right-Handed","ESP",2003,76,180,"Right-Handed","Yes",-90,"High Difference","Yes"
"1697","Guccione C.","Devilder N.",132,72,"AUS",2003,92,201,"Left-Handed","FRA",2000,65,173,"Left-Handed","No",60,"Medium Difference","Yes"
"1698","Gonzalez F.","Hewitt L.",14,70,"CHI",1999,82,183,"Right-Handed","AUS",1998,77,178,"Right-Handed","Yes",-56,"Medium Difference","Yes"
"1699","Gulbis E.","Montanes A.",52,42,"LAT",2004,88,193,"Right-Handed","ESP",1999,70,175,"Right-Handed","No",10,"Low Difference","Yes"
"1700","Andreev I.","Polansky P.",19,210,"RUS",2002,80,185,"Right-Handed","CAN",2006,79,183,"Right-Handed","Yes",-191,"High Difference","Yes"
"1701","Monfils G.","Vassallo-Arguello M.",13,71,"FRA",2004,80,193,"Right-Handed","ARG",1999,80,183,"Right-Handed","Yes",-58,"Medium Difference","Yes"
"1702","Koubek S.","Youzhny M.",183,40,"AUT",1994,68,175,"Left-Handed","RUS",1999,73,183,"Right-Handed","No",143,"High Difference","No"
"1703","De Chaunac S.","Darcis S.",253,57,"FRA",1998,74,183,"Right-Handed","BEL",2003,77,178,"Right-Handed","No",196,"High Difference","Yes"
"1704","Ljubicic I.","Kunitsyn I.",55,43,"CRO",1998,92,193,"Right-Handed","RUS",1999,75,180,"Right-Handed","No",12,"Low Difference","Yes"
"1705","Canas G.","Kindlmann D.",77,229,"ARG",1995,86,185,"Right-Handed",NA,NA,NA,NA,NA,"Yes",-152,"High Difference",NA
"1706","Verdasco F.","Mannarino A.",15,129,"ESP",2001,87,185,"Left-Handed","FRA",2004,70,180,"Left-Handed","Yes",-114,"High Difference","Yes"
"1707","Clement A.","Stakhovsky S.",89,83,"FRA",1996,74,173,"Right-Handed","UKR",2003,80,193,"Right-Handed","No",6,"Low Difference","Yes"
"1708","Tsonga J.W.","Monaco J.",7,49,"FRA",2004,91,188,"Right-Handed","ARG",2002,81,185,"Right-Handed","Yes",-42,"Medium Difference","Yes"
"1709","Berrer M.","Ball C.",134,203,"GER",1999,100,193,"Left-Handed","AUS",2005,91,198,"Left-Handed","Yes",-69,"Medium Difference","Yes"
"1710","Cipolla F.","Tursunov D.",138,30,"ITA",2003,74,173,"Right-Handed","RUS",2000,82,185,"Right-Handed","No",108,"High Difference","Yes"
"1711","Haas T.","Schwank E.",79,54,"GER",1996,84,188,"Right-Handed","ARG",2005,83,183,"Right-Handed","No",25,"Low Difference","Yes"
"1712","Stepanek R.","Lapentti N.",23,86,"CZE",1996,76,185,"Right-Handed","ECU",1995,86,188,"Right-Handed","Yes",-63,"Medium Difference","Yes"
"1713","Karanusic R.","Serra F.",92,58,"CRO",2000,75,183,"Right-Handed","FRA",2000,78,180,"Right-Handed","No",34,"Medium Difference","Yes"
"1714","Blake J.","Dancevic F.",10,131,"USA",1999,83,185,"Right-Handed","CAN",2003,79,185,"Right-Handed","Yes",-121,"High Difference","Yes"
"1715","Nadal R.","Rochus C.",1,75,"ESP",2001,85,185,"Left-Handed","BEL",1996,68,170,"Right-Handed","Yes",-74,"Medium Difference","No"
"1716","Cilic M.","Tipsarevic J.",20,46,"CRO",2005,89,198,"Right-Handed","SRB",2002,80,180,"Right-Handed","Yes",-26,"Low Difference","Yes"
"1717","Ferrer D.","Hrbaty D.",12,251,"ESP",2000,73,175,"Right-Handed","SVK",1996,79,183,"Right-Handed","Yes",-239,"High Difference","Yes"
"1718","Safin M.","Garcia-Lopez G.",27,62,"RUS",1997,88,193,"Right-Handed","ESP",2002,80,185,"Right-Handed","Yes",-35,"Medium Difference","Yes"
"1719","Delic A.","Mathieu P.H.",127,29,"BIH",2003,93,196,"Right-Handed","FRA",1999,74,185,"Right-Handed","No",98,"High Difference","Yes"
"1720","Djokovic N.","Chardy J.",3,68,"SRB",2003,77,188,"Right-Handed","FRA",2005,75,188,"Right-Handed","Yes",-65,"Medium Difference","Yes"
"1721","Robredo T.","Troicki V.",22,53,"ESP",1998,75,180,"Right-Handed","SRB",2006,86,193,"Right-Handed","Yes",-31,"Medium Difference","Yes"
"1722","Berdych T.","Dabul B.",21,100,"CZE",2002,91,196,"Right-Handed","ARG",2001,70,170,"Left-Handed","Yes",-79,"High Difference","No"
"1723","Wawrinka S.","Klein B.",16,249,"SUI",2002,81,183,"Right-Handed","GBR",2007,83,188,"Right-Handed","Yes",-233,"High Difference","Yes"
