W...1,L...2,East,Heya...4,Shusshin...5,Birth Date...6,Hatsu...7,University...8,Height/Weight...9,High...10,Career...11,Career Record...12,Prev...13,Prev W...14,Prev L...15,Next...16,Next W...17,Next L...18,Rank,West,Heya...21,Shusshin...22,Birth Date...23,Hatsu...24,University...25,Height/Weight...26,High...27,Career...28,Career Record...29,Prev...30,Prev W...31,Prev L...32,W...33,L...34,Next...35,Next W...36,Next L...37
11,4,Gonoyama,Takekuma,Osaka,07.04.1998,2021.03,Chuo University,176 cm 155 kg,J6,J1,96-48-2/143,J10e,9,6,J1e,14,1,J6,Daiamami,Oitekaze,Kagoshima,15.12.1992,2016.01,Nihon University,183 cm 182 kg,M11,M11,303-305-4/606,J2w,5,10,6,9,J9e,7,8
8,7,Akua,Tatsunami,Ibaraki,06.11.1990,2010.11,NA,184 cm 168 kg,M10,M10,357-335-3/691,J1e,3,12,J5w,5,10,J7,Shimazuumi,Hanaregoma,Kagoshima,18.05.1996,2012.03,NA,174 cm 149 kg,J7,J6,279-215-34/493,J11w,9,6,8,7,J6w,8,7
6,9,Hidenoumi,Kise,Tokyo,11.06.1989,2012.05,Nihon University,185 cm 156 kg,M6,M6,432-413-18/843,J9w,8,7,J11e,6,9,J8,Atamifuji,Isegahama,Shizuoka,03.09.2002,2020.11,NA,185 cm 166 kg,M15,M15,101-64-4/164,J3e,3,8,8,7,J8e,13,2
4,11,Tsushimanada,Sakaigawa,Nagasaki,27.06.1993,2016.05,Nihon University,184 cm 136 kg,J9,J9,175-118-21/292,J14e,9,6,J14w,8,7,J9,Hakuyozan,Takadagawa,Yamagata,13.04.1995,2011.05,NA,186 cm 167 kg,J3,J3,339-279-47/616,J14w,9,6,9,6,J6e,6,8
4,11,Kotokuzan,Arashio,Kanagawa,11.03.1994,2009.09,NA,181 cm 157 kg,M16,M16,320-308-12/628,J5w,4,11,Ms2e,3,4,J10,Churanoumi,Kise,Okinawa,06.05.1993,2016.03,Nihon University,176 cm 130 kg,J2,J2,236-225-1/460,J6e,4,11,9,6,J7w,7,8
5,10,Shimanoumi,Kise,Mie,11.07.1989,2012.05,Kinki University,179 cm 160 kg,M3,M3,356-314-41/668,J8e,5,10,J13w,8,7,J11,Kitanowaka,Hakkaku,Yamagata,12.11.2000,2019.03,NA,190 cm 146 kg,J5,J5,137-98-5/234,J8w,5,10,8,7,J10w,8,7
4,11,Tochimusashi,Kasugano,Saitama,11.01.1999,2021.03,Chuo University,182 cm 156 kg,J7,J7,76-54/130,J7w,4,11,Ms4e,4,3,J12,Takakento,Tokiwayama,Kumamoto,10.02.1996,2014.01,NA,178 cm 160 kg,J4,J4,250-220-3/470,J12e,7,8,10,5,J7e,6,9
8,7,Tamashoho,Kataonami,Mongolia,06.03.1993,2011.07,NA,188 cm 121 kg,J13,J11,267-232/498,Ms1e,4,3,J11w,9,6,J13,Tomokaze,Nishonoseki,Kanagawa,02.12.1994,2017.05,Nippon Sport Science University,185 cm 181 kg,M3,M3,173-90-70/262,Ms2e,4,3,8,7,J12e,8,7
4,11,Tokushoryu,Kise,Nara,22.08.1986,2009.01,Kinki University,183 cm 192 kg,M2,M2,552-564/1116,Ms2w,4,3,Ms6w,2,5,J14,Ochiai,Miyagino,Tottori,22.08.2003,2023.01,NA,179 cm 156 kg,J14,J8,31-6/37,Ms15TD,7,0,10,5,J8w,14,1
3,5,Tsukahara,Kasugano,Saitama,12.10.1999,2017.11,NA,193 cm 153 kg,Ms1,Ms1,129-96/225,Ms5e,5,2,Ms10w,4,3,Ms1,Terutsuyoshi,Isegahama,Hyogo,17.01.1995,2010.03,NA,169 cm 114 kg,M3,M3,414-405/819,J10w,5,10,3,4,Ms5w,2,5
