W...1,L...2,East,Heya...4,Shusshin...5,Birth Date...6,Hatsu...7,University...8,Height/Weight...9,High...10,Career...11,Career Record...12,Prev...13,Prev W...14,Prev L...15,Next...16,Next W...17,Next L...18,Rank,West,Heya...21,Shusshin...22,Birth Date...23,Hatsu...24,University...25,Height/Weight...26,High...27,Career...28,Career Record...29,Prev...30,Prev W...31,Prev L...32,W...33,L...34,Next...35,Next W...36,Next L...37
1,6,Chura,Miyagino,Okinawa,10.04.2001,2017.03,NA,174 cm 123 kg,Sd19,Sd19,117-119-16/236,Sd86e,5,2,Sd86w,4,3,Sd49,Yamato,Dewanoumi,Gifu,13.08.2003,2022.03,NA,174 cm 80 kg,Sd49,Sd49,28-18-3/45,Jd21e,6,1,3,4,Sd69w,3,4
5,2,Nishida,Nishonoseki,Fukuoka,24.10.2004,2020.03,NA,181 cm 138 kg,Sd45,Sd20,68-58/126,Sd70e,4,3,Sd20e,2,5,Sd50,Oyamada,Naruto,Akita,19.05.1999,2022.05,NA,178 cm 96 kg,Sd50,Sd33,26-13-3/39,Sd87w,5,2,4,3,Sd33e,4,3
6,1,Kotodaishin,Sadogatake,Gifu,01.03.2001,2019.01,NA,186 cm 151 kg,Ms57,Ms57,90-79-6/167,Sd20w,2,5,Sd1w,3,4,Sd51,Makio,Musashigawa,Kagoshima,14.03.2002,2020.03,NA,182 cm 106 kg,Sd51,Sd34,63-61-2/124,Sd88e,5,2,4,3,Sd34w,1,6
2,5,Daishosei,Oitekaze,Kumamoto,22.11.1999,2018.03,NA,171 cm 123 kg,Sd6,Sd6,107-100-3/206,Sd72e,4,3,Sd81w,3,4,Sd52,Amane,Shikoroyama,Kanagawa,21.11.1998,2017.03,NA,181 cm 153 kg,Ms58,Ms58,123-129/251,Sd21w,2,5,3,4,Sd71w,4,3
2,5,Honma,Naruto,Tokyo,01.05.2001,2017.03,NA,171 cm 118 kg,Sd52,Sd52,102-105-17/207,Sd73e,4,3,Sd82w,4,3,Sd53,Tatsuki,Otake,Aichi,30.01.2001,2016.09,NA,184 cm 122 kg,Sd15,Sd15,135-132-6/267,Sd31w,3,4,5,2,Sd23e,1,6
3,4,Yurikisho,Tokiwayama,Tokyo,02.09.2001,2017.09,NA,167 cm 138 kg,Sd49,Sd49,97-73-40/170,Sd74e,4,3,Sd72e,6,1,Sd54,Kamitani,Michinoku,Miyazaki,18.06.2002,2018.03,NA,183 cm 154 kg,Ms19,Ms19,107-87-16/193,Sd16w,1,6,5,2,Sd24e,3,4
3,4,Asahanshin,Takasago,Osaka,04.06.2000,2016.03,NA,182 cm 148 kg,Sd24,Sd24,142-152/293,Sd24w,2,5,Sd74e,3,4,Sd55,Kyokutaisei,Oshima,Hokkaido,18.10.1989,2008.01,NA,184 cm 151 kg,M8,M8,454-407-73/855,Jd28e,6,1,6,1,Sd3e,4,3
2,5,Ginseizan,Otake,Nagano,06.04.1993,2012.03,NA,176 cm 109 kg,Ms58,Ms58,221-239-2/460,Sd36e,3,4,Sd83w,0,5,Sd56,Amakaze,Oshiogawa,Kagawa,07.07.1991,2007.03,NA,184 cm 177 kg,M13,M13,408-363-47/770,Sd37e,3,4,5,2,Sd26e,4,3
5,2,Kitanomine,Hakkaku,Fukuoka,22.04.1993,2010.03,NA,181 cm 72 kg,Sd27,Sd26,203-210-42/410,Sd77e,4,3,Sd26w,0,0,Sd57,Nagata,Dewanoumi,Shizuoka,12.05.2002,2021.01,NA,167 cm 113 kg,Sd28,Sd28,48-47-3/94,Sd28e,2,5,4,3,Sd39w,0,7
1,6,Kayatoiwa (Hamaminato),Minato,Gunma,13.07.1991,2007.03,NA,176 cm 108 kg,Sd27,Sd27,312-323-30/634,Sd40w,3,4,Jd8w,3,4,Sd58,Chiyoyamato,Kokonoe,Aichi,16.02.2001,2020.07,NA,183 cm 126 kg,Sd58,Sd58,57-55-7/112,Jd5w,5,2,3,4,Sd76w,2,5
3,4,Shoji,Musashigawa,Akita,25.08.1994,2017.07,NA,191 cm 147 kg,Ms43,Ms43,122-114-2/236,Sd32e,2,5,Sd78e,5,2,Sd59,Tokiryu,Tamanoi,Aichi,25.06.1998,2014.03,NA,175 cm 117 kg,Ms54,Ms54,179-184-15/360,Sd32w,2,5,3,4,Sd79e,4,3
0,0,Kyokushori (Kaiho),Oshima,Hyogo,10.03.1995,2013.01,NA,169 cm 189 kg,Ms50,Ms50,187-152-81/338,Sd33e,2,2,Jd30e,0,0,Sd60,Koki,Minato,Aichi,21.10.2003,2019.03,NA,181 cm 128 kg,Sd53,Sd53,76-78-14/154,Sd80w,4,3,0,0,Jd30w,3,4
2,5,Shinyashiki,Otake,Saitama,31.01.1998,2013.11,NA,170 cm 102 kg,Sd55,Sd55,180-206-6/385,Jd7w,5,2,Sd90e,4,3,Sd61,Ieshima,Yamahibiki,Hyogo,26.01.2005,2020.03,NA,176 cm 135 kg,Sd25,Sd25,65-54-7/119,Sd42w,3,4,4,3,Sd43w,2,5
4,3,Asanojo,Takasago,Kochi,03.09.1986,2004.01,NA,174 cm 110 kg,Ms56,Ms56,382-399-17/778,Sd35e,2,5,Sd44w,5,2,Sd62,Asashinjo,Takasago,Aichi,12.02.1998,2016.03,NA,170 cm 114 kg,Sd19,Sd19,144-139-11/282,Sd45e,3,4,4,3,Sd45w,4,3
5,2,Yutakasho,Sakaigawa,Kagoshima,19.11.1994,2013.03,NA,174 cm 126 kg,Ms13,Ms13,210-167-36/377,Sd36w,2,5,Sd30w,6,1,Sd63,Teraoumi,Shikoroyama,Hiroshima,07.08.1987,2006.01,NA,186 cm 138 kg,Sd6,Sd6,340-367-7/707,Sd47w,3,4,2,5,Jd1e,3,4
4,3,Akatora (Omote),Shikihide,Oita,01.03.1998,2016.03,NA,166 cm 96 kg,Sd42,Sd42,147-147/292,Sd84e,4,3,Sd46e,3,4,Sd64,Kanazawa,Naruto,Aichi,20.06.2003,2022.03,NA,182 cm 164 kg,Sd64,Sd64,29-17-3/46,Sd84w,4,3,3,4,Sd83e,5,2
6,1,Daiseizan,Arashio,China,22.05.2000,2021.11,NA,189 cm 150 kg,Sd10,Sd10,34-8-14/42,Jd40w,6,1,Sd10e,4,3,Sd65,Oshozan,Naruto,Yamanashi,11.05.2000,2016.03,NA,168 cm 123 kg,Sd56,Sd56,136-132-26/267,Sd85w,4,3,2,2,Jd2w,3,4
2,5,Hagane (Kakureizan),Michinoku,Aichi,29.08.1981,2000.03,NA,179 cm 145 kg,Ms16,Ms16,476-479-4/953,Jd12e,5,2,Jd3e,5,2,Sd66,Asaobora,Takasago,Aichi,21.06.2004,2020.03,NA,186 cm 164 kg,Sd63,Sd47,64-62/125,Sd86w,4,3,4,3,Sd47w,5,2
3,4,Baraki,Shikihide,Saitama,10.05.1994,2013.01,NA,163 cm 99 kg,Ms58,Ms58,208-219/427,Sd48e,3,4,Sd84e,3,4,Sd67,Hitachigo,Fujishima,Ibaraki,17.06.1985,2004.01,NA,184 cm 145 kg,Ms15,Ms15,378-367-25/743,Sd48w,3,4,2,5,Jd6w,5,2
4,3,Daijo,Takadagawa,Fukuoka,19.07.1991,2007.03,NA,182 cm 117 kg,Ms43,Ms43,323-342/665,Sd49w,3,4,Sd49e,3,4,Sd68,Chiyotenfu,Kokonoe,Tokyo,17.03.2000,2015.05,NA,172 cm 114 kg,Sd18,Sd18,149-168-12/316,Sd18w,0,7,4,3,Sd49w,1,1
2,5,Tatsuosho,Tatsunami,Okinawa,01.09.2003,2022.03,NA,182 cm 138 kg,Sd50,Sd50,30-19/49,Sd50e,3,4,Jd10w,5,2,Sd69,Furanshisu,Shikihide,Philippines,04.08.1998,2016.03,NA,175 cm 115 kg,Sd53,Sd53,141-148-5/288,Sd89w,4,3,2,5,Jd11w,3,4
3,4,Asakoga,Takasago,Osaka,20.02.1993,2015.03,NA,174 cm 166 kg,Sd19,Sd19,165-163-8/327,Jd46e,6,1,Sd89w,5,1,Sd70,Shogun,Shikoroyama,Yamaguchi,21.01.1999,2017.01,NA,184 cm 112 kg,Sd16,Sd16,127-110-22/236,Sd41e,2,5,5,2,Sd37e,5,2
4,3,Tokio,Isenoumi,Iwate,16.08.2000,2016.03,NA,174 cm 147 kg,Sd42,Sd42,138-156/293,Jd1e,4,3,Sd52e,3,4,Sd71,Masuminato,Onomatsu,Chiba,13.06.1995,2014.05,NA,169 cm 143 kg,Ms57,Ms57,183-176-12/357,Sd43w,2,5,4,3,Sd53e,2,5
4,3,Chiyotaisei,Kokonoe,Kumamoto,13.04.2001,2020.03,NA,180 cm 175 kg,Sd72,Sd54,65-54-7/119,Jd19e,5,2,Sd54e,5,2,Sd72,Tokitora (Shimoyama),Tokitsukaze,Miyagi,20.02.2002,2020.07,NA,185 cm 120 kg,Ms45,Ms45,60-39-13/98,Jd19w,5,2,5,2,NA,NA,NA
3,4,Yasunishi,Michinoku,Fukuoka,01.10.2001,2020.07,NA,175 cm 103 kg,Sd73,Sd73,60-59/119,Jd49e,6,1,Sd90w,2,5,Sd73,Tokinosato,Nishiiwa,Osaka,14.12.2002,2018.03,NA,174 cm 137 kg,Sd55,Sd55,101-100-2/201,Sd55w,3,4,3,4,NA,NA,NA
5,2,Goshimaru (Yokoe),Musashigawa,Kanagawa,11.09.1996,2015.11,NA,180 cm 143 kg,Ms28,Ms28,153-139-16/291,Sd46e,2,5,Sd40e,3,4,Sd74,Oginosho,Dewanoumi,Osaka,03.06.1993,2009.03,NA,180 cm 125 kg,Ms22,Ms22,285-291-5/575,Sd38e,1,6,3,4,Jd1w,2,5
2,5,Kaihiryu,Asakayama,Tokyo,17.10.2001,2020.03,NA,181 cm 80 kg,Sd75,Sd75,55-64-7/119,Jd5e,4,3,Jd17e,3,4,Sd75,Suio,Dewanoumi,Gifu,03.07.2001,2017.03,NA,177 cm 113 kg,Sd15,Sd15,115-112-25/225,Sd15e,0,0,0,0,Jd45w,0,0
1,6,Sadanokuni,Sakaigawa,Nagasaki,02.04.1988,2004.03,NA,183 cm 112 kg,Ms49,Ms49,382-402-7/784,Sd40e,1,6,Jd28e,0,0,Sd76,Kassho,Yamahibiki,Hyogo,22.10.2002,2021.03,NA,171 cm 133 kg,Sd76,Sd76,47-31-13/78,Jd6e,4,3,3,4,Jd3w,4,3
5,2,Biganzan,Yamahibiki,Okayama,21.06.2002,2018.03,NA,185 cm 159 kg,Sd42,Sd42,94-109-7/203,Jd24e,5,2,Sd43e,1,6,Sd77,Kojikara,Tagonoura,Tochigi,15.06.2002,2018.03,NA,183 cm 145 kg,Sd42,Sd42,91-75-37/165,Sd58w,3,4,5,2,Sd44e,4,3
5,2,Shoketsu,Shibatayama,Shizuoka,05.09.1976,1995.03,NA,183 cm 165 kg,Ms4,Ms4,589-580/1168,Jd8e,4,3,Sd45e,1,6,Sd78,Fukuminato,Minato,Tokyo,16.03.2000,2015.03,NA,180 cm 123 kg,Sd78,Sd78,123-147-45/270,Jd8w,4,3,3,4,Jd9w,3,4
4,3,Miyakogawa,Isenoumi,Kyoto,22.11.1998,2017.05,NA,175 cm 95 kg,Sd59,Sd59,122-123/243,Sd59w,3,4,Sd59e,2,5,Sd79,Michihaya,Onomatsu,Kanagawa,21.08.2003,2022.03,NA,187 cm 167 kg,Sd60,Sd60,22-13-14/35,Sd60e,3,4,0,0,Jd49w,0,0
7,0,Kiyonoumi,Tamanoi,Nagano,21.08.1996,2014.11,NA,180 cm 164 kg,Ms52,Ms52,171-164-15/334,Sd51e,2,5,Ms54w,3,4,Sd80,Sakabayashi,Onoe,Toyama,28.11.1999,2018.01,NA,175 cm 124 kg,Sd38,Sd38,102-101-14/203,Sd43e,1,6,2,5,Jd22w,5,2
4,3,Sato,Nishonoseki,Oita,03.01.2004,2022.03,NA,176 cm 117 kg,Sd62,Sd61,27-22/49,Sd62e,3,4,Sd61e,1,6,Sd81,Hokuyozan,Tatsunami,Hokkaido,26.11.1993,2009.03,NA,180 cm 132 kg,Sd20,Sd20,270-281-30/551,Jd28w,5,2,4,3,Sd61w,3,4
5,2,Kaorufuji,Kasugano,Shizuoka,28.02.1988,2003.03,NA,173 cm 157 kg,Ms38,Ms38,405-427-1/832,Sd53e,2,5,Sd47e,4,3,Sd82,Hienriki,Oshiogawa,Niigata,06.03.1983,1998.03,NA,178 cm 125 kg,Ms29,Ms29,508-531-4/1038,Jd12w,4,3,3,4,Jd12w,3,4
1,6,Masakifuji,Isegahama,Niigata,12.11.2003,2021.11,NA,168 cm 105 kg,Sd83,Sd83,30-33/63,Jd13e,4,3,Jd35w,3,4,Sd83,Ishiazuma,Tamanoi,Miyagi,08.11.1998,2014.03,NA,166 cm 117 kg,Sd83,Sd83,171-192-15/362,Jd13w,4,3,2,5,Jd24e,3,4
3,4,Chiyohokkai,Kokonoe,Hokkaido,19.10.1995,2018.01,NA,172 cm 127 kg,Sd39,Sd39,106-104-7/210,Sd56e,2,5,Jd13e,5,2,Sd84,Tochigidake,Kasugano,Gifu,20.11.1991,2010.03,NA,174 cm 119 kg,Sd27,Sd27,248-225-45/473,Jd14w,4,3,4,3,Sd65e,4,3
2,5,Suonada,Sakaigawa,Yamaguchi,26.12.2000,2019.01,NA,182 cm 126 kg,Sd85,Sd85,75-93/168,Jd15e,4,3,Jd24w,0,0,Sd85,Takano,Kise,Kumamoto,17.05.2001,2020.07,NA,174 cm 162 kg,Sd60,Sd60,53-47-19/100,Jd66w,6,1,2,5,Jd27w,4,3
5,2,Chiyoresshi,Kokonoe,Toyama,03.04.2003,2020.07,NA,173 cm 113 kg,Sd63,Sd50,59-53-7/112,Jd16e,4,3,Sd50e,3,4,Sd86,Asatenmai,Takasago,Miyagi,23.05.1981,2000.03,NA,170 cm 116 kg,Ms8,Ms8,477-464-18/941,Sd66e,3,4,5,2,Sd51w,3,4
3,4,Araoyama,Onomatsu,Tokyo,12.12.2000,2019.05,NA,173 cm 123 kg,Sd13,Sd13,82-79/161,Sd57e,2,5,Jd18w,6,1,Sd87,Daikinryu,Sakaigawa,Yamaguchi,17.03.2004,2022.03,NA,171 cm 110 kg,Sd87,Sd87,22-15-12/37,Jd34w,5,2,0,2,Jd47w,0,0
4,3,Kototaiga,Sadogatake,Hyogo,21.04.2001,2017.03,NA,181 cm 120 kg,Sd36,Sd36,101-89-41/187,Sd69w,3,4,Sd68e,1,2,Sd88,Hamadayama,Shibatayama,Tokyo,02.12.1991,2007.03,NA,172 cm 122 kg,Sd40,Sd40,301-364/665,Sd60w,2,5,4,3,Sd68w,2,5
3,4,Yokomaru (Yanagida),Musashigawa,Okayama,27.05.2000,2019.03,NA,177 cm 140 kg,Sd24,Sd24,85-81-2/165,Sd51w,1,6,Jd19w,4,3,Sd89,Fujinotani,Hakkaku,Hiroshima,07.08.1997,2013.03,NA,165 cm 108 kg,Sd53,Sd53,193-190-37/381,Jd36w,5,2,3,4,Jd21w,0,1
3,4,Kiyonohana,Dewanoumi,Fukushima,23.07.2005,2021.03,NA,171 cm 74 kg,Sd87,Sd87,48-40-3/87,Jd20w,4,3,Jd22e,4,3,Sd90,Ishiura,Miyagino,Tottori,10.01.1990,2013.01,Nihon University,174 cm 110 kg,M5,M5,350-321-108/670,Sd30w,0,0,0,0,Jd60w,0,0
4,3,Yamenosato,Nishiiwa,Fukuoka,03.04.2000,2018.03,NA,180 cm 119 kg,Sd65,Sd65,104-106/210,Jd38e,5,2,Sd71e,3,4,Jd1,Asashiyu,Takasago,Mie,08.08.1994,2017.03,Toyo University,182 cm 154 kg,J13,J13,127-68-72/193,Sd61e,2,2,6,1,Sd32w,6,1
0,2,Daishomune,Oitekaze,Kagawa,08.07.1992,2011.01,NA,178 cm 113 kg,Sd33,Sd33,243-256-5/498,Sd71w,3,4,Jd62w,4,3,Jd2,Ikazuchido,Ikazuchi,Saitama,18.03.2005,2022.05,NA,180 cm 91 kg,Jd2,Sd72,24-18/42,Jd73e,6,1,4,3,Sd72w,3,4
6,1,Suzaki,Otake,Gifu,02.04.2004,2020.03,NA,168 cm 78 kg,Sd61,Sd34,65-61/126,Sd75e,3,4,Sd34e,2,5,Jd3,Kisenoumi,Kise,Chiba,12.04.2001,2019.03,NA,181 cm 137 kg,Sd15,Sd15,87-81/168,Sd75w,3,4,5,2,Sd58e,4,3
2,5,Mimurodake (Juban),Isegahama,Nara,18.03.1987,2002.03,NA,179 cm 146 kg,Sd55,Sd55,411-460-4/870,Jd75e,6,1,Jd44w,2,5,Jd4,Tochimitsuru,Kasugano,Tokyo,08.06.1995,2014.03,NA,172 cm 115 kg,Ms60,Ms60,191-184-3/374,Jd41e,5,2,4,3,Sd74w,5,2
4,3,Sekizuka,Tagonoura,Aichi,21.04.1997,2013.03,NA,184 cm 123 kg,Sd45,Sd45,170-233-17/403,Sd67w,2,5,Sd75w,4,3,Jd5,Ryuseiyama (Kawaraumi),Dewanoumi,Tokyo,12.12.1991,2007.03,NA,172 cm 134 kg,Sd5,Sd5,316-320-29/634,Jd26e,4,3,3,4,Jd29w,4,3
3,4,Chiyotaiko,Kokonoe,Osaka,26.12.2001,2017.03,NA,179 cm 130 kg,Jd6,Jd6,97-95-53/192,Jd26w,4,3,Jd31w,5,2,Jd6,Dewanosora,Dewanoumi,Nagasaki,03.07.1999,2015.03,NA,178 cm 138 kg,Sd50,Sd50,159-174-3/332,Sd78e,3,4,2,5,Jd45e,3,4
4,3,Yoshiazuma,Tamanoi,Kumamoto,26.05.1977,1996.01,NA,196 cm 158 kg,M12,M12,638-656-8/1293,Sd69e,2,5,Sd77e,2,5,Jd7,Yoshino,Futagoyama,Kanagawa,04.12.2002,2021.03,NA,180 cm 122 kg,Sd63,Sd63,45-46/91,Sd63w,1,6,4,3,Sd77w,3,4
3,4,Shunkaku,Shikoroyama,Ibaraki,24.10.2002,2018.03,NA,164 cm 86 kg,Jd8,Jd8,94-116/210,Jd30e,4,3,Jd36e,5,2,Jd8,Tsugunohana,Onomatsu,Iwate,20.10.1997,2016.03,NA,187 cm 127 kg,Sd97,Sd97,133-154-7/287,Jd30w,4,3,3,4,Jd38e,4,3
2,5,Asaazuma,Takasago,Kochi,18.05.1999,2018.01,NA,183 cm 123 kg,Jd7,Jd7,102-115/217,Jd48w,5,2,Jd46e,4,3,Jd9,Asanotosa,Takasago,Kochi,10.11.1981,2000.01,NA,174 cm 161 kg,Ms21,Ms21,483-466-17/947,Sd80e,3,4,3,4,Jd38w,4,3
4,3,Tsugaruumi,Tamanoi,Chiba,06.04.1996,2012.03,NA,174 cm 109 kg,Sd4,Sd4,213-182-60/391,Sd72w,2,5,Sd80e,3,4,Jd10,Mogamizakura,Shikihide,Ibaraki,03.07.2005,2021.03,NA,187 cm 142 kg,Sd60,Sd60,46-40-5/86,Jd33w,4,3,3,4,Jd40e,5,2
5,2,Sawayaka,Shikihide,Shizuoka,02.02.2000,2016.05,NA,172 cm 87 kg,Sd96,Sd64,143-142-2/284,Jd50w,5,2,Sd64w,2,5,Jd11,Yusui (Ryuki),Michinoku,Kagoshima,15.08.1997,2013.07,NA,181 cm 97 kg,Sd59,Sd59,183-180-43/361,Sd81w,3,3,0,1,Jd71w,0,0
4,3,Kaiyuma,Asakayama,Tokyo,26.04.2000,2016.05,NA,172 cm 160 kg,Sd66,Sd66,145-141-1/286,Sd83e,3,4,Sd82e,4,3,Jd12,Tenei,Takadagawa,Osaka,11.10.1999,2017.11,NA,177 cm 134 kg,Sd55,Sd55,110-114/224,Sd83w,3,4,5,2,Sd66e,4,3
5,2,Arise,Tokitsukaze,Oita,16.02.2000,2022.03,Tokyo University of Agriculture,175 cm 93 kg,Sd77,Sd67,29-20/49,Jd37w,4,3,Sd67e,5,2,Jd13,Asakiryu,Takasago,Mie,22.06.2002,2021.03,NA,168 cm 78 kg,Sd37,Sd37,50-41/91,Sd85e,3,4,3,4,Jd42e,6,1
3,4,Hidano,Arashio,Toyama,14.09.1990,2011.11,NA,179 cm 133 kg,Sd34,Sd34,225-237-14/462,Sd76w,2,5,Jd43w,6,1,Jd14,Kotoegashira,Sadogatake,Fukuoka,23.07.2003,2019.03,NA,173 cm 107 kg,Sd88,Sd88,73-64-31/136,Jd39w,4,3,0,0,Jd84w,6,1
1,6,Byakuen,Tatsunami,Mie,05.10.2004,2021.05,NA,171 cm 67 kg,Jd15,Jd15,37-46-1/83,Jd92w,6,1,Jd61w,3,4,Jd15,Ryuseio,Shibatayama,Kumamoto,14.02.1986,2004.03,NA,186 cm 160 kg,Ms40,Ms40,387-382-22/768,Sd68w,1,6,4,3,Sd85w,3,4
1,6,Maniwayama,Takadagawa,Okayama,14.06.2003,2019.03,NA,175 cm 96 kg,Jd16,Jd16,70-98/168,Jd93w,6,1,Jd64w,3,4,Jd16,Terutaka,Onoe,Tokyo,06.03.2001,2018.11,NA,175 cm 125 kg,Sd80,Sd70,79-79-24/157,Jd41w,4,3,5,2,Sd70e,2,5
4,3,Takanoryu,Tagonoura,Fukuoka,03.09.2004,2020.03,NA,170 cm 121 kg,Sd89,Sd87,58-54-14/112,Jd59w,5,2,Sd87w,2,5,Jd17,Takakurayama,Onoe,Yamagata,11.08.1998,2014.03,NA,181 cm 129 kg,Sd79,Sd79,174-187-17/361,Jd60w,5,2,2,5,Jd52e,3,4
4,3,Asahabataki,Takasago,Aichi,21.04.2003,2019.03,NA,176 cm 141 kg,Sd59,Sd59,67-78-23/144,Jd43e,4,3,Sd88e,1,6,Jd18,Hokutoyoshi,Hakkaku,Hokkaido,16.07.1997,2016.03,NA,178 cm 145 kg,Sd74,Sd74,138-151-5/288,Jd43w,4,3,4,3,Sd89e,3,4
2,5,Fujimusashi,Musashigawa,Saitama,31.03.2005,2020.03,NA,166 cm 115 kg,Jd12,Jd12,58-59-9/117,Jd61w,5,2,Jd55w,4,3,Jd19,Amao,Nishonoseki,Hyogo,24.10.2002,2021.03,NA,178 cm 122 kg,Sd89,Sd48,41-24-26/65,Sd89e,3,4,6,1,Sd48e,2,5
5,2,Suyama,Kise,Saitama,23.09.1997,2022.05,Tokyo University,180 cm 104 kg,Jd18,Sd73,24-18/42,Jd45w,4,3,Sd73e,2,5,Jd20,Miyabi,Futagoyama,Chiba,29.05.2002,2018.03,NA,176 cm 122 kg,Jd20,Jd20,90-120/208,Jd65e,5,2,2,5,Jd58e,3,4
5,2,Inaba,Onomatsu,Aichi,18.05.2000,2019.03,NA,173 cm 125 kg,Sd52,Sd52,86-82/168,Sd79e,2,5,Sd75e,5,2,Jd21,Musashiumi,Fujishima,Ehime,26.04.1981,1997.03,NA,183 cm 155 kg,Ms5,Ms5,538-522-25/1060,Sd82e,2,5,3,4,Jd46w,5,2
4,3,Soga,Futagoyama,Saitama,09.02.2003,2018.05,NA,178 cm 134 kg,Sd58,Sd58,99-104/203,Jd2e,3,4,Jd2e,4,3,Jd22,Boshuyama,Sakaigawa,Chiba,23.06.2004,2020.03,NA,187 cm 138 kg,Jd22,Jd22,54-71-1/123,Jd71e,5,2,1,6,Jd70w,3,4
3,4,Kototaisei,Sadogatake,Aichi,16.07.1996,2012.03,NA,174 cm 116 kg,Sd47,Sd47,215-241-6/455,Jd49w,4,3,Jd49e,5,2,Jd23,Mihamaumi,Tamanoi,Chiba,29.11.1996,2012.05,NA,173 cm 125 kg,Sd25,Sd25,197-229-22/425,Sd87e,2,5,6,1,Sd51e,2,5
2,5,Daisho,Oitekaze,Ishikawa,04.06.2000,2016.03,NA,169 cm 131 kg,Sd78,Sd78,138-150-6/286,Sd78w,1,6,Jd58w,5,2,Jd24,Oatari,Shikihide,Saitama,27.11.1999,2015.03,NA,177 cm 129 kg,Jd24,Jd24,146-189-1/335,Jd52e,4,3,3,4,Jd51e,4,3
3,4,Tsukioka,Futagoyama,Saitama,23.01.2005,2020.03,NA,167 cm 98 kg,Jd25,Jd25,56-70/126,Jd52w,4,3,Jd51w,3,4,Jd25,Matsugi,Tagonoura,Ehime,14.03.2005,2020.03,NA,177 cm 86 kg,Jd25,Jd4,48-64-14/112,Jd75w,5,2,4,3,Jd4w,2,5
4,3,Kyokumizuno,Oshima,Toyama,12.03.2004,2022.03,NA,169 cm 135 kg,Jd4,Jd4,28-21/49,Jd4e,3,4,Jd5e,4,3,Jd26,Shoran,Hanaregoma,Aichi,06.12.2003,2022.03,NA,175 cm 76 kg,Jd26,Jd26,23-24-2/46,Jd55w,4,3,2,5,Jd67e,4,3
4,3,Aron,Nishonoseki,Kanagawa,07.01.2003,2021.03,NA,181 cm 128 kg,Jd9,Jd6,48-43/91,Jd9w,3,4,Jd6e,4,3,Jd27,Kaishinmaru,Asakayama,Osaka,14.09.1998,2014.03,NA,170 cm 138 kg,Ms54,Ms54,178-174-26/351,Sd82w,1,3,5,2,Sd80w,4,3
3,4,Kyokutaiga,Oshima,Hokkaido,28.02.2006,2021.03,NA,166 cm 136 kg,Jd28,Jd28,46-45/90,Jd78w,5,2,Jd53w,5,2,Jd28,Kokiryu,Tatsunami,Osaka,14.09.2004,2022.09,NA,182 cm 129 kg,Jd28,Jd28,16-12/28,Jd57w,4,3,3,4,Jd54e,4,3
3,4,Wakaazuma,Tamanoi,Miyagi,15.01.2004,2019.03,NA,181 cm 120 kg,Sd84,Sd84,75-76-17/150,Jd58e,4,3,Jd54w,0,0,Jd29,Fujiyuho,Fujishima,Nagano,01.08.2000,2019.01,NA,178 cm 126 kg,Jd10,Jd8,86-75-14/161,Jd10w,3,4,4,3,Jd8e,3,4
2,5,Kirizakura,Michinoku,Kagoshima,26.05.1983,1999.03,NA,177 cm 88 kg,Sd69,Sd69,461-525-15/982,Jd61e,4,3,Jd70e,2,5,Jd30,Kototora,Sadogatake,Fukuoka,22.10.1994,2010.03,NA,168 cm 121 kg,Sd23,Sd23,257-274-8/530,Jd11w,3,4,4,3,Jd9e,2,5
0,7,Tsuyasato,Minato,Saitama,25.05.2001,2017.03,NA,169 cm 155 kg,Jd31,Jd31,77-99-41/176,Jd63e,4,3,Jd91w,5,2,Jd31,Satsumasho,Oitekaze,Kagoshima,06.08.1999,2022.01,Nihon University,184 cm 163 kg,Sd76,Sd76,29-27/56,Jd63w,4,3,3,4,Jd56w,4,3
6,1,Kazenoumi,Oshiogawa,Mongolia,29.01.2003,2022.09,NA,180 cm 144 kg,Jd32,Sd59,18-3/21,Jk11e,6,1,Sd59w,6,1,Jd32,Kotosato,Sadogatake,Chiba,13.06.2001,2022.11,NA,176 cm 169 kg,Jd32,Sd60,16-5/21,Jk11w,6,1,6,1,Sd60e,4,3
5,2,Chiyotaiyo,Kokonoe,Tokyo,17.08.2001,2018.05,NA,178 cm 78 kg,Sd89,Sd86,96-93-14/188,Jd3w,2,5,Sd86e,4,3,Jd33,Ai,Takadagawa,Tokushima,30.01.1999,2018.03,NA,177 cm 98 kg,Jd33,Jd33,91-119/209,Jd84e,5,2,2,5,Jd73e,4,3
5,2,Gohakuun,Takekuma,Hyogo,22.03.2005,2022.11,NA,173 cm 126 kg,Jd34,Sd87,17-4/21,Jk12w,6,1,Sd87e,6,1,Jd34,Asasorai,Takasago,Mie,19.11.1998,2021.03,NA,167 cm 80 kg,Jd8,Jd8,43-44-4/86,Jd84w,5,2,3,4,Jd59w,4,3
1,6,Okanojo,Dewanoumi,Fukushima,21.05.2003,2019.03,NA,165 cm 98 kg,Jd29,Jd29,74-89-5/161,Jd68e,4,3,Jd77w,4,1,Jd35,Matsumoto,Shikoroyama,Yamaguchi,24.03.2005,2020.03,NA,170 cm 141 kg,Jd31,Jd31,65-61/126,Jd85e,5,2,3,4,Jd65e,5,2
