Rikishi,total_wins,total_losses,total_ties,avg_height_cm,avg_weight_kg,total_matches,win_percentage
Wakakoyu,89,106,15,179.14285714285714,167.68571428571428,210,0.4238095238095238
Wakamaeda,282,315,3,174,129,600,0.47
Wakamisugi,432,313,5,187.43,123.52,750,0.576
Wakamiyama,173,220,12,177,172.44444444444446,405,0.4271604938271605
Wakamotoharu,83,52,0,187,143,135,0.6148148148148148
Wakanami,351,429,0,178.09615384615384,99.63461538461539,780,0.45
Wakanaruto,134,166,0,182,112.5,300,0.44666666666666666
Wakanofuji,62,76,12,189.55,141.2,150,0.41333333333333333
Wakanohana,940,320,252,181.1813725490196,120.70098039215686,1512,0.6216931216931217
Wakanoho,39,36,0,195,154.4,75,0.52
Wakanojo,78,102,0,192.16666666666666,152.91666666666666,180,0.43333333333333335
Wakanokuni,139,201,5,181,124.73913043478261,345,0.4028985507246377
Wakanosato,613,568,124,184.55172413793105,155.92758620689656,1305,0.4697318007662835
Wakanoshima,71,94,0,174,136.0909090909091,165,0.4303030303030303
Wakanoumi,379,434,27,171.48035714285714,117.60714285714286,840,0.4511904761904762
Wakanoyama,204,254,22,177.5625,160,480,0.425
Wakasegawa,300,350,25,185.51111111111112,138.0222222222222,675,0.4444444444444444
Wakashimazu,356,219,13,187.5775,119.55,588,0.6054421768707483
Wakashoyo,144,185,16,180.91304347826087,162.7391304347826,345,0.41739130434782606
Wakasugiyama,128,187,0,177,120,315,0.40634920634920635
Wakatakakage,154,105,41,180,124.8,300,0.5133333333333333
Wakatenryu,195,238,2,175,104.65517241379311,435,0.4482758620689655
Wakatoba,39,66,0,175.78571428571428,136.14285714285714,105,0.37142857142857144
Wakatsutomu,17,28,0,172,159.5,45,0.37777777777777777
Wakayoshiba,22,32,6,177,86.5,60,0.36666666666666664
Washuyama,319,353,63,174.6122448979592,106.36734693877551,735,0.4340136054421769
Yago,33,42,0,187,172,75,0.44
Yamamotoyama,29,41,5,190,248.5,75,0.38666666666666666
Yamato,42,48,15,189.34285714285713,189.42857142857142,105,0.4
Yasome,63,87,0,172,93,150,0.42
Yoshiazuma,11,34,0,197.66666666666666,168.53333333333333,45,0.24444444444444444
Yoshibanada,24,36,0,189,113,60,0.4
Yoshibayama,41,30,19,179,143,90,0.45555555555555555
Yoshiiyama,23,31,6,182,92,60,0.38333333333333336
Yoshikaze,550,596,24,176.0448717948718,136.87564102564104,1170,0.4700854700854701
Yoshinohana,234,298,8,188.92777777777778,170.25,540,0.43333333333333335
Yoshinomine,110,172,18,173,96,300,0.36666666666666664
Yoshinotani,48,57,0,176,97,105,0.45714285714285713
Yoshioyama,99,141,0,184.28125,129.6875,240,0.4125
Yotsukasa,49,59,12,177.5625,151.1125,120,0.4083333333333333
Yutakayama,863,831,16,186.84561403508772,140.31578947368422,1710,0.5046783625730994
Zaonishiki,139,191,0,182.8181818181818,135.86363636363637,330,0.4212121212121212
