Qual.,Player,Team,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
0,Amaia Daniel,Ball State,2B,0.293,0.373,0.395,0.768,52,179,157,22,46,5,1,3,31,4,16,17,4,1
0,Amanda Argomaniz,California Baptist,1B,0.27,0.354,0.365,0.719,54,152,126,7,34,4,1,2,26,1,16,22,0,0
0,Amanda Ayala,Tennessee,LF,0.297,0.409,0.497,0.906,55,199,165,32,49,12,3,5,30,6,26,24,13,2
0,Amanda Briskin,Samford,CF,0.248,0.289,0.261,0.55,51,169,157,24,39,0,1,0,6,0,9,16,12,3
0,Amanda Cooper,Rider,LF,0.298,0.355,0.347,0.702,43,139,124,27,37,1,1,1,12,2,10,30,2,2
0,Amanda DeSario,Tarleton State,CF,0.292,0.378,0.416,0.795,52,191,161,41,47,6,1,4,16,3,20,30,4,2
0,Amanda Guercio,Indiana State,DH,0.248,0.322,0.523,0.845,41,126,109,20,27,3,0,9,18,0,12,25,4,0
0,Amani Bradley,California,CF,0.283,0.336,0.391,0.727,54,152,138,21,39,6,3,1,20,2,10,18,4,2
0,Amari Ramsey,Alcorn State,DH,0.224,0.313,0.367,0.68,37,112,98,17,22,4,2,2,17,1,12,19,0,0
0,Amber Storer,SIUE,1B,0.198,0.254,0.298,0.551,45,142,131,11,26,4,0,3,12,0,10,12,0,0
0,Amber Verstynen,George Mason,RF,0.274,0.33,0.295,0.625,38,105,95,17,26,2,0,0,4,0,8,14,6,1
0,Amelia Thomas,Loyola Chicago,1B,0.263,0.346,0.459,0.805,46,153,133,23,35,8,6,2,16,1,17,26,11,2
0,Amy Mallah,St. John's,3B,0.235,0.305,0.328,0.633,43,133,119,8,28,1,2,2,11,8,4,27,4,1
0,Amy Petrovich,Sacred Heart,LF,0.275,0.336,0.391,0.727,50,156,138,13,38,8,1,2,16,2,11,24,1,1
0,Amy Smith,UMass,C,0.221,0.352,0.26,0.612,47,164,131,14,29,2,0,1,6,2,25,19,2,0
0,Amy Vetula,Lipscomb,SS,0.372,0.447,0.445,0.892,51,189,164,40,61,8,2,0,15,1,22,20,9,8
0,Ana Watson,Baylor,RF,0.279,0.342,0.388,0.729,55,162,147,28,41,7,0,3,26,7,7,32,7,2
0,Anaiyah Fultz,Grambling,SS,0.19,0.306,0.267,0.573,43,125,105,12,20,8,0,0,17,5,13,28,8,0
0,Andrea Gonzalez,Loyola Marymount,3B,0.281,0.337,0.369,0.706,54,183,160,26,45,6,1,2,27,3,11,25,6,1
0,Andrea Howard,New Mexico,CF,0.403,0.531,0.875,1.406,53,192,144,40,58,8,3,18,57,1,43,10,2,2
0,Andrea Lyon,Gardner-Webb,P,0.292,0.364,0.496,0.86,44,154,137,13,40,6,2,6,25,4,12,28,1,0
0,Andrea Sarhatt,East Tennessee State,CF,0.291,0.346,0.376,0.722,56,182,165,22,48,6,4,0,15,2,13,31,18,4
0,Angela Giampolo,Villanova,2B,0.246,0.375,0.354,0.729,44,160,130,18,32,8,0,2,16,12,16,26,3,3
0,Angela Zedak,Northwestern,LF,0.24,0.338,0.449,0.788,58,195,167,33,40,8,0,9,33,4,22,35,2,0
0,Angelica Cano,Idaho State,SS,0.346,0.435,0.667,1.102,50,188,156,46,54,12,1,12,48,10,17,28,6,0
0,Angelina Ioppolo,Hofstra,1B,0.216,0.299,0.295,0.594,48,159,139,17,30,6,1,1,19,6,11,29,0,0
0,Angelina Stile,Siena,3B,0.219,0.281,0.307,0.588,43,129,114,18,25,7,0,1,15,3,8,21,2,0
0,Anna Aguon,Buffalo,LF,0.234,0.37,0.362,0.732,46,173,141,29,33,6,0,4,15,5,26,37,15,2
0,Anna Dixon,Toledo,RF,0.33,0.379,0.4,0.779,37,126,115,18,38,8,0,0,10,1,8,20,4,1
0,Anna Freveletti,St. John's,LF,0.133,0.202,0.156,0.358,41,103,90,5,12,2,0,0,3,0,8,43,0,0
0,Anna Jones,Texas State,RF,0.277,0.39,0.333,0.723,52,172,141,26,39,6,1,0,28,1,27,25,6,1
0,Anna Knox,UNC Wilmington,3B,0.225,0.343,0.405,0.749,47,138,111,29,25,5,0,5,22,11,10,24,20,4
0,Anna Lonchar,UMBC,3B,0.296,0.4,0.541,0.941,41,116,98,17,29,3,0,7,14,5,12,23,0,0
0,Anna Vines,UCLA,2B,0.242,0.351,0.315,0.666,59,179,149,31,36,8,0,1,20,1,24,43,4,2
0,Annie Tokarek,Indiana State,C,0.298,0.348,0.527,0.874,48,145,131,10,39,9,0,7,24,0,10,24,0,1
0,Anslee Finch,Troy,RF,0.241,0.353,0.444,0.796,50,159,133,16,32,10,1,5,27,0,23,31,0,0
0,Antiya Randle,Grambling,1B,0.268,0.398,0.33,0.728,38,119,97,18,26,3,0,1,13,0,21,15,4,0
