Name,G,ST,MIN,T,TA,GLS,GK%,FG,PTS,R,RM,LB,TB,OFF,K,KM,TCK,MT,ERR,PEN,SB,SO
119M. Croker(NEW),14,3,485,2,0,0,-,0,8,107,876,0,5,2,0,0,276,13,3,1,0,0
119S. Drinkwater(NQL),14,14,"1,109",7,21,0,-,1,29,185,"1,707",9,60,14,58,"1,572",87,20,18,8,1,0
119T. Fa'asuamaleaui(GLD),14,13,864,5,1,0,-,0,20,224,"2,003",5,26,23,0,0,448,32,10,12,1,0
119K. Feldt(NQL),14,14,"1,134",10,1,0,0,0,40,220,"1,936",10,35,4,8,140,85,31,11,7,0,0
119D. Fifita(GLD),14,13,"1,049",6,8,0,-,0,24,210,"1,950",7,66,28,6,103,354,32,7,5,0,0
119L. Fitzgibbon(NEW),14,14,"1,036",4,2,0,-,0,16,133,"1,059",7,27,9,0,0,423,21,10,10,1,0
119T. Flegler(BRI),14,12,623,1,0,0,-,0,4,158,"1,405",1,21,9,0,0,296,27,6,4,1,0
119J. Ford(WAR),14,14,983,3,0,0,-,0,12,150,"1,175",5,27,6,0,0,439,54,13,11,1,0
119D. Gagai(NEW),14,14,"1,131",2,7,0,-,0,8,240,"2,072",5,78,21,4,48,229,47,20,10,0,0
119T. Gamble(NEW),14,10,932,2,8,0,-,1,9,60,545,3,14,7,48,"1,353",258,44,13,5,0,0
119J. Hughes(MEL),14,14,"1,124",4,13,0,-,0,16,102,850,4,35,6,132,"3,754",212,27,8,6,0,0
119D. Hutchison(SYD),14,5,630,2,1,0,-,0,8,60,447,3,8,4,16,572,193,22,2,5,0,0
119O. Kaufusi(CRO),14,9,574,0,0,0,-,0,0,130,"1,157",0,13,7,0,0,252,22,4,3,0,0
119A. Kepaoa(WST),14,9,811,3,0,0,-,0,12,106,927,2,26,8,1,25,171,23,8,5,0,0
119S. Keppie(MAN),14,6,580,1,0,0,-,0,4,131,"1,135",1,19,4,0,0,320,32,7,3,1,0
119A. Khan-Pereira(GLD),14,14,"1,120",15,2,0,-,0,60,147,"1,543",18,31,0,8,67,50,14,24,3,0,0
119J. Luai(PEN),14,14,"1,124",1,12,0,-,0,4,102,796,5,55,14,38,789,225,29,14,12,0,0
119M. Makatoa(PAR),14,0,437,1,0,0,-,0,4,128,"1,095",0,5,0,1,11,229,12,2,3,0,0
119M. Mbye(STI),14,7,470,0,1,1,100,0,2,35,289,1,6,3,10,290,250,27,0,5,0,0
119C. McInnes(CRO),14,6,657,1,1,0,-,0,4,140,"1,083",2,20,6,0,0,409,14,9,4,0,0
119M. Moses(PAR),14,14,"1,121",5,14,58,81,2,138,63,783,10,31,6,198,"6,519",210,30,14,5,0,0
119C. Murray(SOU),14,14,976,2,2,0,-,0,8,133,"1,064",3,21,11,2,15,556,25,10,18,1,0
119C. Nicoll-Klokstad(WAR),14,14,"1,054",3,11,0,-,0,12,259,"2,293",5,56,9,0,0,69,9,10,2,0,0
119C. Paix(BRI),14,0,443,2,0,0,-,0,8,23,202,2,4,2,1,4,262,4,2,1,0,0
119M. Ravalawa(STI),14,14,"1,120",13,1,0,-,0,52,195,"1,917",15,49,3,2,20,47,22,15,2,0,0
119J. Salmon(PEN),14,2,540,4,1,0,-,0,16,97,781,5,17,3,7,199,170,23,3,2,0,0
119P. Sami(GLD),14,14,"1,120",8,1,0,-,0,32,226,"2,118",10,71,8,1,16,56,17,7,0,0,0
119J. Simpkin(WST),14,5,413,1,1,0,-,0,4,29,266,1,9,0,2,21,243,21,4,3,0,0
119B. Sironen(WAR),14,0,388,1,1,0,-,0,4,42,324,0,3,1,0,0,210,22,1,0,0,0
119R. Stone(DOL),14,6,675,0,1,0,-,0,0,79,603,0,5,0,0,0,435,35,7,6,0,0
119H. Tabuai-Fidow(DOL),14,14,"1,124",14,3,0,-,0,56,176,"1,810",7,47,4,5,101,95,10,14,6,0,0
119S. Talakai(CRO),14,14,"1,120",5,7,1,50,0,22,232,"2,239",8,42,9,5,78,105,26,10,2,0,0
119J. Tedesco(SYD),14,14,"1,064",7,6,0,-,0,28,213,"2,195",8,66,11,13,122,51,12,9,2,0,0
119S. To'a(WST),14,13,"1,049",5,1,0,-,0,20,163,"1,547",8,56,12,10,86,163,23,11,3,0,0
119B. To'o(PEN),14,14,"1,124",9,1,0,-,0,36,269,"2,578",9,59,8,4,24,61,19,13,1,0,0
119J. Tupou(WST),14,14,"1,120",4,1,0,-,0,16,180,"1,654",10,59,13,5,43,38,29,18,2,0,0
119R. Walsh(BRI),14,14,"1,120",4,18,2,66,0,20,170,"1,695",11,71,21,38,"1,043",49,24,32,8,0,0
119I. Yeo(PEN),14,14,"1,108",1,2,0,-,0,4,161,"1,518",2,32,11,1,4,495,14,5,5,0,0
165J. Arthars(BRI),13,12,996,7,1,0,-,0,28,133,"1,227",11,29,0,1,12,46,16,7,0,0,0
165J. Bateman(WST),13,13,980,2,2,0,-,0,8,129,"1,044",1,20,21,6,23,469,25,14,4,0,0
165L. Brooks(WST),13,13,"1,023",1,7,2,100,1,9,100,"1,053",7,32,7,105,"2,975",225,47,12,2,0,0
165D. Brown(PAR),13,13,"1,047",2,16,0,-,0,8,126,"1,262",6,26,15,42,788,298,20,10,3,0,0
165J. Cartwright(SOU),13,1,346,1,1,0,-,0,4,57,561,2,10,3,0,0,160,19,6,3,0,0
165M. Chee Kam(SOU),13,11,966,0,1,0,-,0,0,143,"1,103",0,8,7,1,14,391,25,8,6,1,0
165R. Cotter(NQL),13,8,709,3,0,0,-,0,12,163,"1,291",4,16,1,0,0,385,18,11,2,0,0
165J. Curran(WAR),13,4,645,3,0,0,-,0,12,82,659,4,12,7,1,21,313,29,7,2,0,0
165J. De Belin(STI),13,11,912,1,1,0,-,0,4,121,"1,005",1,12,8,0,0,511,30,2,4,1,0
165T. Frizell(NEW),13,13,934,4,0,0,-,0,16,131,"1,134",3,25,7,0,0,367,15,3,9,0,0
165B. Hamlin-Uele(CRO),13,11,496,1,0,0,-,0,4,125,"1,277",3,28,5,0,0,208,15,7,2,0,0
165B. Hands(PAR),13,4,613,1,2,0,-,0,4,33,339,1,1,0,1,4,300,21,7,2,0,0
