X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List
,,,,In last 12 Months,In last 12 Months,In last 12 Months,Overall,Overall,Overall
Dive,Height,Description,DD,AvgScore,HighScore,# of Times,AvgScore,HighScore,# of Times
,,,,,,,,,
102A,75M,Forward  1 Somersault Straight,3.30,0.00,0.00,0,0.00,0.00,0
102A,90M,Forward  1 Somersault Straight,4.00,0.00,0.00,0,0.00,0.00,0
102B,1M,Forward  1 Somersault Pike,1.50,21.67,37.50,459,22.09,47.00,5645
102B,3M,Forward  1 Somersault Pike,1.60,22.51,28.80,13,22.36,44.40,151
102B,5M,Forward  1 Somersault Pike,1.50,0.00,0.00,0,20.85,27.75,5
102B,7M,Forward  1 Somersault Pike,1.60,0.00,0.00,0,27.20,27.20,1
102B,10M,Forward  1 Somersault Pike,1.70,44.20,44.20,1,32.47,44.20,5
102B,60M,Forward  1 Somersault Pike,2.60,0.00,0.00,0,0.00,0.00,0
102B,75M,Forward  1 Somersault Pike,3.10,0.00,0.00,0,0.00,0.00,0
102B,90M,Forward  1 Somersault Pike,3.70,0.00,0.00,0,0.00,0.00,0
102C,1M,Forward  1 Somersault Tuck,1.40,18.44,36.00,1329,18.32,49.80,16951
102C,3M,Forward  1 Somersault Tuck,1.50,18.20,33.00,48,18.86,47.00,481
102C,5M,Forward  1 Somersault Tuck,1.40,18.20,18.20,1,20.94,30.00,14
102C,7M,Forward  1 Somersault Tuck,1.50,0.00,0.00,0,0.00,0.00,0
102C,10M,Forward  1 Somersault Tuck,1.60,32.60,37.60,4,30.44,37.60,11
102C,60M,Forward  1 Somersault Tuck,2.50,0.00,0.00,0,0.00,0.00,0
102C,75M,Forward  1 Somersault Tuck,3.00,0.00,0.00,0,0.00,0.00,0
102C,90M,Forward  1 Somersault Tuck,3.50,0.00,0.00,0,0.00,0.00,0
102E,60M,Forward 1 Somersault Pos,2.70,0.00,0.00,0,0.00,0.00,0
102E,75M,Forward 1 Somersault Pos,3.20,0.00,0.00,0,0.00,0.00,0
103A,1M,Forward  1 1/2 Somersault Straight,2.00,29.00,39.00,3,32.73,48.00,77
103A,3M,Forward  1 1/2 Somersault Straight,1.90,29.59,42.75,7,31.89,52.25,88
103A,5M,Forward  1 1/2 Somersault Straight,2.00,0.00,0.00,0,0.00,0.00,0
103A,7M,Forward  1 1/2 Somersault Straight,1.90,0.00,0.00,0,0.00,0.00,0
103A,10M,Forward  1 1/2 Somersault Straight,1.90,0.00,0.00,0,33.25,33.25,1
103B,1M,Forward  1 1/2 Somersault Pike,1.70,30.11,53.00,8597,30.16,55.20,134885
103B,3M,Forward  1 1/2 Somersault Pike,1.60,28.21,48.00,6757,28.44,69.00,119349
103B,5M,Forward  1 1/2 Somersault Pike,1.70,29.33,42.50,745,29.18,54.60,14522
103B,7M,Forward  1 1/2 Somersault Pike,1.60,29.64,46.40,590,30.44,50.40,9403
103B,10M,Forward  1 1/2 Somersault Pike,1.60,32.68,52.80,461,34.84,57.60,10131
103C,1M,Forward  1 1/2 Somersault Tuck,1.60,24.29,45.90,3643,24.06,48.00,53382
103C,3M,Forward  1 1/2 Somersault Tuck,1.50,22.76,47.50,1620,22.38,62.00,21593
103C,5M,Forward  1 1/2 Somersault Tuck,1.60,25.63,40.80,219,25.42,48.00,2673
103C,7M,Forward  1 1/2 Somersault Tuck,1.50,29.80,36.75,15,29.21,42.00,159
103C,10M,Forward  1 1/2 Somersault Tuck,1.50,30.80,36.75,7,31.69,50.40,105
104A,1M,Forward  2 Somersault Straight,2.60,0.00,0.00,0,20.80,46.80,3
104A,3M,Forward  2 Somersault Straight,2.40,10.80,21.60,4,19.20,34.80,7
104A,5M,Forward  2 Somersault Straight,2.60,0.00,0.00,0,0.00,0.00,0
104A,7M,Forward  2 Somersault Straight,2.40,0.00,0.00,0,0.00,0.00,0
104A,10M,Forward  2 Somersault Straight,2.50,0.00,0.00,0,0.00,0.00,0
104B,1M,Forward  2 Somersault Pike,2.30,36.01,56.35,2670,35.91,65.55,27530
104B,3M,Forward  2 Somersault Pike,2.10,35.18,43.05,7,32.32,56.70,268
104B,5M,Forward  2 Somersault Pike,2.30,50.60,50.60,1,42.26,50.60,4
104B,7M,Forward  2 Somersault Pike,2.10,0.00,0.00,0,0.00,0.00,1
104B,10M,Forward  2 Somersault Pike,2.20,0.00,0.00,0,0.00,0.00,0
104B,60M,Forward  2 Somersault Pike,2.80,0.00,0.00,0,0.00,0.00,0
104B,75M,Forward  2 Somersault Pike,3.30,0.00,0.00,0,0.00,0.00,0
104B,90M,Forward  2 Somersault Pike,3.90,0.00,0.00,0,0.00,0.00,0
104C,1M,Forward  2 Somersault Tuck,2.20,30.79,60.50,4288,31.02,62.70,73161
104C,3M,Forward  2 Somersault Tuck,2.00,14.57,24.00,7,27.79,48.00,120
104C,5M,Forward  2 Somersault Tuck,2.20,0.00,0.00,0,29.04,48.40,5
104C,7M,Forward  2 Somersault Tuck,2.00,0.00,0.00,0,0.00,0.00,0
104C,10M,Forward  2 Somersault Tuck,2.10,0.00,0.00,0,36.75,47.25,3
104C,60M,Forward  2 Somersault Tuck,2.70,0.00,0.00,0,0.00,0.00,0
104C,75M,Forward  2 Somersault Tuck,3.20,0.00,0.00,0,0.00,0.00,0
104C,90M,Forward  2 Somersault Tuck,3.70,0.00,0.00,0,0.00,0.00,0
105A,3M,Forward  2 1/2 Somersault Straight,2.80,0.00,0.00,0,56.00,56.00,1
105A,10M,Forward  2 1/2 Somersault Straight,2.70,0.00,0.00,0,0.00,0.00,0
105B,1M,Forward  2 1/2 Somersault Pike,2.60,46.98,74.10,8361,46.88,78.00,83759
105B,3M,Forward  2 1/2 Somersault Pike,2.40,42.41,64.80,10358,42.27,72.00,117885
105B,5M,Forward  2 1/2 Somersault Pike,2.60,45.06,65.00,599,43.99,70.20,8121
105B,7M,Forward  2 1/2 Somersault Pike,2.40,42.33,64.80,1123,42.07,68.40,14177
105B,10M,Forward  2 1/2 Somersault Pike,2.30,40.67,56.35,36,42.21,65.55,524
105C,1M,Forward  2 1/2 Somersault Tuck,2.40,36.96,62.40,5648,36.84,67.20,69490
105C,3M,Forward  2 1/2 Somersault Tuck,2.20,33.20,60.72,1916,33.01,71.50,34079
105C,5M,Forward  2 1/2 Somersault Tuck,2.40,37.91,60.00,548,36.44,66.00,10691
105C,7M,Forward  2 1/2 Somersault Tuck,2.20,33.13,44.00,25,35.55,58.30,422
105C,10M,Forward  2 1/2 Somersault Tuck,2.10,0.00,0.00,0,38.54,56.70,13
106B,1M,Forward  3 Somersault Pike,3.20,0.00,0.00,0,46.40,52.80,3
106B,3M,Forward  3 Somersault Pike,2.80,0.00,0.00,0,14.00,14.00,1
106B,5M,Forward  3 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0
106B,7M,Forward  3 Somersault Pike,2.80,0.00,0.00,0,0.00,0.00,0
106B,10M,Forward  3 Somersault Pike,3.00,0.00,0.00,0,0.00,0.00,0
106B,60M,Forward  3 Somersault Pike,3.90,0.00,0.00,0,0.00,0.00,0
106B,75M,Forward  3 Somersault Pike,4.40,0.00,0.00,0,0.00,0.00,0
106B,90M,Forward  3 Somersault Pike,5.00,0.00,0.00,0,0.00,0.00,0
106C,1M,Forward  3 Somersault Tuck,2.90,40.15,56.55,21,38.28,58.00,139
106C,3M,Forward  3 Somersault Tuck,2.50,0.00,0.00,2,29.77,61.25,8
106C,5M,Forward  3 Somersault Tuck,2.90,0.00,0.00,0,0.00,0.00,0
106C,7M,Forward  3 Somersault Tuck,2.50,0.00,0.00,0,0.00,0.00,0
106C,10M,Forward  3 Somersault Tuck,2.70,0.00,0.00,0,0.00,0.00,0
106C,60M,Forward  3 Somersault Tuck,3.50,0.00,0.00,0,0.00,0.00,0
106C,75M,Forward  3 Somersault Tuck,4.00,0.00,0.00,0,0.00,0.00,0
106C,90M,Forward  3 Somersault Tuck,4.50,0.00,0.00,0,0.00,0.00,0
107B,1M,Forward  3 1/2 Somersault Pike,3.30,56.63,82.50,107,59.06,92.40,540
107B,3M,Forward  3 1/2 Somersault Pike,3.10,55.83,85.25,2756,57.44,93.00,30966
107B,7M,Forward  3 1/2 Somersault Pike,3.10,49.60,55.80,2,53.21,69.75,17
107B,10M,Forward  3 1/2 Somersault Pike,3.00,56.21,85.50,1014,56.92,90.00,16555
107C,1M,Forward  3 1/2 Somersault Tuck,3.00,49.88,81.00,1319,50.80,85.50,11209
107C,3M,Forward  3 1/2 Somersault Tuck,2.80,44.36,75.60,3667,44.43,82.60,38209
107C,5M,Forward  3 1/2 Somersault Tuck,3.00,0.00,0.00,0,44.63,60.00,4
107C,7M,Forward  3 1/2 Somersault Tuck,2.80,49.98,69.30,89,48.85,75.60,1045
107C,10M,Forward  3 1/2 Somersault Tuck,2.70,45.88,68.85,393,46.71,79.65,6778
108B,3M,Forward  4 Somersault Pike,3.80,0.00,0.00,0,0.00,0.00,0
108B,10M,Forward  4 Somersault Pike,4.10,0.00,0.00,0,0.00,0.00,0
108B,60M,Forward  4 Somersault Pike,4.60,0.00,0.00,0,0.00,0.00,0
108B,75M,Forward  4 Somersault Pike,5.10,0.00,0.00,0,0.00,0.00,0
108B,90M,Forward  4 Somersault Pike,5.70,0.00,0.00,0,0.00,0.00,0
108C,1M,Forward  4 Somersault Tuck,4.00,0.00,0.00,0,0.00,0.00,0
108C,3M,Forward  4 Somersault Tuck,3.40,0.00,0.00,0,42.08,51.00,2
108C,10M,Forward  4 Somersault Tuck,3.70,0.00,0.00,0,0.00,0.00,0
108C,60M,Forward  4 Somersault Tuck,4.10,0.00,0.00,0,0.00,0.00,0
108C,75M,Forward  4 Somersault Tuck,4.60,0.00,0.00,0,0.00,0.00,0
108C,90M,Forward  4 Somersault Tuck,5.10,0.00,0.00,0,0.00,0.00,0
109B,3M,Forward  4 1/2 Somersault Pike,4.20,0.00,0.00,0,27.30,35.70,2
109B,10M,Forward  4 1/2 Somersault Pike,4.10,0.00,0.00,0,78.67,110.70,8
109C,1M,Forward  4 1/2 Somersault Tuck,4.30,0.00,0.00,0,0.00,0.00,0
109C,3M,Forward  4 1/2 Somersault Tuck,3.80,61.67,96.90,114,66.86,114.00,1735
109C,10M,Forward  4 1/2 Somersault Tuck,3.70,66.49,96.20,81,70.40,111.00,1288
112B,1M,Forward Flying 1 Somersault Pike,1.70,30.60,30.60,1,30.60,38.25,5
112B,3M,Forward Flying 1 Somersault Pike,1.80,0.00,0.00,0,33.08,43.20,4
112B,5M,Forward Flying 1 Somersault Pike,1.70,0.00,0.00,0,17.43,24.65,2
112B,7M,Forward Flying 1 Somersault Pike,1.80,0.00,0.00,0,0.00,0.00,0
112B,10M,Forward Flying 1 Somersault Pike,1.90,38.48,52.25,4,37.63,52.25,10
112B,60M,Forward Flying 1 Somersault Pike,2.80,0.00,0.00,0,0.00,0.00,0
112B,75M,Forward Flying 1 Somersault Pike,3.30,0.00,0.00,0,0.00,0.00,0
112B,90M,Forward Flying 1 Somersault Pike,3.90,0.00,0.00,0,0.00,0.00,0
112C,1M,Forward Flying 1 Somersault Tuck,1.60,25.20,26.40,4,23.37,45.60,43
112C,3M,Forward Flying 1 Somersault Tuck,1.70,0.00,0.00,0,28.68,42.50,19
112C,5M,Forward Flying 1 Somersault Tuck,1.60,0.00,0.00,0,32.00,36.00,5
112C,7M,Forward Flying 1 Somersault Tuck,1.70,0.00,0.00,0,0.00,0.00,0
112C,10M,Forward Flying 1 Somersault Tuck,1.80,0.00,0.00,0,40.24,50.40,42
112C,60M,Forward Flying 1 Somersault Tuck,2.70,0.00,0.00,0,0.00,0.00,0
112C,75M,Forward Flying 1 Somersault Tuck,3.20,0.00,0.00,0,0.00,0.00,0
112C,90M,Forward Flying 1 Somersault Tuck,3.70,0.00,0.00,0,0.00,0.00,0
113B,1M,Forward Flying 1 1/2 Somersault Pike,1.90,36.80,46.55,16,35.40,50.35,99
