First,Last,Nickname,Stance,W,L,D,height_inches,weight_lbs,reach_inches
Andrei,Arlovski,The Pitbull,Orthodox,34,22,0,75,240,77
Garrett,Armfield,NA,Orthodox,8,3,0,66,135,70
Joey,Armstrong,NA,NA,5,2,0,NA,NA,NA
Austin,Arnett,NA,Orthodox,16,6,0,72,145,72
Ricardo,Arona,The Brazilian Tiger,Orthodox,14,5,0,71,205,NA
Eli,Aronov,The Israeli Tank,NA,6,0,0,NA,185,NA
Chalid,Arrab,Die Faust,Orthodox,7,3,0,71,205,NA
Akbarh,Arreola,El Caballero,Southpaw,23,11,1,70,155,71
Matt,Arroyo,No Regard,Orthodox,3,3,0,70,170,72
Antonio,Arroyo,NA,Orthodox,9,5,0,75,185,73
Gilles,Arsene,NA,Southpaw,1,1,0,69,190,NA
Veta,Arteaga,NA,NA,3,1,0,67,125,NA
Cesar,Arzamendia,Goku,Orthodox,8,3,0,71,155,NA
Teddy,Ash,Bear,Switch,14,5,0,73,185,73
Arman,Ashimov,Mustafa Ozturik,NA,11,3,1,66,125,NA
Yanal,Ashmouz,Red Fox,Orthodox,7,0,0,69,155,68
NA,Asjabharan,NA,NA,7,6,0,66,135,NA
Askar,Askar,AK-47,Orthodox,11,1,0,67,145,69
Askar,Askarov,Bullet,Orthodox,14,1,1,66,125,67
Cyril,Asker,Silverback,Orthodox,9,4,0,72,247,74
Khusein,Askhabov,Nohcho,Orthodox,23,1,0,68,145,69
Scott,Askham,NA,Southpaw,14,4,0,75,185,75
Ben,Askren,Funky,Orthodox,19,2,0,71,170,73
Ibo,Aslan,The Last Ottoman,NA,8,0,0,75,205,NA
Tom,Aspinall,NA,Orthodox,12,3,0,77,256,78
Bruno,Assis,Brunao,Orthodox,8,4,0,74,185,NA
Junior,Assuncao,NA,Orthodox,16,6,0,69,145,72
Raphael,Assuncao,NA,Orthodox,28,10,0,65,135,66
Bazigit,Atajev,Volk,Orthodox,17,1,0,73,230,NA
Rich,Attonito,The Raging Bull,Orthodox,10,5,0,70,170,72
Olivier,Aubin-Mercier,The Canadian Gangster,Southpaw,11,5,0,69,155,70
Pat,Audinwood,Awesomely Awesome,Orthodox,11,2,1,72,155,NA
Jose,Augusto,Gugu,NA,6,2,0,75,251,NA
Marcus,Aurelio,Maximus,Orthodox,22,10,0,70,155,74
David,Avellan,NA,Orthodox,2,1,0,69,185,NA
Blas,Avena,The Disciple,Orthodox,8,7,0,72,170,74
Levi,Avera,NA,NA,18,15,0,73,170,NA
Anthony,Avila,NA,NA,13,5,0,67,145,NA
Chris,Avila,NA,Orthodox,5,4,0,70,145,NA
Julia,Avila,Raging Panda,Orthodox,9,2,0,67,135,68
Saad,Awad,Assassin,NA,20,9,0,71,155,NA
Javy,Ayala,Eye Candy,NA,10,5,0,73,265,NA
Jessin,Ayari,NA,Orthodox,16,6,0,72,155,73
Abu,Azaitar,Captain Morocco,Orthodox,14,3,1,69,185,76
Ottman,Azaitar,Bulldozer,Switch,13,1,0,68,155,71
Luiz,Azeredo,NA,Orthodox,15,10,0,69,154,NA
Luciano,Azevedo,NA,Orthodox,17,9,1,75,161,NA
Hunter,Azure,NA,Orthodox,9,2,0,68,145,69
