Team,Conference,region,aces_per_set,assists_per_set,team_attacks_per_set,blocks_per_set,digs_per_set,hitting_pctg,kills_per_set,opp_hitting_pctg,service_aces,W,L,win_loss_pctg
USC Upstate,Big South,Southeast,1.07,10.03,35.28,2.24,15.07,0.154,10.96,0.209,109,6,23,0.207
Tulsa,AAC,Southeast,1.05,11.83,39.78,1.34,18.27,0.199,12.7,0.235,123,13,18,0.419
Hartford,NA,East,1.05,7.62,31.02,1.12,11.32,0.079,8.59,0.273,89,2,24,0.077
Memphis,AAC,Southeast,1.02,11.1,37.1,2.24,16.44,0.173,12.15,0.193,129,18,15,0.545
Marshall,Sun Belt,South,1.01,11.18,33.64,2.13,15.11,0.217,12.18,0.242,115,10,20,0.333
South Carolina St.,MEAC,Southeast,1,4.44,24.25,1.11,7.42,NA,4.92,0.338,79,0,26,0
Ohio,MAC,Midwest,0.97,12.84,36.61,1.54,16.53,0.226,13.74,0.196,115,20,12,0.625
Indiana St.,MVC,Midwest,0.97,10.37,37.52,2.25,16.53,0.161,11.31,0.239,90,3,23,0.115
Milwaukee,Horizon,Midwest,0.94,11.58,34.85,1.99,13.86,0.212,12.53,0.251,100,10,20,0.333
Oregon St.,Pac-12,West,0.93,11.53,33.86,2.02,13.88,0.176,12.21,0.264,106,7,23,0.233
Mississippi St.,SEC,Southeast,0.92,12.27,35.67,1.77,15.81,0.223,13.15,0.214,99,15,13,0.536
DePaul,Big East,Midwest,0.92,12.04,36.95,1.9,15.64,0.2,13.09,0.238,108,10,20,0.333
Southern Utah,WAC,West,0.9,10.54,35.45,1.8,14.38,0.189,12.1,0.228,84,7,17,0.292
